goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,80,MR,Brest,Bordeaux,2,4,2022-05-21,18200,2021,537644,0.2901419997215271,0,1,0,0,0.538856029510498,0.24871399998664856
0,0,0,80,MR,Bordeaux,Lorient,0,0,2022-05-14,18185,2021,535727,0.4060010015964508,0,2,0,0,0.4366079866886139,0.34064799547195435
0,0,0,31,Sub,Angers,Bordeaux,4,1,2022-05-08,18180,2021,533360,0,0,0,0,0,0,0
1,1,0.07259710133075714,82,MR,Nantes,Bordeaux,5,3,2022-04-24,18156,2021,529429,0,0,0,1,0.07259710133075714,0.07259710133075714,0
0,0,0,9,Sub,Bordeaux,Saint-Etienne,2,2,2022-04-20,18143,2021,527779,0,0,0,0,0,0,0
0,0,0,16,Sub,Lyon,Bordeaux,6,1,2022-04-17,18133,2021,527180,0.021210700273513794,0,1,0,0,0.1146010011434555,0.09339059889316559
0,0,0,34,DC,Lille,Bordeaux,0,0,2022-04-02,18113,2021,523057,0,0,0,0,0,0,0
0,1,0.018643900752067566,90,DMR,Paris Saint Germain,Bordeaux,3,0,2022-03-13,18099,2021,519789,0.04556490108370781,0,1,0,0.018643900752067566,0.26316899061203003,0.2445250004529953
0,0,0,90,DR,Lens,Bordeaux,3,2,2022-02-13,18059,2021,513467,0.07848689705133438,0,1,0,0,0.12190599739551544,0.043418701738119125
0,0,0,13,Sub,Reims,Bordeaux,5,0,2022-02-06,18049,2021,511573,0,0,0,0,0,0,0
0,0,0,22,Sub,Bordeaux,Strasbourg,4,3,2022-01-23,18033,2021,510382,0.07496649771928787,0,1,0,0,0.14058400690555573,0.06561709940433502
0,0,0,17,Sub,Rennes,Bordeaux,6,0,2022-01-16,18028,2021,508405,0,0,0,0,0,0,0
0,0,0,90,DL,Bordeaux,Marseille,0,1,2022-01-07,18016,2021,506489,0,0,0,0,0,0,0
0,0,0,90,DR,Troyes,Bordeaux,1,2,2021-12-12,17997,2021,502351,0,0,0,0,0,0,0
0,0,0,90,DR,Bordeaux,Lyon,2,2,2021-12-05,17990,2021,500982,0.030588999390602112,0,1,0,0,0.9086380004882812,0.8780490159988403
0,0,0,90,DR,Strasbourg,Bordeaux,5,2,2021-12-01,17980,2021,498957,0.12675100564956665,0,4,0,0,0.15138299763202667,0.05555909872055054
0,0,0,90,DR,Metz,Bordeaux,3,3,2021-11-21,17960,2021,496398,0.09373380243778229,0,1,0,0,1.1111899614334106,1.0174599885940552
0,0,0,90,DR,Bordeaux,Paris Saint Germain,2,3,2021-11-06,17942,2021,494318,0,0,0,0,0,0.047500498592853546,0.047500498592853546
0,0,0,1,Sub,Bordeaux,Reims,3,2,2021-10-31,17933,2021,493037,0,0,0,0,0,0,0
0,0,0,90,DR,Lorient,Bordeaux,1,1,2021-10-24,17924,2021,490578,0.0431475006043911,0,1,0,0,0.17277400195598602,0.12962700426578522
0,0,0,90,DR,Bordeaux,Nantes,1,1,2021-10-17,17912,2021,488850,0,0,0,0,0,0.07302860170602798,0.07302860170602798
0,0,0,90,DC,Monaco,Bordeaux,3,0,2021-10-03,17906,2021,487211,0,0,0,0,0,0.022663600742816925,0.022663600742816925
0,0,0,90,DC,Bordeaux,Rennes,1,1,2021-09-26,17892,2021,485208,0,0,0,0,0,0.14174099266529083,0.14174099266529083
0,0,0,90,DC,Montpellier,Bordeaux,3,3,2021-09-22,17887,2021,483669,0,0,0,0,0,0.3787899911403656,0.3787899911403656
0,1,0.06170070171356201,90,DC,Saint-Etienne,Bordeaux,1,2,2021-09-18,17881,2021,482469,0,0,0,0,0.06170070171356201,0,0
0,2,0.031177900731563568,90,DC,Nice,Bordeaux,4,0,2021-08-28,17853,2021,479042,0,0,0,0,0.031177900731563568,0.06602449715137482,0.053053099662065506
0,0,0,90,DC,Bordeaux,Angers,1,1,2021-08-22,17847,2021,477648,0,0,0,0,0,0.1298380047082901,0.1298380047082901
0,0,0,90,DR,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476429,0,0,0,0,0,0,0
0,2,0.06990010291337967,90,DR,Bordeaux,Clermont Foot,0,2,2021-08-08,17828,2021,474869,0.31039199233055115,0,2,0,0.06990010291337967,0.3763180077075958,0.3664810061454773
1,1,0.4268749952316284,90,DC,Reims,Bordeaux,1,2,2021-05-23,16132,2020,473977,0,0,0,1,0.4268749952316284,0.26165199279785156,0.26165199279785156
0,0,0,90,DC,Bordeaux,Lens,3,0,2021-05-16,16116,2020,471961,0,0,0,0,0,0.1517540067434311,0.1517540067434311
0,1,0.09989669919013977,90,DR,Nantes,Bordeaux,3,0,2021-05-08,16110,2020,468341,0.15227200090885162,0,1,0,0.09989669919013977,0.3563680052757263,0.2040960043668747
0,0,0,90,DR,Bordeaux,Rennes,1,0,2021-05-02,16105,2020,467334,0,0,0,0,0,0.20773600041866302,0.20773600041866302
0,0,0,16,Sub,Dijon,Bordeaux,1,3,2021-03-14,16037,2020,456996,0,0,0,0,0,0,0
0,0,0,66,DR,Nimes,Bordeaux,2,0,2021-02-21,16012,2020,451249,0.04790180176496506,0,2,0,0,0.0345894992351532,0.020711300894618034
0,0,0,86,DR,Bordeaux,Marseille,0,0,2021-02-14,15997,2020,449992,0.06185249984264374,0,2,0,0,0.6647369861602783,0.6028850078582764
0,0,0,76,DR,Brest,Bordeaux,2,1,2021-02-07,15991,2020,448086,0,0,0,0,0,0.012060699984431267,0.012060699984431267
0,0,0,90,DR,Bordeaux,Lille,0,3,2021-02-03,15976,2020,446920,0,0,0,0,0,0.03255920112133026,0.03255920112133026
0,0,0,1,Sub,Strasbourg,Bordeaux,0,2,2020-12-20,15913,2020,436689,0,0,0,0,0,0,0
0,0,0,63,DR,Bordeaux,Saint-Etienne,1,2,2020-12-16,15898,2020,435277,0,0,0,0,0,0.2519020140171051,0.2519020140171051
0,0,0,7,Sub,Lille,Bordeaux,2,1,2020-12-13,15888,2020,433903,0,0,0,0,0,0.04461219906806946,0.04461219906806946
0,0,0,47,DR,Paris Saint Germain,Bordeaux,2,2,2020-11-28,15874,2020,429891,0,0,0,0,0,0,0
