id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
310107,18,MissedShots,0.9359999847412109,0.4279999923706055,0.036596499383449554,Efthymios Koulouris,a,7737,FromCorner,2019,Head,12711,Brest,Toulouse,1,1,2019-08-10 19:00:00,Mathieu Dossevi,Aerial
310113,34,MissedShots,0.9219999694824219,0.4570000076293945,0.04751129820942879,Efthymios Koulouris,a,7737,OpenPlay,2019,Head,12711,Brest,Toulouse,1,1,2019-08-10 19:00:00,,Aerial
310129,88,Goal,0.9480000305175781,0.509000015258789,0.6099129915237427,Efthymios Koulouris,a,7737,OpenPlay,2019,RightFoot,12711,Brest,Toulouse,1,1,2019-08-10 19:00:00,,Rebound
310928,46,BlockedShot,0.9069999694824219,0.495,0.10742899775505066,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12725,Toulouse,Dijon,1,0,2019-08-17 19:00:00,Ibrahim Sangare,HeadPass
310939,64,ShotOnPost,0.899000015258789,0.4470000076293945,0.10285300016403198,Efthymios Koulouris,h,7737,OpenPlay,2019,Head,12725,Toulouse,Dijon,1,0,2019-08-17 19:00:00,Mathieu Dossevi,Cross
310947,82,SavedShot,0.8480000305175781,0.39799999237060546,0.1274300068616867,Efthymios Koulouris,h,7737,OpenPlay,2019,LeftFoot,12725,Toulouse,Dijon,1,0,2019-08-17 19:00:00,,Dispossessed
310948,83,SavedShot,0.8719999694824219,0.365,0.07952330261468887,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12725,Toulouse,Dijon,1,0,2019-08-17 19:00:00,,None
316159,36,MissedShots,0.825999984741211,0.445,0.06247619912028313,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12740,Toulouse,Amiens,2,0,2019-08-31 18:00:00,,BallTouch
316162,40,MissedShots,0.7390000152587891,0.3840000152587891,0.020356500521302223,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12740,Toulouse,Amiens,2,0,2019-08-31 18:00:00,Mathieu Dossevi,LayOff
316167,58,Goal,0.9119999694824219,0.6509999847412109,0.3401640057563782,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12740,Toulouse,Amiens,2,0,2019-08-31 18:00:00,Max Gradel,Pass
316172,70,SavedShot,0.885,0.48200000762939454,0.5045740008354187,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12740,Toulouse,Amiens,2,0,2019-08-31 18:00:00,,None
316177,92,MissedShots,0.9019999694824219,0.5279999923706055,0.022592900320887566,Efthymios Koulouris,h,7737,FromCorner,2019,Head,12740,Toulouse,Amiens,2,0,2019-08-31 18:00:00,Mathieu Dossevi,Aerial
321868,42,MissedShots,0.7869999694824219,0.19700000762939454,0.012856200337409973,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12776,Toulouse,Angers,0,2,2019-09-25 17:00:00,Steven Moreira,Pass
323031,95,Goal,0.8530000305175781,0.555,0.08249209821224213,Efthymios Koulouris,a,7737,OpenPlay,2019,LeftFoot,12783,Metz,Toulouse,2,2,2019-09-28 18:00:00,Yaya Sanogo,Pass
324404,60,Goal,0.7619999694824219,0.654000015258789,0.019989000633358955,Efthymios Koulouris,h,7737,OpenPlay,2019,LeftFoot,12795,Toulouse,Bordeaux,1,3,2019-10-05 19:00:00,Ibrahim Sangare,Pass
324409,84,BlockedShot,0.865999984741211,0.49599998474121093,0.05587629973888397,Efthymios Koulouris,h,7737,SetPiece,2019,RightFoot,12795,Toulouse,Bordeaux,1,3,2019-10-05 19:00:00,Mathieu Dossevi,Cross
326011,49,SavedShot,0.9330000305175781,0.4640000152587891,0.07451249659061432,Efthymios Koulouris,h,7737,OpenPlay,2019,Head,12802,Toulouse,Lille,2,1,2019-10-19 19:00:00,Issiaga Sylla,Aerial
326016,67,MissedShots,0.7530000305175781,0.2670000076293945,0.020803699269890785,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12802,Toulouse,Lille,2,1,2019-10-19 19:00:00,Yaya Sanogo,HeadPass
326017,75,MissedShots,0.89,0.47,0.07044240087270737,Efthymios Koulouris,h,7737,OpenPlay,2019,Head,12802,Toulouse,Lille,2,1,2019-10-19 19:00:00,Issiaga Sylla,Cross
327838,57,ShotOnPost,0.935,0.5459999847412109,0.13367100059986115,Efthymios Koulouris,a,7737,SetPiece,2019,Head,12810,Rennes,Toulouse,3,2,2019-10-27 14:00:00,Mathieu Dossevi,Cross
327839,62,SavedShot,0.9369999694824219,0.46900001525878904,0.0661223977804184,Efthymios Koulouris,a,7737,FromCorner,2019,Head,12810,Rennes,Toulouse,3,2,2019-10-27 14:00:00,Mathieu Dossevi,Aerial
327844,81,BlockedShot,0.8919999694824219,0.28299999237060547,0.0638984963297844,Efthymios Koulouris,a,7737,OpenPlay,2019,RightFoot,12810,Rennes,Toulouse,3,2,2019-10-27 14:00:00,Aaron Leya Iseka,Pass
329516,8,ShotOnPost,0.8959999847412109,0.45599998474121095,0.020726200193166733,Efthymios Koulouris,h,7737,FromCorner,2019,Head,12824,Toulouse,Lyon,2,3,2019-11-02 19:00:00,Yaya Sanogo,Aerial
329534,73,ShotOnPost,0.970999984741211,0.4279999923706055,0.5338000059127808,Efthymios Koulouris,h,7737,FromCorner,2019,RightFoot,12824,Toulouse,Lyon,2,3,2019-11-02 19:00:00,,None
329538,76,SavedShot,0.725,0.46900001525878904,0.018714699894189835,Efthymios Koulouris,h,7737,OpenPlay,2019,LeftFoot,12824,Toulouse,Lyon,2,3,2019-11-02 19:00:00,Max Gradel,Pass
333144,15,MissedShots,0.879000015258789,0.6730000305175782,0.05290669947862625,Efthymios Koulouris,h,7737,OpenPlay,2019,RightFoot,12839,Toulouse,Marseille,0,2,2019-11-24 20:00:00,,None
334326,29,SavedShot,0.7559999847412109,0.54,0.012155800126492977,Efthymios Koulouris,a,7737,OpenPlay,2019,RightFoot,12853,Nantes,Toulouse,2,1,2019-12-01 14:00:00,Quentin Boisgard,Aerial
335928,13,MissedShots,0.9119999694824219,0.49,0.3308340013027191,Efthymios Koulouris,a,7737,OpenPlay,2019,Head,12875,Strasbourg,Toulouse,4,2,2019-12-07 19:00:00,Mathieu Dossevi,Cross
335933,30,SavedShot,0.8859999847412109,0.539000015258789,0.05940990149974823,Efthymios Koulouris,a,7737,OpenPlay,2019,Head,12875,Strasbourg,Toulouse,4,2,2019-12-07 19:00:00,Kelvin Adou,Cross
