goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.11001099646091461,63,FW,Rennes,Nimes,2,0,2021-05-23,16133,2020,474016,0.01137049961835146,0,1,0,0.11001099646091461,0.12138199806213379,0.01137049961835146
2,2,0.5933120250701904,81,FW,Nimes,Lyon,2,5,2021-05-16,16124,2020,472176,0,0,0,2,0.5933120250701904,0.5933120250701904,0
0,2,0.3853749930858612,86,FW,Metz,Nimes,0,3,2021-05-09,16109,2020,469287,0,0,0,0,0.3853749930858612,0.6446170210838318,0.5957139730453491
1,1,0.3793250024318695,89,FW,Nimes,Reims,2,2,2021-05-02,16103,2020,467435,0,0,0,1,0.3793250024318695,0.4050320088863373,0.02570669911801815
0,1,0.08778399974107742,89,FW,Lens,Nimes,2,1,2021-04-25,16094,2020,465879,0,0,0,0,0.08778399974107742,0.15400199592113495,0.06621810048818588
0,1,0.34432798624038696,90,FW,Nimes,Strasbourg,1,1,2021-04-18,16078,2020,463442,0,0,0,0,0.34432798624038696,0.34432798624038696,0
1,1,0.14555299282073975,71,FW,Brest,Nimes,1,1,2021-04-11,16066,2020,461867,0.09576469659805298,0,1,1,0.14555299282073975,0.2413180023431778,0
0,3,0.20732399821281433,87,FW,Nimes,Saint-Etienne,0,2,2021-04-04,16065,2020,460357,0.013889599591493607,0,1,0,0.20732399821281433,0.09234529733657837,0
1,2,0.16389299929141998,77,FW,Lille,Nimes,1,2,2021-03-21,16050,2020,458818,0.15386800467967987,0,1,1,0.16389299929141998,0.5981659889221191,0.2804050147533417
1,3,1.1085000038146973,75,FW,Nimes,Montpellier,1,1,2021-03-14,16045,2020,456721,0,0,0,1,1.1085000038146973,1.1085000038146973,0
0,2,0.17479899525642395,70,FW,Nice,Nimes,2,1,2021-03-03,16033,2020,453690,0.34333300590515137,0,1,0,0.17479899525642395,0.5585470199584961,0.04041590169072151
1,1,0.24516800045967102,19,Sub,Nimes,Nantes,1,1,2021-02-28,16022,2020,452916,0,0,0,1,0.24516800045967102,0.29179200530052185,0.04662419855594635
0,0,0,75,FW,Nimes,Lorient,1,0,2021-02-24,15961,2020,451816,0,0,0,0,0,0,0
0,1,0.01834229938685894,62,FW,Nimes,Bordeaux,2,0,2021-02-21,16012,2020,451242,0,0,0,0,0.01834229938685894,0.01834229938685894,0
0,0,0,77,FW,Dijon,Nimes,0,2,2021-02-14,15998,2020,449605,0,0,0,0,0,0,0
0,0,0,68,FW,Nimes,Monaco,3,4,2021-02-07,15989,2020,448203,0,0,0,0,0,0.07009170204401016,0.07009170204401016
0,2,0.38214099407196045,12,Sub,Paris Saint Germain,Nimes,3,0,2021-02-03,15981,2020,447090,0,0,0,0,0.38214099407196045,0.38214099407196045,0
0,0,0,74,FW,Angers,Nimes,3,1,2021-01-31,15966,2020,446281,0.01370679959654808,0,1,0,0,0.01370679959654808,0
0,1,0.09873870015144348,90,FW,Marseille,Nimes,1,2,2021-01-16,15951,2020,442353,0.06651350110769272,0,1,0,0.09873870015144348,1.0235999822616577,0.85835200548172
0,0,0,5,Sub,Nimes,Lille,0,1,2021-01-09,15942,2020,441191,0,0,0,0,0,0,0
0,1,0.20777499675750732,47,FW,Strasbourg,Nimes,5,0,2021-01-06,15934,2020,440302,0,0,0,0,0.20777499675750732,0.20777499675750732,0
0,0,0,13,Sub,Saint-Etienne,Nimes,2,2,2020-12-20,15914,2020,436721,0,0,0,0,0,0.077156201004982,0.077156201004982
0,1,0.4726119935512543,6,Sub,Nimes,Nice,0,2,2020-12-16,15903,2020,434740,0,0,0,0,0.4726119935512543,0.4726119935512543,0
0,0,0,66,FW,Lorient,Nimes,3,0,2020-12-13,15889,2020,433635,0.08277060091495514,0,1,0,0,0.08277060091495514,0
0,1,0.10413099825382233,28,Sub,Nimes,Marseille,0,2,2020-12-04,15883,2020,430968,0,0,0,0,0.10413099825382233,0,0
0,0,0,55,FW,Reims,Nimes,0,1,2020-11-22,15864,2020,428665,0,0,0,0,0,0,0
1,1,0.6203640103340149,22,Sub,Nimes,Angers,1,5,2020-11-08,15850,2020,427001,0,0,0,1,0.6203640103340149,0.6203640103340149,0
0,0,0,70,FW,Nimes,Metz,0,1,2020-11-01,15840,2020,425132,0.030829500406980515,0,1,0,0,0.030829500406980515,0
0,0,0,1,Sub,Bordeaux,Nimes,2,0,2020-10-25,15826,2020,423508,0.2604900002479553,0,1,0,0,0.2604900002479553,0
0,0,0,3,Sub,Nimes,Paris Saint Germain,0,4,2020-10-16,15822,2020,420768,0,0,0,0,0,0,0
0,0,0,31,Sub,Nimes,Rennes,2,4,2020-09-13,14198,2020,414928,0,0,0,0,0,0,0
0,0,0,44,Sub,Nantes,Nimes,2,1,2020-08-30,13992,2020,414199,0.06199369952082634,0,2,0,0,0.03694760054349899,0
1,1,0.13759200274944305,31,Sub,Nimes,Brest,4,0,2020-08-23,13985,2020,413544,0,0,0,1,0.13759200274944305,0.13759200274944305,0
0,5,0.745826005935669,68,FW,Metz,Nimes,2,1,2020-03-07,12986,2019,397014,0.05936900153756142,0,1,0,0.745826005935669,0.5610430240631104,0
0,0,0,20,Sub,Nimes,Marseille,2,3,2020-02-28,12976,2019,395482,0,0,0,0,0,0,0
0,0,0,7,Sub,Rennes,Nimes,2,1,2020-02-23,12960,2019,395247,0,0,0,0,0,0,0
1,1,0.335314005613327,9,Sub,Nimes,Angers,1,0,2020-02-15,12957,2019,393903,0,0,0,1,0.335314005613327,0.335314005613327,0
1,1,0.46493399143218994,29,Sub,Nice,Nimes,1,3,2020-02-08,12945,2019,392886,0,0,0,1,0.46493399143218994,0.46493399143218994,0
