goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.08484026789665222,24,Sub,Strasbourg,Paris Saint Germain,1,1,2023-05-27,20015,2022,600521,0.01182520017027855,0,1,0,0.08484026789665222,0.11400076746940613,0.11400076746940613
0,0,0,1,Sub,Strasbourg,Nice,2,0,2023-05-13,19994,2022,596529,0,0,0,0,0,0,0
0,0,0,17,Sub,Nantes,Strasbourg,0,2,2023-05-07,19982,2022,595344,0,0,0,0,0,0.05914507061243057,0.05914507061243057
0,0,0,19,Sub,Strasbourg,Lyon,1,2,2023-04-30,19973,2022,593515,0,0,0,0,0,0,0
0,0,0,2,Sub,Reims,Strasbourg,0,2,2023-04-23,19967,2022,590603,0,0,0,0,0,0,0
0,0,0,62,MC,Strasbourg,Auxerre,2,0,2023-03-19,19924,2022,583790,0.10962799936532974,0,2,0,0,0.06739690154790878,0.06739690154790878
0,0,0,90,MC,Marseille,Strasbourg,2,2,2023-03-12,19916,2022,582380,0.273811012506485,0,5,0,0,0.7952219843864441,0.7772470116615295
0,0,0,90,MC,Strasbourg,Brest,0,1,2023-03-05,19903,2022,580128,0.16040199995040894,0,6,0,0,0.1686439961194992,0.11709599941968918
0,0,0,87,MC,Clermont Foot,Strasbourg,1,1,2023-02-26,19891,2022,578369,0.0753111019730568,0,2,0,0,0.20985400676727295,0.20985400676727295
0,1,0.05672309920191765,90,MC,Strasbourg,Angers,2,1,2023-02-18,19883,2022,576730,0.15960699319839478,0,2,0,0.05672309920191765,0.6363120079040527,0.4767040014266968
0,0,0,90,DML,Lille,Strasbourg,2,0,2023-02-12,19872,2022,575323,0,0,0,0,0,0.028461700305342674,0.028461700305342674
0,0,0,90,DL,Strasbourg,Montpellier,2,0,2023-02-05,19864,2022,573801,0.05671140179038048,0,1,0,0,0.34832099080085754,0.34832099080085754
0,0,0,24,Sub,Strasbourg,Toulouse,1,2,2023-01-29,19845,2022,572084,0,0,0,0,0,0,0
0,0,0,17,DL,Lyon,Strasbourg,1,2,2023-01-14,19832,2022,569129,0,0,0,0,0,0,0
0,1,0.03528720140457153,90,DL,Strasbourg,Lens,2,2,2023-01-11,19825,2022,568411,0,0,0,0,0.03528720140457153,0.6694759726524353,0.6341890096664429
0,5,0.11056700348854065,86,MC,Strasbourg,Lorient,1,1,2022-11-13,19795,2022,565247,0.06739970296621323,0,1,0,0.11056700348854065,0.4121890068054199,0.23422199487686157
