goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,30,Sub,Nice,Paris Saint Germain,0,3,2020-09-20,14207,2020,416238,0,0,0,0,0,0.027963299304246902,0.027963299304246902
0,0,0,1,Sub,Montpellier,Nice,3,1,2020-09-12,14192,2020,414642,0,0,0,0,0,0.04093850031495094,0.04093850031495094
0,0,0,65,FWR,Strasbourg,Nice,0,2,2020-08-29,13996,2020,414041,0,0,0,0,0,0.026020700111985207,0.026020700111985207
0,0,0,1,Sub,Nice,Lens,2,1,2020-08-23,13984,2020,413604,0,0,0,0,0,0,0
0,0,0,33,Sub,Nice,Amiens,2,1,2019-08-10,12713,2019,341439,0,0,0,0,0,0.050291601568460464,0.050291601568460464
0,0,0,59,FWR,Angers,Nice,3,0,2019-02-16,10883,2018,313343,0.08379960060119629,0,1,0,0,0.2510240077972412,0.16722500324249268
0,1,0.5102499723434448,75,FWR,Nice,Nimes,2,0,2019-01-26,10860,2018,312581,0.03320470079779625,1,1,0,0.5102499723434448,0.7245230078697205,0.1810690015554428
0,0,0,23,Sub,Reims,Nice,1,1,2019-01-19,10845,2018,312241,0,0,0,0,0,0,0
0,1,0.08254790306091309,90,FWR,Nice,Bordeaux,1,0,2019-01-12,10836,2018,311835,0,0,0,0,0.08254790306091309,0.3476789891719818,0.26513099670410156
0,0,0,23,Sub,Strasbourg,Nice,2,0,2018-12-22,10832,2018,290460,0,0,0,0,0,0.016898000612854958,0.016898000612854958
