goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.0729660913348198,90,DC,Lorient,Clermont Foot,5,0,2024-05-19,23674,2023,663955,0,0,0,0,0.0729660913348198,0.015384557656943798,0
0,1,0.05534711107611656,90,DC,Marseille,Lorient,3,1,2024-05-12,23662,2023,661636,0,0,0,0,0.05534711107611656,0.11942414194345474,0.11942414194345474
0,0,0,90,DC,Lens,Lorient,2,0,2024-05-03,23655,2023,658512,0,0,0,0,0,0.20791010558605194,0.20791010558605194
0,2,0.06534063071012497,15,Sub,Lorient,Toulouse,1,2,2024-04-28,23645,2023,657647,0,0,0,0,0.06534063071012497,0.04694545269012451,0.038458067923784256
0,1,0.03434692695736885,90,DC,Lorient,Paris Saint Germain,1,4,2024-04-24,23624,2023,656123,0,0,0,0,0.03434692695736885,0,0
0,0,0,90,DC,Monaco,Lorient,2,2,2024-03-17,23598,2023,648879,0,0,0,0,0,0,0
0,0,0,81,DC,Lorient,Lyon,0,2,2024-03-09,23590,2023,646777,0,0,0,0,0,0.024579191580414772,0.024579191580414772
0,0,0,90,DC,Rennes,Lorient,1,2,2024-03-03,23578,2023,645810,0,0,0,0,0,0.20039910078048706,0.20039910078048706
0,0,0,90,DC,Lorient,Nantes,0,1,2024-02-24,23574,2023,643328,0,0,0,0,0,0.37649425864219666,0.37649425864219666
0,0,0,46,Sub,Strasbourg,Lorient,1,3,2024-02-18,23560,2023,642220,0,0,0,0,0,0.17083120346069336,0.17083120346069336
0,1,0.12069356441497803,90,DC,Lorient,Le Havre,3,3,2024-01-28,23536,2023,637288,0,0,0,0,0.12069356441497803,0.1324063390493393,0.1324063390493393
0,0,0,53,Sub,Brest,Lorient,4,0,2023-12-20,23523,2023,631720,0,0,0,0,0,0.25414034724235535,0.25414034724235535
0,1,0.04183627665042877,51,DC,Lorient,Marseille,2,4,2023-12-10,23500,2023,629748,0,0,0,0,0.04183627665042877,0,0
0,1,0.10400493443012238,90,DC,Toulouse,Lorient,1,1,2023-12-03,23488,2023,627284,0,0,0,0,0.10400493443012238,0.0843462347984314,0.0843462347984314
0,1,0.054818954318761826,90,DC,Lorient,Metz,2,3,2023-11-26,23482,2023,625641,0.044015832245349884,0,1,0,0.054818954318761826,0.22533221542835236,0.18131639063358307
0,0,0,47,DC,Lyon,Lorient,3,3,2023-10-08,23437,2023,617118,0,0,0,0,0,0,0
0,3,0.2676900625228882,90,DC,Lorient,Montpellier,0,3,2023-10-01,23428,2023,615466,0,0,0,0,0.2676900625228882,0.239506334066391,0.239506334066391
0,0,0,90,DC,Nantes,Lorient,5,3,2023-09-23,23420,2023,612254,0,0,0,0,0,0.021939823403954506,0.021939823403954506
0,0,0,90,DC,Lorient,Monaco,2,2,2023-09-17,23411,2023,610895,0,0,0,0,0,0.3766249418258667,0.3766249418258667
0,0,0,90,DC,Le Havre,Lorient,3,0,2023-09-03,23404,2023,609444,0,0,0,0,0,0.20453917980194092,0.20453917980194092
0,0,0,90,DC,Lorient,Lille,4,1,2023-08-27,23393,2023,607652,0,0,0,0,0,0.3837624788284302,0.3837624788284302
0,0,0,90,DC,Lorient,Nice,1,1,2023-08-20,23381,2023,605770,0,0,0,0,0,0,0
0,0,0,90,DC,Paris Saint Germain,Lorient,0,0,2023-08-12,23379,2023,604139,0,0,0,0,0,0,0
0,0,0,23,Sub,Lorient,Strasbourg,2,1,2023-06-03,20022,2022,601995,0,0,0,0,0,0,0
0,0,0,90,DC,Clermont Foot,Lorient,2,0,2023-05-27,20009,2022,600434,0,0,0,0,0,0.14852593839168549,0.14852593839168549
0,0,0,21,DC,Reims,Lorient,4,2,2023-02-01,19856,2022,572553,0,0,0,0,0,0,0
0,0,0,90,DC,Lorient,Rennes,2,1,2023-01-27,19841,2022,571398,0,0,0,0,0,0,0
