goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,63,DL,Bordeaux,Clermont Foot,0,2,2021-08-08,17828,2021,474872,0,0,0,0,0,0.06592629849910736,0.06592629849910736
0,0,0,90,DC,Bordeaux,Lens,3,0,2021-05-16,16116,2020,471963,0.058638401329517365,0,1,0,0,0,0
0,0,0,90,DC,Nantes,Bordeaux,3,0,2021-05-08,16110,2020,468343,0,0,0,0,0,0.15227200090885162,0.15227200090885162
0,0,0,90,DC,Bordeaux,Rennes,1,0,2021-05-02,16105,2020,467336,0.03966829925775528,0,1,0,0,0.15999600291252136,0.12032700330018997
0,0,0,90,DL,Lorient,Bordeaux,4,1,2021-04-25,16086,2020,465962,0,0,0,0,0,0.37440600991249084,0.37440600991249084
0,0,0,90,DC,Bordeaux,Monaco,0,3,2021-04-18,16085,2020,463704,0.38536399602890015,0,2,0,0,0.38536399602890015,0
0,1,0.02681729942560196,90,DL,Saint-Etienne,Bordeaux,4,1,2021-04-11,16074,2020,461680,0,0,0,0,0.02681729942560196,0.11518500000238419,0.11518500000238419
0,0,0,90,DL,Montpellier,Bordeaux,3,1,2021-03-21,16048,2020,458547,0,0,0,0,0,0.13736000657081604,0.13736000657081604
0,1,0.12162099778652191,90,DL,Dijon,Bordeaux,1,3,2021-03-14,16037,2020,456988,0,0,0,0,0.12162099778652191,1.1888999938964844,1.1888999938964844
0,0,0,90,DC,Bordeaux,Paris Saint Germain,0,1,2021-03-03,16026,2020,454111,0,0,0,0,0,0.0464651994407177,0.0464651994407177
0,0,0,72,DL,Nimes,Bordeaux,2,0,2021-02-21,16012,2020,451252,0,0,0,0,0,0.020711300894618034,0.020711300894618034
0,0,0,90,DL,Bordeaux,Marseille,0,0,2021-02-14,15997,2020,449995,0.11722899973392487,0,1,0,0,1.5473999977111816,1.5473999977111816
0,0,0,90,DL,Brest,Bordeaux,2,1,2021-02-07,15991,2020,448089,0,0,0,0,0,0.023679500445723534,0.023679500445723534
0,0,0,90,DL,Bordeaux,Lille,0,3,2021-02-03,15976,2020,446923,0,0,0,0,0,0.03255920112133026,0.03255920112133026
0,0,0,90,DL,Lyon,Bordeaux,2,1,2021-01-29,15970,2020,445306,0,0,0,0,0,0.0453139990568161,0.0453139990568161
0,0,0,90,DL,Bordeaux,Angers,2,1,2021-01-24,15956,2020,444446,0,0,0,0,0,0.48998698592185974,0.48998698592185974
0,0,0,90,DL,Nice,Bordeaux,0,3,2021-01-17,15954,2020,442613,0,0,0,0,0,0.9670519828796387,0.9670519828796387
0,2,0.05839090049266815,90,DL,Bordeaux,Lorient,2,1,2021-01-09,15936,2020,441062,0.10304100066423416,0,1,0,0.05839090049266815,0.3386639952659607,0.3386639952659607
0,0,0,90,DL,Metz,Bordeaux,0,0,2021-01-06,15930,2020,440354,0.02246120013296604,0,1,0,0,0.06837320327758789,0.06837320327758789
0,0,0,46,DL,Bordeaux,Reims,1,3,2020-12-23,15919,2020,437526,0,0,0,0,0,0,0
0,0,0,90,DL,Strasbourg,Bordeaux,0,2,2020-12-20,15913,2020,436681,0,0,0,0,0,0.12921099364757538,0.12921099364757538
0,1,0.07761809974908829,90,DL,Bordeaux,Brest,1,0,2020-12-06,15877,2020,431936,0.08270630240440369,0,2,0,0.07761809974908829,0.8731439709663391,0.8214100003242493
0,1,0.0494409017264843,43,Sub,Paris Saint Germain,Bordeaux,2,2,2020-11-28,15874,2020,429905,0,0,0,0,0.0494409017264843,0,0
0,0,0,90,DL,Bordeaux,Montpellier,0,2,2020-11-07,15848,2020,426400,0,0,0,0,0,0.2176389992237091,0.2176389992237091
0,0,0,90,DL,Monaco,Bordeaux,4,0,2020-11-01,15838,2020,425348,0,0,0,0,0,0.0830978974699974,0.0830978974699974
0,1,0.030337700620293617,90,DL,Bordeaux,Nimes,2,0,2020-10-25,15826,2020,423483,0.11145699769258499,0,2,0,0.030337700620293617,0.6016600131988525,0.6016600131988525
0,0,0,67,DL,Marseille,Bordeaux,3,1,2020-10-17,15819,2020,421530,0,0,0,0,0,0,0
0,1,0.03397420048713684,90,DL,Bordeaux,Dijon,3,0,2020-10-04,15811,2020,420163,0,0,0,0,0.03397420048713684,0.749638020992279,0.749638020992279
0,0,0,90,DL,Bordeaux,Nice,0,0,2020-09-27,14217,2020,417883,0.11343099921941757,0,2,0,0,0.42279699444770813,0.30936598777770996
0,0,0,90,DL,Lens,Bordeaux,2,1,2020-09-19,14205,2020,415858,0.06693319976329803,0,1,0,0,0.06693319976329803,0
0,0,0,90,DL,Bordeaux,Lyon,0,0,2020-09-11,14191,2020,414445,0,0,0,0,0,0,0
0,0,0,90,DL,Angers,Bordeaux,0,2,2020-08-30,13987,2020,414130,0,0,0,0,0,0.1546510010957718,0.1546510010957718
0,1,0.020778000354766846,90,DL,Saint-Etienne,Bordeaux,1,1,2020-03-08,12983,2019,397230,0.017098600044846535,0,1,0,0.020778000354766846,0.17596599459648132,0.17596599459648132
0,3,0.2597079873085022,90,DC,Paris Saint Germain,Bordeaux,4,3,2020-02-23,12966,2019,395378,0.07707440108060837,0,3,0,0.2597079873085022,0.0767344981431961,0.05359499901533127
0,0,0,90,DL,Bordeaux,Dijon,2,2,2020-02-15,12950,2019,393811,0.023014599457383156,0,1,0,0,0.04362659901380539,0.020611999556422234
0,0,0,90,DL,Metz,Bordeaux,1,2,2020-02-08,12947,2019,392905,0.04588799923658371,0,2,0,0,0.49466800689697266,0.4652799963951111
0,1,0.07924920320510864,90,DC,Brest,Bordeaux,1,1,2020-02-05,12938,2019,392265,0,0,0,0,0.07924920320510864,0.2110230028629303,0.2110230028629303
0,0,0,90,DL,Nantes,Bordeaux,0,1,2020-01-26,12914,2019,390768,0.010427700355648994,0,1,0,0,0.010427700355648994,0.010427700355648994
0,0,0,90,DML,Bordeaux,Lyon,1,2,2020-01-11,12901,2019,388506,0,0,0,0,0,0,0
0,1,0.0771040990948677,85,DML,Rennes,Bordeaux,1,0,2019-12-21,12891,2019,371940,0,0,0,0,0.0771040990948677,0.10622899979352951,0.029125399887561798
0,2,0.04833989962935448,90,DML,Bordeaux,Strasbourg,0,1,2019-12-15,12883,2019,370405,0,0,0,0,0.04833989962935448,0.8667269945144653,0.8667269945144653
0,0,0,71,DML,Marseille,Bordeaux,3,1,2019-12-08,12876,2019,369400,0,0,0,0,0,0.027001099660992622,0.027001099660992622
0,1,0.025470800697803497,90,DML,Reims,Bordeaux,1,1,2019-11-30,12850,2019,366583,0,0,0,0,0.025470800697803497,0.025470800697803497,0
0,0,0,90,DC,Bordeaux,Monaco,2,1,2019-11-24,12843,2019,365351,0.018277600407600403,0,1,0,0,0.13879500329494476,0.13879500329494476
0,0,0,90,DML,Nice,Bordeaux,1,1,2019-11-08,12831,2019,362766,0.3746950030326843,0,3,0,0,0.3746950030326843,0.3746950030326843
0,0,0,90,DML,Bordeaux,Nantes,2,0,2019-11-03,12819,2019,362142,0,0,0,0,0,0.12495499849319458,0.12495499849319458
0,0,0,90,DML,Lille,Bordeaux,3,0,2019-10-26,12818,2019,359521,0,0,0,0,0,0.08882690221071243,0.08882690221071243
0,0,0,90,DML,Bordeaux,Saint-Etienne,0,1,2019-10-20,12804,2019,358451,0.04088990017771721,0,1,0,0,0.10284999758005142,0.061959899961948395
0,0,0,90,DML,Toulouse,Bordeaux,1,3,2019-10-05,12795,2019,356543,0,0,0,0,0,0.4306899905204773,0.4306899905204773
0,0,0,13,Sub,Bordeaux,Paris Saint Germain,0,1,2019-09-28,12780,2019,354789,0,0,0,0,0,0,0
0,0,0,20,Sub,Amiens,Bordeaux,1,3,2019-09-25,12778,2019,353855,0.08399160206317902,0,1,0,0,0.11548899859189987,0.11548899859189987
0,0,0,90,DL,Lyon,Bordeaux,1,1,2019-08-31,12744,2019,347612,0.01689849980175495,0,1,0,0,0.14514000713825226,0.12824100255966187
