goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,24,Sub,Como,Pisa,5,0,2026-03-22,30137,2025,779013,0,0,0,0,0,0,0
0,0,0,3,Sub,Pisa,Sassuolo,1,3,2026-01-31,30071,2025,766929,0.00830277893692255,0,1,0,0,0.02642776072025299,0.018124982714653015
0,0,0,3,Sub,Pisa,Udinese,0,1,2025-09-14,29868,2025,737540,0,0,0,0,0,0,0
0,2,0.05077164247632027,6,Sub,Pisa,Roma,0,1,2025-08-30,29858,2025,735481,0,0,0,0,0.05077164247632027,0.05077164247632027,0.024267427623271942
0,0,0,10,Sub,Nice,Marseille,0,3,2022-08-28,19682,2022,545186,0,0,0,0,0,0.08012860268354416,0.08012860268354416
0,0,0,57,AMR,Clermont Foot,Nice,1,0,2022-08-21,19670,2022,543030,0,0,0,0,0,0.03629320114850998,0.03629320114850998
0,2,0.06797409802675247,72,AMR,Nice,Strasbourg,1,1,2022-08-14,19666,2022,541381,0,0,0,0,0.06797409802675247,0.08992719650268555,0.021952999755740166
0,1,0.0713547021150589,79,FWR,Toulouse,Nice,1,1,2022-08-07,19651,2022,539753,0.047108400613069534,0,1,0,0.0713547021150589,0.2506609857082367,0.1321980059146881
0,0,0,2,Sub,Nice,Saint-Etienne,4,2,2022-05-11,18173,2021,534725,0.10903699696063995,0,1,0,0,0.10903699696063995,0
0,0,0,17,Sub,Bordeaux,Nice,0,1,2022-05-01,18170,2021,531317,0,0,0,0,0,0.2523989975452423,0.2523989975452423
0,0,0,67,MR,Nice,Lorient,2,1,2022-04-17,18137,2021,526790,0.4396679997444153,0,5,0,0,0.3276680111885071,0.04282969981431961
0,1,0.018638499081134796,18,Sub,Lens,Nice,3,0,2022-04-10,18126,2021,525506,0,0,0,0,0.018638499081134796,0.018638499081134796,0
0,0,0,1,Sub,Nice,Rennes,1,1,2022-04-02,18117,2021,522905,0,0,0,0,0,0,0
0,2,0.4512859880924225,67,MR,Marseille,Nice,2,1,2022-03-20,18106,2021,522286,0,0,0,0,0.4512859880924225,0.4705809950828552,0.019295500591397285
0,2,0.048540499061346054,87,ML,Montpellier,Nice,0,0,2022-03-12,18098,2021,534425,0.3725540041923523,0,1,0,0.048540499061346054,0.4677189886569977,0.046624600887298584
0,0,0,11,Sub,Nice,Paris Saint Germain,1,0,2022-03-05,18091,2021,517918,0.3927899897098541,1,1,0,0,0.469323992729187,0.07653480023145676
0,0,0,6,Sub,Strasbourg,Nice,0,0,2022-02-26,18076,2021,516304,0,0,0,0,0,0,0
0,1,0.028694799169898033,73,ML,Metz,Nice,0,2,2022-01-23,18038,2021,510107,0.11804600059986115,0,1,0,0.028694799169898033,0.24490199983119965,0.21620699763298035
0,0,0,15,Sub,Nice,Nantes,2,1,2022-01-14,18025,2021,507858,0,0,0,0,0,0.12874899804592133,0.12874899804592133
0,0,0,4,Sub,Rennes,Nice,1,2,2021-12-12,17993,2021,502426,0,0,0,0,0,0,0
0,0,0,73,MR,Nice,Strasbourg,0,3,2021-12-05,17985,2021,500835,0,0,0,0,0,0.05606289952993393,0.05606289952993393
0,1,0.013757499866187572,16,Sub,Paris Saint Germain,Nice,0,0,2021-12-01,17978,2021,499259,0,0,0,0,0.013757499866187572,0.013757499866187572,0
0,0,0,76,MR,Nice,Metz,0,1,2021-11-27,17971,2021,497724,0.36294400691986084,0,2,0,0,0.3466919958591461,0.013951599597930908
0,0,0,17,Sub,Clermont Foot,Nice,1,2,2021-11-21,17954,2021,496594,0.05809039995074272,0,2,0,0,0.1485310047864914,0.09044039994478226
0,1,0.051928501576185226,1,Sub,Nice,Montpellier,0,1,2021-11-07,17948,2021,494866,0,0,0,0,0.051928501576185226,0.051928501576185226,0
0,0,0,77,MR,Troyes,Nice,1,0,2021-10-17,17921,2021,488562,0.10051800310611725,0,2,0,0,0.13421699404716492,0.13421699404716492
0,5,1.7202800512313843,90,MR,Nice,Brest,2,1,2021-10-02,17909,2021,486847,0.17861799895763397,0,3,0,1.7202800512313843,2.676270008087158,0.8747649788856506
1,3,1.0202100276947021,79,MR,Saint-Etienne,Nice,0,3,2021-09-25,17899,2021,484834,0,0,0,1,1.0202100276947021,1.3537499904632568,0.33354100584983826
0,1,0.01969270035624504,67,Sub,Lorient,Nice,1,0,2021-09-22,17890,2021,484053,0.3666920065879822,0,3,0,0.01969270035624504,0.3863849937915802,0
0,2,0.07188569754362106,90,MR,Nice,Monaco,2,2,2021-09-19,17878,2021,482520,0.02116830088198185,0,1,0,0.07188569754362106,0.18104000389575958,0.10915499925613403
0,1,0.022088099271059036,78,ML,Nantes,Nice,0,2,2021-09-12,17862,2021,481168,0,0,0,0,0.022088099271059036,0.7441200017929077,0.7220320105552673
0,1,0.06811120361089706,44,Sub,Nice,Bordeaux,4,0,2021-08-28,17853,2021,479037,0.09885270148515701,0,1,0,0.06811120361089706,0.16696399450302124,0.06811120361089706
