goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Montpellier,Lille,1,3,2022-09-04,19702,2022,547712,0,0,0,0,0,0.27992600202560425,0.27992600202560425
0,0,0,90,GK,Lille,Nice,1,2,2022-08-31,19690,2022,546460,0,0,0,0,0,0,0
0,0,0,90,GK,Ajaccio,Lille,1,3,2022-08-26,19678,2022,544107,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Paris Saint Germain,1,7,2022-08-21,19671,2022,543570,0,0,0,0,0,0.09673289954662323,0.09673289954662323
0,0,0,90,GK,Nantes,Lille,1,1,2022-08-12,19658,2022,540323,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Auxerre,4,1,2022-08-07,19652,2022,539851,0,0,0,0,0,0.13488200306892395,0.13488200306892395
0,0,0,90,GK,Lille,Rennes,2,2,2022-05-21,18193,2021,537407,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Lille,1,3,2022-05-14,18187,2021,535798,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Monaco,1,2,2022-05-06,18179,2021,531962,0,0,0,0,0,0,0
0,0,0,90,GK,Troyes,Lille,3,0,2022-05-01,18169,2021,530907,0,0,0,0,0,0.03494099900126457,0.03494099900126457
0,0,0,90,GK,Lille,Strasbourg,1,0,2022-04-24,18153,2021,529535,0,0,0,0,0,0,0
0,0,0,90,GK,Reims,Lille,2,1,2022-04-20,18149,2021,527721,0,0,0,0,0,0.01861480064690113,0.01861480064690113
0,0,0,90,GK,Lille,Lens,1,2,2022-04-16,18132,2021,526726,0,0,0,0,0,0.044514600187540054,0.044514600187540054
0,0,0,90,GK,Angers,Lille,1,1,2022-04-10,18122,2021,525347,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Bordeaux,0,0,2022-04-02,18113,2021,523040,0,0,0,0,0,0.3282659947872162,0.3282659947872162
0,0,0,90,GK,Nantes,Lille,0,1,2022-03-19,18111,2021,521523,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Saint-Etienne,0,0,2022-03-11,18095,2021,519026,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Clermont Foot,4,0,2022-03-06,18087,2021,518383,0,0,0,0,0,0,0
0,0,0,90,GK,Lyon,Lille,0,1,2022-02-27,18079,2021,516925,0,0,0,0,0,0,0
0,0,0,90,GK,Lille,Metz,0,0,2022-02-18,18067,2021,513876,0,0,0,0,0,0,0
0,0,0,90,GK,Montpellier,Lille,0,1,2022-02-12,18055,2021,512775,0,0,0,0,0,0.022617900744080544,0.022617900744080544
0,0,0,90,GK,Lille,Nice,0,4,2021-08-14,17833,2021,475644,0,0,0,0,0,0.23393100500106812,0.23393100500106812
0,0,0,90,GK,Metz,Lille,3,3,2021-08-08,17830,2021,475003,0,0,0,0,0,0.05453990027308464,0.05453990027308464
