goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.058790091425180435,90,MC,Angers,Strasbourg,1,1,2026-05-10,29826,2025,789706,0.3411097526550293,1,1,0,0.058790091425180435,0.3683972954750061,0.027287542819976807
0,1,0.32208624482154846,64,AMC,Auxerre,Angers,3,1,2026-05-03,29817,2025,787920,0,0,0,0,0.32208624482154846,0.32208624482154846,0
0,0,0,76,MC,Angers,Paris Saint Germain,0,3,2026-04-25,29808,2025,785789,0,0,0,0,0,0.5038584470748901,0.5038584470748901
0,3,0.1274542361497879,76,MC,Angers,Le Havre,1,1,2026-04-18,29799,2025,783498,0.03663651645183563,0,1,0,0.1274542361497879,0.6933469772338867,0.6140477061271667
0,0,0,26,Sub,Rennes,Angers,2,1,2026-04-11,29797,2025,782049,0,0,0,0,0,0,0
0,0,0,1,Sub,Angers,Lyon,0,0,2026-04-05,29781,2025,780514,0,0,0,0,0,0,0
0,0,0,7,Sub,Lens,Angers,5,1,2026-03-20,29773,2025,778144,0,0,0,0,0,0,0
0,2,0.10708574205636978,68,MC,Angers,Nice,0,2,2026-03-14,29763,2025,777067,0.06627891957759857,0,1,0,0.10708574205636978,0.17336466908454895,0
0,1,0.05962436646223068,76,Sub,Nantes,Angers,0,1,2026-03-07,29759,2025,775313,0,0,0,0,0.05962436646223068,0,0
0,0,0,17,Sub,Monaco,Angers,2,0,2026-02-28,29750,2025,773573,0,0,0,0,0,0.041549332439899445,0.041549332439899445
0,0,0,1,Sub,Angers,Toulouse,1,0,2026-02-08,29718,2025,769281,0,0,0,0,0,0,0
0,0,0,10,Sub,Angers,Marseille,2,5,2026-01-17,29691,2025,764590,0,0,0,0,0,0,0
0,0,0,5,Sub,Nice,Angers,0,1,2025-12-07,29670,2025,756650,0,0,0,0,0,0,0
0,0,0,6,Sub,Lyon,Angers,1,0,2025-09-19,29578,2025,738211,0.03251851722598076,0,1,0,0,0.03251851722598076,0
0,0,0,40,Sub,Paris Saint Germain,Angers,1,0,2025-08-22,29547,2025,732884,0.07624046504497528,0,1,0,0,0.07624046504497528,0
0,0,0,60,Sub,Angers,Rennes,0,3,2025-03-30,28282,2024,715477,0,0,0,0,0,0.4259766936302185,0.4259766936302185
0,0,0,4,Sub,Angers,Monaco,0,2,2025-03-15,28281,2024,713330,0,0,0,0,0,0.07589756697416306,0.07589756697416306
0,1,0.013356398791074753,16,Sub,Angers,Toulouse,0,4,2025-03-02,28263,2024,710485,0,0,0,0,0.013356398791074753,0.013356398791074753,0
0,2,0.08530691266059875,81,DMC,Saint-Etienne,Angers,3,3,2025-02-22,28251,2024,708121,0.03459580987691879,0,1,0,0.08530691266059875,0.5734654068946838,0.5582569241523743
0,0,0,8,Sub,Reims,Angers,0,1,2025-02-16,28243,2024,706950,0.9581922888755798,0,2,0,0,0.9581922888755798,0
0,0,0,13,Sub,Angers,Marseille,0,2,2025-02-09,28235,2024,705602,0.04901731014251709,0,1,0,0,0.04901731014251709,0
0,1,0.017417607828974724,10,Sub,Angers,Auxerre,2,0,2025-01-19,28208,2024,700732,0,0,0,0,0.017417607828974724,0,0
0,1,0.03479858115315437,1,Sub,Montpellier,Angers,1,3,2025-01-12,28197,2024,698713,0,0,0,0,0.03479858115315437,0.49883711338043213,0.49883711338043213
0,0,0,11,Sub,Angers,Brest,2,0,2025-01-05,28187,2024,697658,0,0,0,0,0,0,0
0,0,0,14,Sub,Monaco,Angers,0,1,2024-11-01,28129,2024,684557,0,0,0,0,0,0.1206553727388382,0.1206553727388382
0,0,0,36,Sub,Angers,Saint-Etienne,4,2,2024-10-26,28121,2024,683095,0,0,0,0,0,0,0
0,0,0,13,Sub,Toulouse,Angers,1,1,2024-10-20,28114,2024,682119,0,0,0,0,0,0,0
