id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
310736,75,SavedShot,0.815,0.700999984741211,0.017112499102950096,Abdoul Kader Bamba,h,7760,OpenPlay,2019,RightFoot,12720,Nantes,Marseille,0,0,2019-08-17 16:30:00,Samuel Moutoussamy,Chipped
312787,23,MissedShots,0.749000015258789,0.5570000076293945,0.021665599197149277,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12730,Amiens,Nantes,1,2,2019-08-24 19:00:00,,BallRecovery
312794,52,BlockedShot,0.769000015258789,0.6619999694824219,0.022352300584316254,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12730,Amiens,Nantes,1,2,2019-08-24 19:00:00,Lucas Lima,Pass
322403,86,MissedShots,0.860999984741211,0.6229999923706054,0.11798299849033356,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12784,Lyon,Nantes,0,1,2019-09-28 11:30:00,Kalifa Coulibaly,Pass
329783,65,SavedShot,0.7809999847412109,0.4159999847412109,0.029700100421905518,Abdoul Kader Bamba,a,7760,OpenPlay,2019,LeftFoot,12819,Bordeaux,Nantes,2,0,2019-11-03 14:00:00,Thody Elie Youan,Pass
332498,88,SavedShot,0.8880000305175781,0.6630000305175782,0.06547199934720993,Abdoul Kader Bamba,a,7760,OpenPlay,2019,LeftFoot,12842,Brest,Nantes,1,1,2019-11-23 19:00:00,,Dispossessed
334329,35,SavedShot,0.7559999847412109,0.519000015258789,0.023777799680829048,Abdoul Kader Bamba,h,7760,OpenPlay,2019,LeftFoot,12853,Nantes,Toulouse,2,1,2019-12-01 14:00:00,Ludovic Blas,Pass
334341,61,MissedShots,0.86,0.35400001525878905,0.08957289904356003,Abdoul Kader Bamba,h,7760,OpenPlay,2019,LeftFoot,12853,Nantes,Toulouse,2,1,2019-12-01 14:00:00,Moses Simon,Pass
337316,40,SavedShot,0.8680000305175781,0.31,0.06878980249166489,Abdoul Kader Bamba,a,7760,OpenPlay,2019,LeftFoot,12879,Nimes,Nantes,0,1,2019-12-14 19:00:00,Imran Louza,Pass
337323,70,BlockedShot,0.845,0.3579999923706055,0.019819600507616997,Abdoul Kader Bamba,a,7760,FromCorner,2019,RightFoot,12879,Nimes,Nantes,0,1,2019-12-14 19:00:00,,Aerial
354389,15,BlockedShot,0.75,0.545,0.020035700872540474,Abdoul Kader Bamba,a,7760,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Ludovic Blas,Pass
356499,74,SavedShot,0.9,0.67,0.3584420084953308,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12919,Rennes,Nantes,3,2,2020-01-31 18:00:00,Imran Louza,TakeOn
357572,66,MissedShots,0.7809999847412109,0.57,0.026660900563001633,Abdoul Kader Bamba,h,7760,SetPiece,2019,RightFoot,12929,Nantes,Paris Saint Germain,1,2,2020-02-04 20:05:00,Mehdi Abeid,Pass
357583,79,BlockedShot,0.7140000152587891,0.41,0.014989299699664116,Abdoul Kader Bamba,h,7760,OpenPlay,2019,RightFoot,12929,Nantes,Paris Saint Germain,1,2,2020-02-04 20:05:00,Imran Louza,Pass
358195,74,MissedShots,0.8769999694824219,0.6270000076293946,0.10425599664449692,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12942,Dijon,Nantes,3,3,2020-02-08 19:00:00,Mehdi Abeid,Pass
359137,76,SavedShot,0.9280000305175782,0.5940000152587891,0.39170798659324646,Abdoul Kader Bamba,h,7760,OpenPlay,2019,LeftFoot,12952,Nantes,Metz,0,0,2020-02-15 19:00:00,Imran Louza,Throughball
359918,52,Goal,0.835,0.6969999694824218,0.03255299851298332,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12965,Marseille,Nantes,1,3,2020-02-22 16:30:00,Imran Louza,Pass
359928,90,SavedShot,0.8159999847412109,0.6680000305175782,0.0631456971168518,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12965,Marseille,Nantes,1,3,2020-02-22 16:30:00,Imran Louza,Pass
361898,56,MissedShots,0.9269999694824219,0.44299999237060544,0.43062400817871094,Abdoul Kader Bamba,a,7760,OpenPlay,2019,RightFoot,12984,Angers,Nantes,2,0,2020-03-07 18:00:00,Ludovic Blas,Pass
375462,71,BlockedShot,0.7780000305175782,0.5540000152587891,0.09248259663581848,Abdoul Kader Bamba,a,7760,DirectFreekick,2020,RightFoot,13977,Bordeaux,Nantes,0,0,2020-08-21 17:00:00,,Standard
380865,74,BlockedShot,0.7630000305175781,0.6,0.02258390001952648,Abdoul Kader Bamba,a,7760,OpenPlay,2020,LeftFoot,15808,Nice,Nantes,2,1,2020-10-03 19:00:00,Randal Kolo Muani,Pass
382435,78,Goal,0.8480000305175781,0.49599998474121093,0.10400299727916718,Abdoul Kader Bamba,h,7760,OpenPlay,2020,RightFoot,15821,Nantes,Brest,3,1,2020-10-18 13:00:00,Moses Simon,Pass
384857,69,SavedShot,0.885,0.5,0.7600950002670288,Abdoul Kader Bamba,h,7760,Penalty,2020,RightFoot,15839,Nantes,Paris Saint Germain,0,3,2020-10-31 20:00:00,,Standard
386558,79,Goal,0.8969999694824219,0.6809999847412109,0.06376250088214874,Abdoul Kader Bamba,a,7760,OpenPlay,2020,LeftFoot,15854,Lorient,Nantes,0,2,2020-11-08 14:00:00,Abdoulaye Touré,Pass
386560,87,BlockedShot,0.9,0.674000015258789,0.09067259728908539,Abdoul Kader Bamba,a,7760,OpenPlay,2020,RightFoot,15854,Lorient,Nantes,0,2,2020-11-08 14:00:00,Ludovic Blas,Pass
387722,22,BlockedShot,0.8419999694824218,0.5459999847412109,0.08374830335378647,Abdoul Kader Bamba,h,7760,OpenPlay,2020,LeftFoot,15863,Nantes,Metz,1,1,2020-11-22 12:00:00,Randal Kolo Muani,Pass
387734,59,SavedShot,0.9130000305175782,0.6519999694824219,0.04733860120177269,Abdoul Kader Bamba,h,7760,OpenPlay,2020,LeftFoot,15863,Nantes,Metz,1,1,2020-11-22 12:00:00,Sébastien Corchia,Cross
387741,75,SavedShot,0.7430000305175781,0.43400001525878906,0.019126499071717262,Abdoul Kader Bamba,h,7760,OpenPlay,2020,RightFoot,15863,Nantes,Metz,1,1,2020-11-22 12:00:00,Fabio,Pass
392106,88,SavedShot,0.8980000305175782,0.32799999237060545,0.057684801518917084,Abdoul Kader Bamba,h,7760,OpenPlay,2020,RightFoot,15891,Nantes,Dijon,1,1,2020-12-13 14:00:00,,None
392992,87,BlockedShot,0.735999984741211,0.549000015258789,0.020632199943065643,Abdoul Kader Bamba,a,7760,OpenPlay,2020,RightFoot,15905,Reims,Nantes,3,2,2020-12-16 18:00:00,Abdoulaye Touré,Pass
395457,1,MissedShots,0.749000015258789,0.6379999923706055,0.019680999219417572,Abdoul Kader Bamba,a,7760,FromCorner,2020,RightFoot,15921,Lyon,Nantes,3,0,2020-12-23 20:00:00,,Rebound
395464,12,BlockedShot,0.855999984741211,0.365,0.06761779636144638,Abdoul Kader Bamba,a,7760,OpenPlay,2020,LeftFoot,15921,Lyon,Nantes,3,0,2020-12-23 20:00:00,Randal Kolo Muani,LayOff
404782,85,Goal,0.9740000152587891,0.580999984741211,0.502128005027771,Abdoul Kader Bamba,a,7760,OpenPlay,2020,LeftFoot,15996,Angers,Nantes,1,3,2021-02-14 14:00:00,Ludovic Blas,Throughball
412999,87,MissedShots,0.9159999847412109,0.7469999694824219,0.017766600474715233,Abdoul Kader Bamba,h,7760,OpenPlay,2020,LeftFoot,16064,Nantes,Nice,1,2,2021-04-04 13:00:00,Charles Traore,TakeOn
490891,91,SavedShot,0.8319999694824218,0.590999984741211,0.09232480078935623,Abdoul Kader Bamba,a,7760,OpenPlay,2022,RightFoot,19730,Monaco,Nantes,4,1,2022-10-02 15:05:00,Pedro Chirivella,Pass
532452,94,SavedShot,0.9319999694824219,0.31,0.061049684882164,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23374,Nantes,Toulouse,1,2,2023-08-13 13:00:00,Quentin Merlin,Pass
533661,74,BlockedShot,0.855999984741211,0.649000015258789,0.0480683259665966,Abdoul Kader Bamba,a,7760,OpenPlay,2023,LeftFoot,23383,Lille,Nantes,2,0,2023-08-20 11:00:00,Marquinhos,BallRecovery
535888,93,BlockedShot,0.9059999847412109,0.644000015258789,0.08496534824371338,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23403,Nantes,Marseille,1,1,2023-09-01 19:00:00,Douglas Augusto,Pass
542012,91,BlockedShot,0.8590000152587891,0.6419999694824219,0.05398978292942047,Abdoul Kader Bamba,a,7760,OpenPlay,2023,LeftFoot,23426,Rennes,Nantes,3,1,2023-10-01 18:45:00,Moses Simon,Pass
544593,73,Goal,0.9269999694824219,0.46799999237060547,0.6415442824363708,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23450,Nantes,Montpellier,2,0,2023-10-22 13:00:00,Moses Simon,Pass
547351,92,BlockedShot,0.9059999847412109,0.515,0.11401386559009552,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23469,Nantes,Reims,0,1,2023-11-05 14:00:00,Samuel Moutoussamy,TakeOn
547352,93,MissedShots,0.9630000305175781,0.5179999923706055,0.6450109481811523,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23469,Nantes,Reims,0,1,2023-11-05 14:00:00,Ronael Pierre Gabriel,None
558483,55,BlockedShot,0.8430000305175781,0.5279999923706055,0.08548064529895782,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23529,Nantes,Clermont Foot,1,2,2024-01-14 14:00:00,Florent Mollet,Pass
558488,60,SavedShot,0.8169999694824219,0.4859999847412109,0.054613690823316574,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23529,Nantes,Clermont Foot,1,2,2024-01-14 14:00:00,Nicolas Pallois,Pass
558496,83,SavedShot,0.8019999694824219,0.6659999847412109,0.025229686871170998,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23529,Nantes,Clermont Foot,1,2,2024-01-14 14:00:00,Quentin Merlin,Chipped
558497,88,BlockedShot,0.7880000305175782,0.6969999694824218,0.07004720717668533,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23529,Nantes,Clermont Foot,1,2,2024-01-14 14:00:00,Quentin Merlin,Chipped
561461,87,MissedShots,0.8909999847412109,0.705999984741211,0.05132376030087471,Abdoul Kader Bamba,h,7760,OpenPlay,2023,RightFoot,23548,Nantes,Lens,0,1,2024-02-03 20:00:00,Matthis Abline,Pass
574116,92,Goal,0.7809999847412109,0.5370000076293945,0.03167174756526947,Abdoul Kader Bamba,a,7760,OpenPlay,2023,RightFoot,23630,Le Havre,Nantes,0,1,2024-04-14 11:00:00,Pedro Chirivella,Pass
582875,88,MissedShots,0.8019999694824219,0.6029999923706054,0.11058278381824493,Abdoul Kader Bamba,a,7760,DirectFreekick,2023,RightFoot,23675,Monaco,Nantes,4,0,2024-05-19 19:00:00,,Standard
