goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Troyes,Lille,1,1,2023-06-03,20027,2022,602143,0,0,0,0,0,0,0
0,1,0.05296534299850464,90,DC,Angers,Troyes,2,1,2023-05-27,20008,2022,600405,0,0,0,0,0.05296534299850464,0,0
0,0,0,90,DC,Troyes,Strasbourg,1,1,2023-05-21,20007,2022,598700,0,0,0,0,0,0.019902920350432396,0.019902920350432396
0,0,0,90,DC,Rennes,Troyes,4,0,2023-05-14,19996,2022,597094,0,0,0,0,0,0,0
0,1,0.06737887859344482,90,DC,Troyes,Paris Saint Germain,1,3,2023-05-07,19987,2022,595628,0,0,0,0,0.06737887859344482,0.09594319760799408,0.09594319760799408
0,1,0.016441302374005318,90,DC,Troyes,Nice,0,1,2023-04-30,19977,2022,593011,0,0,0,0,0.016441302374005318,0.08631959557533264,0.08631959557533264
0,0,0,90,DC,Nantes,Troyes,2,2,2023-04-23,19962,2022,590748,0,0,0,0,0,0.046971023082733154,0.046971023082733154
0,0,0,90,DC,Marseille,Troyes,3,1,2023-04-16,19952,2022,589511,0,0,0,0,0,0,0
0,0,0,90,DC,Troyes,Clermont Foot,0,2,2023-04-09,19947,2022,587390,0,0,0,0,0,0.012228099629282951,0.012228099629282951
0,1,0.07979139685630798,90,DC,Auxerre,Troyes,1,0,2023-04-01,19928,2022,584843,0.12073399871587753,0,1,0,0.07979139685630798,0.0691974014043808,0.0691974014043808
0,2,0.1525849997997284,90,DC,Troyes,Brest,2,2,2023-03-19,19927,2022,583758,0,0,0,0,0.1525849997997284,0.23030300438404083,0.13338600099086761
0,1,0.11784200370311737,90,DC,Lorient,Troyes,2,0,2023-03-12,19913,2022,581856,0,0,0,0,0.11784200370311737,0,0
0,0,0,90,DC,Troyes,Monaco,2,2,2023-03-05,19907,2022,580004,0,0,0,0,0,0.4205929934978485,0.4205929934978485
0,0,0,7,Sub,Ajaccio,Troyes,2,1,2023-02-26,19888,2022,578501,0,0,0,0,0,0.07820180058479309,0.07820180058479309
0,0,0,48,DC,Troyes,Montpellier,0,1,2023-02-19,19887,2022,577000,0,0,0,0,0,0.013846199959516525,0.013846199959516525
0,0,0,90,DC,Reims,Troyes,4,0,2023-02-12,19876,2022,575352,0,0,0,0,0,0,0
0,0,0,90,DC,Troyes,Lyon,1,3,2023-02-04,19867,2022,573556,0,0,0,0,0,0.48901399970054626,0.48901399970054626
0,0,0,90,DC,Toulouse,Troyes,4,1,2023-02-01,19857,2022,572522,0,0,0,0,0,0.030182400718331337,0.030182400718331337
0,0,0,90,DC,Troyes,Lens,1,1,2023-01-28,19847,2022,571710,0,0,0,0,0,0,0
0,1,0.13074199855327606,90,DC,Lille,Troyes,5,1,2023-01-15,19830,2022,569221,0.020144399255514145,0,1,0,0.13074199855327606,0.15395300090312958,0.13380900025367737
0,0,0,90,DC,Troyes,Marseille,0,2,2023-01-11,19827,2022,568382,0,0,0,0,0,0.047568000853061676,0.047568000853061676
0,0,0,90,DC,Strasbourg,Troyes,2,3,2023-01-02,19815,2022,566854,0,0,0,0,0,0.09184789657592773,0.09184789657592773
0,0,0,90,DC,Troyes,Nantes,0,0,2022-12-28,19807,2022,565718,0,0,0,0,0,0.02695620059967041,0.02695620059967041
0,0,0,90,DC,Brest,Troyes,2,1,2022-11-13,19796,2022,564980,0,0,0,0,0,0.13277499377727509,0.13277499377727509
0,0,0,90,DC,Troyes,Auxerre,1,1,2022-11-04,19787,2022,561485,0,0,0,0,0,0.342523992061615,0.342523992061615
0,0,0,90,DC,Paris Saint Germain,Troyes,4,3,2022-10-29,19773,2022,560213,0.09860199689865112,0,1,0,0,0.2079080045223236,0.10930600017309189
0,0,0,90,DC,Troyes,Lorient,2,2,2022-10-23,19767,2022,558753,0.1460610032081604,0,1,0,0,0.3170419931411743,0.1709810048341751
0,1,0.018704500049352646,39,Sub,Troyes,Ajaccio,1,1,2022-10-16,19757,2022,556436,0,0,0,0,0.018704500049352646,0.17511099576950073,0.17511099576950073
0,0,0,62,DC,Nice,Troyes,3,2,2022-10-09,19742,2022,554632,0,0,0,0,0,0.06235070154070854,0.06235070154070854
0,0,0,90,DC,Troyes,Reims,2,2,2022-10-02,19737,2022,552890,0.03839949890971184,0,2,0,0,0.10072200000286102,0.08351849764585495
0,1,0.014330199919641018,90,DC,Clermont Foot,Troyes,1,3,2022-09-18,19719,2022,551368,0,0,0,0,0.014330199919641018,0.23573699593544006,0.2214069962501526
0,0,0,67,DC,Lens,Troyes,1,0,2022-09-09,19714,2022,548829,0,0,0,0,0,0,0
0,0,0,90,DC,Troyes,Rennes,1,1,2022-09-04,19707,2022,548061,0,0,0,0,0,0,0
0,1,0.12533800303936005,90,DC,Monaco,Troyes,2,4,2022-08-31,19688,2022,546241,0.03223529830574989,0,1,0,0.12533800303936005,0.12408500164747238,0.12408500164747238
0,0,0,90,DC,Troyes,Angers,3,1,2022-08-28,19687,2022,545112,0,0,0,0,0,0.0982849970459938,0.0982849970459938
0,0,0,90,DC,Lyon,Troyes,4,1,2022-08-19,19673,2022,542047,0,0,0,0,0,0.08608890324831009,0.08608890324831009
0,0,0,90,DC,Troyes,Toulouse,0,3,2022-08-14,19665,2022,541134,0,0,0,0,0,0.017183199524879456,0.017183199524879456
0,1,0.012605300173163414,90,DC,Montpellier,Troyes,3,2,2022-08-07,19653,2022,539899,0,0,0,0,0.012605300173163414,0.005365999881178141,0.005365999881178141
0,0,0,90,DC,Lorient,Troyes,1,1,2022-05-21,18194,2021,537457,0,0,0,0,0,0.1292790025472641,0.1292790025472641
0,0,0,90,DC,Troyes,Lens,1,3,2022-05-14,18182,2021,535634,0,0,0,0,0,0.015950199216604233,0.015950199216604233
0,1,0.5700290203094482,90,DC,Paris Saint Germain,Troyes,2,2,2022-05-08,18174,2021,534101,0,0,0,0,0.5700290203094482,0,0
0,0,0,90,DC,Troyes,Lille,3,0,2022-05-01,18169,2021,530895,0,0,0,0,0,0.04425569996237755,0.04425569996237755
0,0,0,90,DC,Nice,Troyes,1,0,2022-04-24,18157,2021,529461,0,0,0,0,0,0.04005419835448265,0.04005419835448265
