goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Auxerre,Nantes,0,0,2026-04-11,29790,2025,781925,0,0,0,0,0,0,0
0,1,0.04761485010385513,49,MR,Metz,Nantes,0,0,2026-04-05,29786,2025,780735,0,0,0,0,0.04761485010385513,0.1722642034292221,0.12464936077594757
0,1,0.008511139079928398,78,DR,Nantes,Angers,0,1,2026-03-07,29759,2025,775287,0.020809710025787354,0,1,0,0.008511139079928398,0.020809710025787354,0
0,0,0,90,DR,Lille,Nantes,1,0,2026-03-01,29746,2025,774068,0,0,0,0,0,0,0
0,0,0,90,DMR,Nantes,Le Havre,2,0,2026-02-22,29740,2025,772335,0,0,0,0,0,0.6137107610702515,0.6137107610702515
1,1,0.10258332639932632,90,DMR,Monaco,Nantes,3,1,2026-02-13,29733,2025,770112,0.04013768956065178,0,1,1,0.10258332639932632,0.26026904582977295,0.15768571197986603
0,1,0.04157702997326851,90,DMR,Nantes,Lyon,0,1,2026-02-08,29724,2025,769026,0.0506899319589138,0,1,0,0.04157702997326851,0.13756239414215088,0.09598536789417267
0,0,0,80,DMR,Lorient,Nantes,2,1,2026-01-31,29711,2025,767401,0.03465333208441734,0,1,0,0,0.03465333208441734,0.03465333208441734
1,1,0.669080913066864,53,DR,Marseille,Nantes,0,2,2026-01-04,29686,2025,761481,0,0,0,1,0.669080913066864,0.669080913066864,0
1,2,0.07431670278310776,90,DR,Angers,Nantes,4,1,2025-12-12,29673,2025,757318,0,0,0,1,0.07431670278310776,0.10716838389635086,0.08919914066791534
0,0,0,1,Sub,Nantes,Lens,1,2,2025-12-06,29669,2025,756103,0,0,0,0,0,0,0
0,0,0,1,Sub,Lyon,Nantes,3,0,2025-11-30,29658,2025,754826,0,0,0,0,0,0,0
0,0,0,3,Sub,Le Havre,Nantes,1,1,2025-11-08,29638,2025,750464,0,0,0,0,0,0,0
0,1,0.019179102033376694,7,Sub,Nantes,Monaco,3,5,2025-10-29,29624,2025,747752,0,0,0,0,0.019179102033376694,0.032312311232089996,0.013133208267390728
0,0,0,1,Sub,Paris FC,Nantes,1,2,2025-10-24,29614,2025,745514,0,0,0,0,0,0,0
0,0,0,14,Sub,Nantes,Montpellier,3,0,2025-05-17,28347,2024,728042,0,0,0,0,0,0,0
0,0,0,61,DL,Auxerre,Nantes,1,1,2025-05-10,28337,2024,726196,0,0,0,0,0,0,0
0,0,0,90,DL,Nantes,Angers,0,1,2025-05-04,28335,2024,724603,0,0,0,0,0,0,0
0,0,0,9,Sub,Nantes,Toulouse,0,0,2025-04-27,28320,2024,723188,0,0,0,0,0,0.3823356032371521,0.3823356032371521
0,0,0,3,Sub,Nantes,Paris Saint Germain,1,1,2025-04-22,28303,2024,721694,0,0,0,0,0,0,0
0,0,0,48,DR,Paris Saint Germain,Nantes,1,1,2024-11-30,28161,2024,690437,0,0,0,0,0,0,0
0,0,0,26,Sub,Nantes,Le Havre,0,2,2024-11-24,28152,2024,689348,0.14001598954200745,0,3,0,0,0.23864273726940155,0.18708911538124084
0,0,0,90,DR,Verona,Torino,1,2,2024-05-12,22659,2023,661119,0.022776927798986435,0,1,0,0,0.13605500757694244,0.13605500757694244
0,0,0,90,DR,Verona,Fiorentina,2,1,2024-05-05,22649,2023,659418,0,0,0,0,0,0,0
0,0,0,12,Sub,Lazio,Verona,1,0,2024-04-27,22635,2023,657299,0,0,0,0,0,0,0
0,0,0,90,DR,Verona,Udinese,1,0,2024-04-20,22628,2023,655075,0.08937347680330276,0,1,0,0,0.08937347680330276,0.08937347680330276
0,0,0,90,DR,Atalanta,Verona,2,2,2024-04-15,22624,2023,654283,0.6480634212493896,1,1,0,0,0.8035765886306763,0.15551313757896423
0,0,0,90,DR,Verona,Genoa,1,2,2024-04-07,22606,2023,652478,0.03377275913953781,0,1,0,0,0.31812673807144165,0.31812673807144165
0,1,0.009466852992773056,90,DR,Verona,AC Milan,1,3,2024-03-17,22588,2023,648769,0.0663103386759758,0,1,0,0.009466852992773056,0.1429177075624466,0.13345086574554443
0,0,0,30,Sub,Lecce,Verona,0,1,2024-03-10,22581,2023,647084,0,0,0,0,0,0,0
0,0,0,65,DR,Bologna,Verona,2,0,2024-02-23,22555,2023,642940,0.017288725823163986,0,1,0,0,0.017288725823163986,0.017288725823163986
0,0,0,33,Sub,Monza,Verona,0,0,2024-02-11,22543,2023,640729,0,0,0,0,0,0.019087329506874084,0.019087329506874084
0,0,0,13,Sub,Nantes,Clermont Foot,1,2,2024-01-14,23529,2023,635252,0,0,0,0,0,0.07004720717668533,0.07004720717668533
0,0,0,46,MR,Lyon,Nantes,1,0,2023-12-20,23518,2023,632137,0,0,0,0,0,0,0
0,0,0,32,Sub,Nantes,Brest,0,2,2023-12-17,23512,2023,630708,0,0,0,0,0,0.28574344515800476,0.28574344515800476
0,1,0.026343880221247673,90,DMR,Nantes,Montpellier,0,3,2023-05-20,20001,2022,598238,0.05647890642285347,0,1,0,0.026343880221247673,0.3669315278530121,0.2841087579727173
0,0,0,90,MR,Toulouse,Nantes,0,0,2023-05-14,19997,2022,597215,0,0,0,0,0,0.020180217921733856,0.020180217921733856
0,1,0.05598254129290581,49,MR,Nantes,Strasbourg,0,2,2023-05-07,19982,2022,595319,0,0,0,0,0.05598254129290581,0.05598254129290581,0
0,0,0,90,DR,Brest,Nantes,2,0,2023-05-03,19974,2022,594135,0.15866968035697937,0,2,0,0,0.2638762295246124,0.10520655661821365
0,2,0.03474310040473938,90,DR,Nantes,Troyes,2,2,2023-04-23,19962,2022,590730,0.05013556405901909,0,1,0,0.03474310040473938,0.5153038501739502,0.465168297290802
0,2,0.053509101271629333,40,Sub,Auxerre,Nantes,2,1,2023-04-16,19948,2022,589006,0.018695199862122536,0,1,0,0.053509101271629333,0.08360680192708969,0.045066799968481064
0,0,0,79,DR,Nantes,Monaco,2,2,2023-04-09,19941,2022,587575,0,0,0,0,0,0.01326220016926527,0.01326220016926527
0,0,0,29,Sub,Nantes,Reims,0,3,2023-04-02,19932,2022,585335,0,0,0,0,0,0,0
0,0,0,35,DL,Lyon,Nantes,1,1,2023-03-17,19921,2022,582657,0,0,0,0,0,0,0
0,1,0.011583699844777584,90,DR,Nantes,Nice,2,2,2023-03-12,19914,2022,581808,0,0,0,0,0.011583699844777584,0.05238040164113045,0.04079670086503029
0,0,0,90,DR,Paris Saint Germain,Nantes,4,2,2023-03-04,19901,2022,579892,0.09170430153608322,0,2,0,0,0.11383099853992462,0.022127099335193634
0,1,0.02591729909181595,90,DR,Nantes,Rennes,0,1,2023-02-26,19893,2022,578376,0.06562440097332001,0,1,0,0.02591729909181595,0.7773680090904236,0.6858260035514832
0,1,0.01328589953482151,90,DR,Nantes,Lorient,1,0,2023-02-12,19871,2022,575549,0.3273890018463135,0,1,0,0.01328589953482151,0.35883599519729614,0.03144729882478714
0,0,0,90,DR,Ajaccio,Nantes,0,2,2023-02-05,19858,2022,573875,0,0,0,0,0,0,0
0,0,0,90,DR,Nantes,Marseille,0,2,2023-02-01,19850,2022,572598,0,0,0,0,0,0.12315300107002258,0.12315300107002258
0,1,0.019740799441933632,90,DR,Clermont Foot,Nantes,0,0,2023-01-29,19840,2022,572118,0,0,0,0,0.019740799441933632,0.04184740036725998,0.022106600925326347
0,0,0,90,DR,Montpellier,Nantes,0,3,2023-01-15,19831,2022,569487,0,0,0,0,0,0.20926499366760254,0.20926499366760254
0,0,0,90,DR,Nantes,Lyon,0,0,2023-01-11,19822,2022,568224,0,0,0,0,0,0.31742799282073975,0.31742799282073975
0,0,0,90,DR,Nantes,Auxerre,1,0,2023-01-01,19810,2022,566624,0.015071099624037743,0,1,0,0,0.4357979893684387,0.4207260012626648
0,1,0.0877142995595932,23,Sub,Troyes,Nantes,0,0,2022-12-28,19807,2022,565742,0.018364200368523598,0,1,0,0.0877142995595932,0.18535399436950684,0.09764000028371811
0,0,0,73,DR,Reims,Nantes,1,0,2022-11-06,19785,2022,562484,0,0,0,0,0,0.061675600707530975,0.061675600707530975
0,2,0.03668779879808426,58,DR,Nantes,Clermont Foot,1,1,2022-10-30,19771,2022,560810,0.013517599552869797,0,1,0,0.03668779879808426,0.1656460016965866,0.11544100195169449
0,0,0,40,Sub,Nice,Nantes,1,1,2022-10-23,19763,2022,559118,0,0,0,0,0,0,0
0,0,0,11,DMR,Montpellier,Metz,2,2,2022-05-01,18166,2021,531151,0,0,0,0,0,0.02607079967856407,0.02607079967856407
0,0,0,43,Sub,Metz,Brest,0,1,2022-04-24,18155,2021,529390,0,0,0,0,0,0,0
0,0,0,90,DMR,Lyon,Metz,1,1,2021-12-22,18005,2021,504937,0,0,0,0,0,0,0
0,0,0,90,DR,Metz,Lorient,4,1,2021-12-12,18001,2021,502305,0,0,0,0,0,0,0
0,0,0,90,DMR,Monaco,Metz,4,0,2021-12-05,17988,2021,500674,0,0,0,0,0,0.04104280099272728,0.04104280099272728
0,4,0.10130999982357025,90,DMR,Metz,Montpellier,1,3,2021-12-01,17976,2021,498883,0.040853798389434814,0,2,0,0.10130999982357025,0.2224940061569214,0.1681469976902008
1,1,0.37975800037384033,90,DMR,Nice,Metz,0,1,2021-11-27,17971,2021,497739,0,0,0,1,0.37975800037384033,0.40256598591804504,0.022808199748396873
0,1,0.015001899562776089,90,DMR,Metz,Bordeaux,3,3,2021-11-21,17960,2021,496387,0.15367799997329712,1,2,0,0.015001899562776089,0.20979200303554535,0.04111279919743538
0,0,0,90,MR,Marseille,Metz,0,0,2021-11-07,17946,2021,494426,0,0,0,0,0,0.28042298555374146,0.28042298555374146
0,1,0.06792119890451431,90,MR,Metz,Saint-Etienne,1,1,2021-10-30,17937,2021,492355,0,0,0,0,0.06792119890451431,0.10393799841403961,0.036016400903463364
0,0,0,90,DR,Lens,Metz,4,1,2021-10-24,17922,2021,490547,0.2765670120716095,0,1,0,0,0.2765670120716095,0
0,0,0,90,DR,Angers,Metz,3,2,2021-10-03,17902,2021,487120,0,0,0,0,0,0,0
1,1,0.021410400047898293,90,DR,Brest,Metz,1,2,2021-09-26,17893,2021,485445,0,0,0,1,0.021410400047898293,0.021410400047898293,0
0,0,0,90,DR,Metz,Paris Saint Germain,1,2,2021-09-22,17885,2021,483998,0,0,0,0,0,0.16440600156784058,0.16440600156784058
0,1,0.017277300357818604,90,DMR,Strasbourg,Metz,3,0,2021-09-17,17873,2021,481774,0.036252401769161224,0,2,0,0.017277300357818604,0.036252401769161224,0.01877249963581562
0,1,0.010828400030732155,90,DMR,Metz,Troyes,0,2,2021-09-12,17870,2021,480993,0.04874759912490845,0,3,0,0.010828400030732155,0.07223749905824661,0.03696570172905922
0,2,0.03612459823489189,90,DR,Metz,Reims,1,1,2021-08-22,17846,2021,477677,0,0,0,0,0.03612459823489189,0.05158169940114021,0.015457100234925747
0,0,0,90,DC,Nantes,Metz,2,0,2021-08-15,17838,2021,476093,0,0,0,0,0,0.37756699323654175,0.37756699323654175
2,3,0.16516000032424927,90,MR,Metz,Lille,3,3,2021-08-08,17830,2021,474993,0.07066070288419724,0,1,2,0.16516000032424927,0.23582099378108978,0.1416970044374466
0,0,0,90,DR,Metz,Marseille,1,1,2021-05-23,16130,2020,473901,0,0,0,0,0,0.03991270065307617,0.03991270065307617
0,0,0,90,DR,Lorient,Metz,2,1,2021-05-16,16119,2020,472035,0,0,0,0,0,0.011807899922132492,0.011807899922132492
0,0,0,90,DR,Metz,Nimes,0,3,2021-05-09,16109,2020,469262,0.35144901275634766,0,1,0,0,0.35144901275634766,0.35144901275634766
0,1,0.022775299847126007,90,DR,Dijon,Metz,1,5,2021-05-02,16097,2020,467503,0,0,0,0,0.022775299847126007,0.022775299847126007,0
1,2,0.4341549873352051,90,DMR,Metz,Paris Saint Germain,1,3,2021-04-24,16088,2020,465395,0,0,0,1,0.4341549873352051,0.4341549873352051,0.3888309895992279
0,1,0.012125199660658836,90,DMR,Reims,Metz,0,0,2021-04-18,16076,2020,463480,0.30852600932121277,0,1,0,0.012125199660658836,0.33570098876953125,0.3235760033130646
0,2,0.04795930162072182,90,DMR,Metz,Lille,0,2,2021-04-09,16069,2020,460882,0.023730499669909477,0,1,0,0.04795930162072182,0.08878350257873535,0.033680401742458344
0,0,0,90,MR,Monaco,Metz,4,0,2021-04-03,16063,2020,459144,0,0,0,0,0,0,0
0,2,0.08946450054645538,90,MR,Metz,Rennes,1,3,2021-03-20,16049,2020,457938,0.10142199695110321,0,1,0,0.08946450054645538,0.3391929864883423,0.17896899580955505
0,0,0,73,MR,Metz,Angers,0,1,2021-03-03,16030,2020,453700,0.07540330290794373,0,1,0,0,0.17199699580669403,0.0965941995382309
0,1,0.018671400845050812,90,MR,Bordeaux,Metz,1,2,2021-02-27,16017,2020,451999,0,0,0,0,0.018671400845050812,0.018671400845050812,0
0,0,0,90,DMR,Nice,Metz,1,2,2021-02-21,16011,2020,451223,0,0,0,0,0,0.4642069935798645,0.4642069935798645
0,0,0,90,DMR,Metz,Strasbourg,1,2,2021-02-14,16001,2020,449497,0,0,0,0,0,0.12209899723529816,0.12209899723529816
0,2,0.03646169975399971,90,MR,Saint-Etienne,Metz,1,0,2021-02-07,15990,2020,448184,0,0,0,0,0.03646169975399971,0.05907849967479706,0.03750539943575859
0,1,0.0948014035820961,90,MR,Metz,Montpellier,1,1,2021-02-03,15979,2020,446891,0.34131500124931335,0,2,0,0.0948014035820961,0.5530089735984802,0.19703300297260284
0,1,0.04737979918718338,90,MR,Brest,Metz,2,4,2021-01-31,15968,2020,446245,0.03133229911327362,0,1,0,0.04737979918718338,0.4949589967727661,0.41624701023101807
0,0,0,90,MR,Metz,Nantes,2,0,2021-01-24,15959,2020,444601,0.12551000714302063,0,1,0,0,0.4357750117778778,0.3102650046348572
0,1,0.07020880281925201,90,MR,Lyon,Metz,0,1,2021-01-17,15950,2020,442992,0.01398560032248497,0,1,0,0.07020880281925201,0.3320539891719818,0.24785999953746796
0,1,0.013878299854695797,90,DR,Metz,Nice,1,1,2021-01-09,15939,2020,441299,0.015851400792598724,0,1,0,0.013878299854695797,0.09327609837055206,0.06354629993438721
0,3,0.15410000085830688,90,DR,Metz,Bordeaux,0,0,2021-01-06,15930,2020,440337,0,0,0,0,0.15410000085830688,0.20226900279521942,0.14997899532318115
0,0,0,90,DR,Rennes,Metz,1,0,2020-12-23,15923,2020,437509,0.062384601682424545,0,1,0,0,0.062384601682424545,0.062384601682424545
0,0,0,90,MR,Metz,Lens,2,0,2020-12-19,15910,2020,436033,0,0,0,0,0,0.14041900634765625,0.14041900634765625
0,0,0,90,DR,Montpellier,Metz,0,2,2020-12-16,15902,2020,434773,0.10595300048589706,0,1,0,0,0.10595300048589706,0
0,0,0,90,DR,Strasbourg,Metz,2,2,2020-12-13,15894,2020,433685,0.08242390304803848,0,1,0,0,0.08242390304803848,0
0,1,0.012948299758136272,90,DR,Metz,Lyon,1,3,2020-12-06,15880,2020,432375,0.0627083033323288,0,1,0,0.012948299758136272,0.16731099784374237,0.16731099784374237
0,1,0.012484599836170673,90,DR,Metz,Brest,0,2,2020-11-29,15870,2020,430215,0,0,0,0,0.012484599836170673,0.17678199708461761,0.17678199708461761
0,1,0.008054450154304504,90,DR,Metz,Dijon,1,1,2020-11-08,15851,2020,426870,0.0444273017346859,0,1,0,0.008054450154304504,0.18291699886322021,0.1304350048303604
0,0,0,90,DR,Nimes,Metz,0,1,2020-11-01,15840,2020,425138,0,0,0,0,0,0.08371549844741821,0.08371549844741821
0,0,0,90,DR,Metz,Saint-Etienne,2,0,2020-10-25,15828,2020,423450,0,0,0,0,0,0,0
0,0,0,90,DR,Angers,Metz,1,1,2020-10-18,15816,2020,421858,0,0,0,0,0,0,0
