goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,67,MR,Ajaccio,Rennes,0,5,2023-05-21,19998,2022,598608,0,0,0,0,0,0,0
0,0,0,65,FWL,Paris Saint Germain,Ajaccio,5,0,2023-05-13,19992,2022,596730,0,0,0,0,0,0,0
0,0,0,89,ML,Ajaccio,Toulouse,0,0,2023-05-07,19978,2022,595231,0,0,0,0,0,0,0
0,1,0.3150671422481537,90,ML,Lille,Ajaccio,3,0,2023-04-29,19970,2022,592472,0.0453750416636467,0,1,0,0.3150671422481537,0.360442191362381,0
0,0,0,24,Sub,Ajaccio,Brest,0,0,2023-04-23,19958,2022,590681,0,0,0,0,0,0,0
0,1,0.06335630267858505,59,AML,Strasbourg,Ajaccio,3,1,2023-04-16,19954,2022,589063,0,0,0,0,0.06335630267858505,0.06335630267858505,0
0,0,0,78,ML,Ajaccio,Auxerre,0,3,2023-04-09,19938,2022,587334,0.053805798292160034,0,1,0,0,0.7396770119667053,0.6858720183372498
0,0,0,83,ML,Clermont Foot,Ajaccio,2,1,2023-04-02,19931,2022,585377,0.30421000719070435,1,1,0,0,0.33732500672340393,0.03311460092663765
0,2,0.13992899656295776,14,Sub,Ajaccio,Monaco,0,2,2023-03-19,19918,2022,583524,0,0,0,0,0.13992899656295776,0.13992899656295776,0
0,0,0,19,Sub,Ajaccio,Montpellier,0,1,2023-03-12,19908,2022,581972,0.11281599849462509,0,2,0,0,0.11281599849462509,0
0,0,0,14,Sub,Ajaccio,Nantes,0,2,2023-02-05,19858,2022,573872,0,0,0,0,0,0,0
0,0,0,2,Sub,Angers,Ajaccio,1,2,2023-02-01,19849,2022,572655,0,0,0,0,0,0,0
0,0,0,21,Sub,Auxerre,Ajaccio,1,0,2022-10-30,19768,2022,560619,0,0,0,0,0,0,0
0,0,0,51,ML,Troyes,Ajaccio,1,1,2022-10-16,19757,2022,556446,0,0,0,0,0,0,0
0,0,0,50,ML,Ajaccio,Clermont Foot,1,3,2022-10-02,19728,2022,553014,0,0,0,0,0,0,0
0,0,0,29,ML,Ajaccio,Nice,0,1,2022-09-11,19708,2022,549561,0,0,0,0,0,0,0
0,2,0.11690299957990646,90,ML,Ajaccio,Lorient,0,1,2022-09-04,19698,2022,547912,0.034285999834537506,0,2,0,0.11690299957990646,0.18608899414539337,0.03489910066127777
0,0,0,84,ML,Montpellier,Ajaccio,2,0,2022-08-31,19691,2022,546183,0,0,0,0,0,0,0
0,1,0.027488799765706062,64,ML,Ajaccio,Lille,1,3,2022-08-26,19678,2022,544099,0,0,0,0,0.027488799765706062,0,0
0,0,0,39,Sub,Rennes,Ajaccio,2,1,2022-08-21,19676,2022,543196,0.0310479998588562,0,1,0,0,0,0
0,0,0,23,Sub,Ajaccio,Lens,0,0,2022-08-14,19662,2022,541237,0,0,0,0,0,0,0
0,0,0,13,Sub,Lyon,Ajaccio,2,1,2022-08-05,19648,2022,539181,0,0,0,0,0,0,0
