goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.1327352374792099,41,Sub,Lens,Auxerre,0,4,2025-04-27,28322,2024,723250,0.011932121589779854,0,1,0,0.1327352374792099,0.5064665079116821,0.36179912090301514
0,3,0.0977104976773262,70,Sub,Lens,Reims,0,2,2025-04-11,28307,2024,718233,0.8785775303840637,0,7,0,0.0977104976773262,1.1397610902786255,0.21927444636821747
0,0,0,1,Sub,Lens,Saint-Etienne,1,0,2025-04-06,28296,2024,717429,0,0,0,0,0,0,0
0,0,0,12,Sub,Lens,Le Havre,3,4,2025-03-01,28260,2024,709994,0.13625472784042358,0,2,0,0,0,0
0,1,0.37653589248657227,2,Sub,Nantes,Lens,3,1,2025-02-23,28250,2024,708376,0,0,0,0,0.37653589248657227,0.37653589248657227,0
0,0,0,67,AML,Lens,Strasbourg,0,2,2025-02-16,28240,2024,706901,0,0,0,0,0,0.12115101516246796,0.12115101516246796
0,0,0,4,Sub,Montpellier,Lens,0,2,2025-01-31,28221,2024,702661,0,0,0,0,0,0.2849733531475067,0.2849733531475067
0,2,0.048300791531801224,74,DL,Lens,Angers,1,0,2025-01-26,28215,2024,702145,0.2560131847858429,0,3,0,0.048300791531801224,0.8558616042137146,0.551547646522522
0,0,0,1,Sub,Lens,Paris Saint Germain,1,2,2025-01-18,28202,2024,700126,0,0,0,0,0,0,0
0,4,0.4376049041748047,90,AMC,Le Havre,Lens,1,2,2025-01-12,28196,2024,698584,0.3272123634815216,0,4,0,0.4376049041748047,1.4661785364151,0.9026075005531311
0,2,0.07023076713085175,80,AMC,Lens,Toulouse,0,1,2025-01-05,28185,2024,697590,0.03984063118696213,0,1,0,0.07023076713085175,0.1436329036951065,0.07340212911367416
0,0,0,72,AMC,Auxerre,Lens,2,2,2024-12-14,28177,2024,693991,0,0,0,0,0,0.8020555973052979,0.8020555973052979
0,3,0.20215503871440887,78,AMC,Lens,Montpellier,2,0,2024-12-08,28170,2024,692844,0.20230792462825775,0,2,0,0.20215503871440887,0.6521618962287903,0.34690865874290466
0,1,0.04602217301726341,79,FW,Reims,Lens,0,2,2024-11-29,28156,2024,689702,0.5173963308334351,1,2,0,0.04602217301726341,0.5984689593315125,0.11689041554927826
1,1,0.4460151195526123,12,Sub,Lens,Marseille,1,3,2024-11-23,28148,2024,688586,0.01696549914777279,0,1,1,0.4460151195526123,0.46298059821128845,0
0,0,0,9,Sub,Lens,Nantes,3,2,2024-11-09,28139,2024,686889,0,0,0,0,0,0.028124794363975525,0.028124794363975525
0,0,0,18,Sub,Lens,Lille,0,2,2024-10-26,28120,2024,683339,0,0,0,0,0,0,0
0,2,0.06204797700047493,76,AMC,Saint-Etienne,Lens,0,2,2024-10-19,28117,2024,681680,0,0,0,0,0.06204797700047493,0.20078116655349731,0.15823814272880554
0,0,0,76,AMC,Strasbourg,Lens,2,2,2024-10-06,28110,2024,680411,0.04941065236926079,0,1,0,0,0.17004743218421936,0.17004743218421936
0,3,0.21265637874603271,60,AMR,Lens,Nice,0,0,2024-09-28,28096,2024,677962,0.10656695812940598,0,2,0,0.21265637874603271,0.4348302185535431,0.2422548234462738
0,2,0.13125403225421906,22,Sub,Rennes,Lens,1,1,2024-09-21,28091,2024,676048,0.11375236511230469,0,1,0,0.13125403225421906,0.21834877133369446,0.04762710630893707
0,1,0.12299370020627975,22,Sub,Lens,Brest,2,0,2024-08-25,28061,2024,668681,0,0,0,0,0.12299370020627975,0.05065198242664337,0.05065198242664337
0,0,0,68,AMC,Angers,Lens,0,1,2024-08-18,28055,2024,666970,0,0,0,0,0,0.04571663588285446,0.04571663588285446
0,2,0.3326818346977234,74,AMC,Lens,Montpellier,2,2,2024-05-19,23669,2023,663809,0.40608566999435425,0,2,0,0.3326818346977234,2.012535810470581,1.2737683057785034
1,4,0.2007497102022171,74,AMC,Rennes,Lens,1,1,2024-05-12,23661,2023,661612,0.12294359505176544,0,2,1,0.2007497102022171,0.24781155586242676,0
0,2,0.12075810879468918,79,AMC,Lens,Lorient,2,0,2024-05-03,23655,2023,658504,0.41475582122802734,0,2,0,0.12075810879468918,0.5454809665679932,0.0974244475364685
0,2,0.0875108614563942,64,AMC,Marseille,Lens,2,1,2024-04-28,23644,2023,658153,0.10920286178588867,0,3,0,0.0875108614563942,0.34343859553337097,0.2559277415275574
