goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.2893368601799011,90,MC,Metz,Paris Saint Germain,0,2,2024-05-19,23668,2023,663778,0,0,0,0,0.2893368601799011,0.2893368601799011,0
0,1,0.012824336998164654,90,MC,Strasbourg,Metz,2,1,2024-05-12,23660,2023,661579,0,0,0,0,0.012824336998164654,0.0982205867767334,0.0982205867767334
0,0,0,1,Sub,Metz,Rennes,2,3,2024-05-04,23657,2023,659153,0,0,0,0,0,0,0
0,0,0,73,MC,Metz,Lille,1,2,2024-04-28,23648,2023,657427,0,0,0,0,0,0,0
0,0,0,90,MC,Le Havre,Metz,0,1,2024-04-21,23639,2023,655375,0,0,0,0,0,0.02481779269874096,0.02481779269874096
0,1,0.03878499194979668,90,MC,Metz,Lens,2,1,2024-04-12,23631,2023,652859,0,0,0,0,0.03878499194979668,0.03878499194979668,0
0,0,0,82,MC,Brest,Metz,4,3,2024-04-07,23622,2023,652134,0,0,0,0,0,0,0
0,0,0,90,MC,Reims,Metz,2,1,2024-03-17,23600,2023,648853,0.009471678175032139,0,1,0,0,0.30227068066596985,0.2927989959716797
0,4,0.7839077711105347,90,MC,Metz,Clermont Foot,1,0,2024-03-10,23595,2023,647251,0.06188967078924179,0,1,0,0.7839077711105347,0.8457974791526794,0.039422281086444855
0,3,0.6509203910827637,90,MC,Nantes,Metz,0,2,2024-03-03,23584,2023,645635,0.018023157492280006,0,1,0,0.6509203910827637,0.7450579404830933,0.07611441612243652
0,2,0.08030645549297333,90,MC,Metz,Lyon,1,2,2024-02-23,23570,2023,642961,0,0,0,0,0.08030645549297333,0.08030645549297333,0.04307445511221886
0,1,0.013822590000927448,90,MC,Montpellier,Metz,3,0,2024-02-18,23567,2023,642430,0.13494737446308136,0,1,0,0.013822590000927448,0.448658287525177,0.29988834261894226
0,0,0,90,MC,Marseille,Metz,1,1,2024-02-09,23553,2023,639833,0,0,0,0,0,0.07021797448396683,0.07021797448396683
0,0,0,90,MC,Metz,Lorient,1,2,2024-02-04,23549,2023,639105,0,0,0,0,0,0,0
0,0,0,90,MC,Nice,Metz,1,0,2024-01-27,23538,2023,636979,0,0,0,0,0,0,0
0,2,0.07734953612089157,90,MC,Metz,Toulouse,0,1,2024-01-14,23531,2023,635221,0,0,0,0,0.07734953612089157,0.03614906221628189,0.02155250497162342
0,1,0.031998950988054276,90,MC,Paris Saint Germain,Metz,3,1,2023-12-20,23515,2023,631894,0,0,0,0,0.031998950988054276,0.031998950988054276,0
0,4,0.32060497999191284,90,MC,Metz,Montpellier,0,1,2023-12-17,23514,2023,630797,0,0,0,0,0.32060497999191284,0.19049134850502014,0.08833590149879456
0,1,0.04276047274470329,89,DMC,Metz,Brest,0,1,2023-12-10,23504,2023,629359,0,0,0,0,0.04276047274470329,0.0706256628036499,0.027865193784236908
0,1,0.019881872460246086,90,DMC,Lille,Metz,2,0,2023-12-03,23491,2023,627527,0.009633084759116173,0,1,0,0.019881872460246086,0.02951495721936226,0
0,4,0.05901665240526199,90,DMC,Lorient,Metz,2,3,2023-11-26,23482,2023,625660,0,0,0,0,0.05901665240526199,0.029478207230567932,0
0,1,0.013247734867036343,90,DMC,Metz,Nantes,3,1,2023-11-12,23476,2023,623990,0,0,0,0,0.013247734867036343,0.16846473515033722,0.1552170068025589
0,1,0.01623617485165596,90,DMC,Lyon,Metz,1,1,2023-11-05,23467,2023,621996,0,0,0,0,0.01623617485165596,0.13188625872135162,0.13188625872135162
0,0,0,18,Sub,Metz,Le Havre,0,0,2023-10-29,23458,2023,620516,0,0,0,0,0,0.05386078357696533,0.05386078357696533
0,2,0.37672990560531616,90,DMC,Monaco,Metz,2,1,2023-10-22,23446,2023,618955,0.029939638450741768,0,1,0,0.37672990560531616,0.406669557094574,0
0,0,0,79,DMC,Metz,Nice,0,1,2023-10-07,23440,2023,616528,0.018551571294665337,0,1,0,0,0.018551571294665337,0
0,0,0,90,DMC,Toulouse,Metz,3,0,2023-10-01,23427,2023,615327,0,0,0,0,0,0.0471544973552227,0.0471544973552227
0,1,0.1049746721982956,90,DMC,Metz,Strasbourg,0,1,2023-09-24,23422,2023,612613,0.10700064897537231,0,1,0,0.1049746721982956,0.2592774033546448,0.15227673947811127
0,0,0,14,Sub,Lens,Metz,0,1,2023-09-16,23415,2023,610797,0,0,0,0,0,0,0
0,0,0,90,MC,Metz,Reims,2,2,2023-09-03,23405,2023,609402,0,0,0,0,0,0.09765540808439255,0.09765540808439255
0,1,0.02902076579630375,90,MC,Clermont Foot,Metz,0,1,2023-08-27,23395,2023,607547,0.05594643950462341,0,1,0,0.02902076579630375,0.09500353038311005,0.01003632228821516
0,0,0,90,MC,Metz,Marseille,2,2,2023-08-18,23388,2023,604812,0,0,0,0,0,0.022863276302814484,0.022863276302814484
0,0,0,88,DMC,Rennes,Metz,5,1,2023-08-13,23371,2023,604395,0,0,0,0,0,0.02055232599377632,0.02055232599377632
