goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Wolfsburg,Bayern Munich,0,1,2026-05-09,30520,2025,788986,0,0,0,0,0,0.09509275108575821,0.09509275108575821
0,1,0.020762037485837936,90,DC,Freiburg,Wolfsburg,1,1,2026-05-03,30507,2025,788131,0,0,0,0,0.020762037485837936,0.4930618107318878,0.4722997844219208
0,0,0,90,DC,Wolfsburg,Borussia M.Gladbach,0,0,2026-04-25,30502,2025,785318,0,0,0,0,0,0.2887507379055023,0.2887507379055023
0,0,0,90,DC,Union Berlin,Wolfsburg,1,2,2026-04-18,30492,2025,783139,0,0,0,0,0,0,0
0,0,0,90,DC,Wolfsburg,Eintracht Frankfurt,1,2,2026-04-11,30484,2025,781526,0,0,0,0,0,0.36981478333473206,0.36981478333473206
0,0,0,90,DC,Bayer Leverkusen,Wolfsburg,6,3,2026-04-04,30467,2025,779999,0,0,0,0,0,0.04155566915869713,0.04155566915869713
0,0,0,90,DC,Wolfsburg,Werder Bremen,0,1,2026-03-21,30466,2025,778363,0,0,0,0,0,0.4342416226863861,0.4342416226863861
0,0,0,90,DC,Hoffenheim,Wolfsburg,1,1,2026-03-14,30455,2025,776610,0,0,0,0,0,0,0
0,0,0,90,DML,Wolfsburg,Hamburger SV,1,2,2026-03-07,30448,2025,775227,0,0,0,0,0,0.060637008398771286,0.060637008398771286
0,0,0,87,DL,VfB Stuttgart,Wolfsburg,4,0,2026-03-01,30438,2025,773975,0,0,0,0,0,0.06496091187000275,0.06496091187000275
0,1,0.09980633854866028,90,DL,Wolfsburg,Augsburg,2,3,2026-02-21,30430,2025,771440,0,0,0,0,0.09980633854866028,0.1299338936805725,0.03012755885720253
0,0,0,90,DL,RasenBallsport Leipzig,Wolfsburg,2,2,2026-02-15,30419,2025,770959,0.3225730061531067,1,2,0,0,0.3829554319381714,0.060382429510354996
0,1,0.01272767037153244,90,DL,Wolfsburg,Borussia Dortmund,1,2,2026-02-07,30412,2025,768435,0.038414351642131805,0,1,0,0.01272767037153244,0.5123008489608765,0.47388651967048645
0,0,0,49,DC,Bayer Leverkusen,VfB Stuttgart,1,4,2026-01-10,30359,2025,762814,0,0,0,0,0,0.02063382789492607,0.02063382789492607
0,0,0,90,DC,RasenBallsport Leipzig,Bayer Leverkusen,1,3,2025-12-20,30356,2025,759285,0,0,0,0,0,0.5778771042823792,0.5778771042823792
0,1,0.2895685136318207,4,Sub,Bayer Leverkusen,FC Cologne,2,0,2025-12-13,30341,2025,757845,0,0,0,0,0.2895685136318207,0.2895685136318207,0
0,0,0,13,Sub,Wolfsburg,Bayer Leverkusen,1,3,2025-11-22,30322,2025,751830,0,0,0,0,0,0,0
0,0,0,31,Sub,Bayer Leverkusen,FC Heidenheim,6,0,2025-11-08,30305,2025,750144,0,0,0,0,0,0,0
0,0,0,88,DL,Bayern Munich,Bayer Leverkusen,3,0,2025-11-01,30297,2025,748663,0,0,0,0,0,0.2036304622888565,0.2036304622888565
0,0,0,10,Sub,Bayer Leverkusen,Freiburg,2,0,2025-10-26,30288,2025,746760,0.1038648784160614,0,1,0,0,0.17811425030231476,0.17811425030231476
0,0,0,1,Sub,Bayer Leverkusen,Union Berlin,2,0,2025-10-04,30269,2025,742378,0,0,0,0,0,0,0
0,0,0,3,Sub,Bayer Leverkusen,Freiburg,5,1,2024-12-21,27868,2024,695459,0,0,0,0,0,0.0490601547062397,0.0490601547062397
0,0,0,1,Sub,Augsburg,Bayer Leverkusen,0,2,2024-12-14,27863,2024,693597,0,0,0,0,0,0,0
0,0,0,10,Sub,Bayer Leverkusen,St. Pauli,2,1,2024-12-07,27850,2024,692111,0,0,0,0,0,0,0
0,0,0,1,Sub,Bayern Munich,Bayer Leverkusen,1,1,2024-09-28,27784,2024,678137,0,0,0,0,0,0,0
0,0,0,51,DC,Bayer Leverkusen,Wolfsburg,4,3,2024-09-22,27775,2024,676363,0,0,0,0,0,0.07571502774953842,0.07571502774953842
0,1,0.08101430535316467,30,Sub,Rennes,Lens,1,1,2024-05-12,23661,2023,661599,0,0,0,0,0.08101430535316467,0.5348302125930786,0.5348302125930786
0,0,0,61,DL,Rennes,Brest,4,5,2024-04-28,23643,2023,657765,0.05263202264904976,0,1,0,0,0.05263202264904976,0.05263202264904976
0,0,0,90,DL,Nantes,Rennes,0,3,2024-04-20,23638,2023,654911,0.03842601552605629,0,1,0,0,0.1304430514574051,0.0920170322060585
0,0,0,74,DL,Rennes,Toulouse,1,2,2024-04-13,23627,2023,653594,0.09747646003961563,1,2,0,0,0.3170439600944519,0.21956749260425568
0,1,0.03247160091996193,14,Sub,Strasbourg,Rennes,2,0,2024-03-31,23605,2023,650568,0.10901091992855072,0,1,0,0.03247160091996193,0,0
0,0,0,30,Sub,Lille,Rennes,2,2,2024-03-10,23591,2023,647544,0,0,0,0,0,0,0
0,0,0,90,DC,Paris Saint Germain,Rennes,1,1,2024-02-25,23569,2023,643937,0,0,0,0,0,0.15133005380630493,0.15133005380630493
0,0,0,83,DC,Rennes,Clermont Foot,3,1,2024-02-18,23561,2023,642351,0,0,0,0,0,0.7916820645332336,0.7916820645332336
0,0,0,90,DC,Lyon,Rennes,2,3,2024-01-26,23537,2023,636630,0,0,0,0,0,0.19426225125789642,0.19426225125789642
0,0,0,2,Sub,Rennes,Nice,2,0,2024-01-13,23524,2023,635047,0,0,0,0,0,0,0
0,0,0,60,DC,Clermont Foot,Rennes,1,3,2023-12-20,23520,2023,631800,0,0,0,0,0,0.11420875042676926,0.11420875042676926
0,0,0,85,DC,Rennes,Monaco,1,2,2023-12-09,23499,2023,628840,0,0,0,0,0,0.03213110193610191,0.03213110193610191
0,0,0,90,DC,Marseille,Rennes,2,0,2023-12-03,23489,2023,627737,0,0,0,0,0,0.13506974279880524,0.13506974279880524
0,0,0,90,DC,Rennes,Reims,3,1,2023-11-26,23481,2023,625763,0,0,0,0,0,0,0
0,1,0.3740347623825073,43,Sub,Rennes,Lyon,0,1,2023-11-12,23470,2023,624123,0,0,0,0,0.3740347623825073,0,0
0,0,0,90,DC,Nice,Rennes,2,0,2023-11-05,23468,2023,622520,0,0,0,0,0,0.16108854115009308,0.16108854115009308
0,0,0,90,DC,Rennes,Strasbourg,1,1,2023-10-29,23452,2023,620751,0,0,0,0,0,0.05960748717188835,0.05960748717188835
0,0,0,90,DC,Lorient,Rennes,2,1,2023-10-22,23445,2023,618636,0,0,0,0,0,0.23890957236289978,0.23890957236289978
0,0,0,68,DL,Rennes,Paris Saint Germain,1,3,2023-10-08,23435,2023,617542,0,0,0,0,0,0.03112008236348629,0.03112008236348629
0,0,0,1,Sub,Brest,Rennes,0,0,2023-09-02,23406,2023,608860,0,0,0,0,0,0,0
0,0,0,24,Sub,Rennes,Le Havre,2,2,2023-08-27,23391,2023,607418,0.05730936676263809,0,1,0,0,0.31863483786582947,0.2613254487514496
0,0,0,86,DL,Lens,Rennes,1,1,2023-08-20,23386,2023,606230,0,0,0,0,0,0.022698912769556046,0.022698912769556046
0,0,0,78,DL,Rennes,Metz,5,1,2023-08-13,23371,2023,604377,0,0,0,0,0,0.9764674305915833,0.9764674305915833
0,0,0,83,DL,Brest,Rennes,1,2,2023-06-03,20025,2022,602096,0,0,0,0,0,0.0854087695479393,0.0854087695479393
0,0,0,86,DL,Rennes,Monaco,2,0,2023-05-27,20016,2022,600482,0,0,0,0,0,0.15440216660499573,0.15440216660499573
0,0,0,66,DL,Ajaccio,Rennes,0,5,2023-05-21,19998,2022,598623,0,0,0,0,0,0.5901397466659546,0.5901397466659546
0,1,0.03104454278945923,90,DL,Rennes,Troyes,4,0,2023-05-14,19996,2022,597079,0,0,0,0,0.03104454278945923,0.2779177129268646,0.2468731552362442
0,0,0,79,DL,Nice,Rennes,2,1,2023-05-06,19983,2022,594872,0.05582411587238312,0,1,0,0,0.32396799325942993,0.32396799325942993
0,0,0,13,Sub,Rennes,Angers,4,2,2023-04-30,19975,2022,593050,0,0,0,0,0,0,0
0,0,0,90,DC,Rennes,Clermont Foot,2,0,2023-02-19,19885,2022,576968,0,0,0,0,0,0.29025998711586,0.29025998711586
0,0,0,7,Sub,Rennes,Strasbourg,3,0,2023-02-01,19855,2022,572819,0,0,0,0,0,0,0
0,0,0,9,Sub,Rennes,Metz,6,1,2022-03-20,18109,2021,521760,0,0,0,0,0,0,0
