id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
432592,66,SavedShot,0.785,0.59,0.029328500851988792,Léo Leroy,h,9670,OpenPlay,2021,RightFoot,17887,Montpellier,Bordeaux,3,3,2021-09-22 17:00:00,Stephy Mavididi,Pass
444790,87,SavedShot,0.7280000305175781,0.4279999923706055,0.017994800582528114,Léo Leroy,h,9670,OpenPlay,2021,RightFoot,17970,Montpellier,Lyon,0,1,2021-11-28 16:00:00,Sepe Elye Wahi,LayOff
444792,91,MissedShots,0.7530000305175781,0.545,0.020940100774168968,Léo Leroy,h,9670,OpenPlay,2021,RightFoot,17970,Montpellier,Lyon,0,1,2021-11-28 16:00:00,,None
465773,63,SavedShot,0.769000015258789,0.455,0.02823130041360855,Léo Leroy,h,9670,OpenPlay,2021,RightFoot,18116,Montpellier,Brest,1,2,2022-04-03 13:00:00,Jordan Ferri,Pass
467706,41,BlockedShot,0.7680000305175781,0.5370000076293945,0.027394700795412064,Léo Leroy,a,9670,OpenPlay,2021,RightFoot,18128,Marseille,Montpellier,2,0,2022-04-10 19:00:00,,BallRecovery
468560,7,MissedShots,0.7469999694824219,0.4809999847412109,0.017118899151682854,Léo Leroy,h,9670,FromCorner,2021,RightFoot,18135,Montpellier,Reims,0,0,2022-04-17 13:00:00,,None
474022,79,BlockedShot,0.7090000152587891,0.674000015258789,0.013308100402355194,Léo Leroy,a,9670,OpenPlay,2021,RightFoot,18178,Clermont Foot,Montpellier,2,1,2022-05-08 13:00:00,Mihailo Ristic,Pass
476107,83,BlockedShot,0.799000015258789,0.30200000762939455,0.02134370058774948,Léo Leroy,h,9670,OpenPlay,2021,RightFoot,18188,Montpellier,Paris Saint Germain,0,4,2022-05-14 19:00:00,Junior Sambia,Pass
479689,92,BlockedShot,0.8580000305175781,0.5870000076293945,0.1257999986410141,Léo Leroy,h,9670,OpenPlay,2022,RightFoot,19653,Montpellier,Troyes,3,2,2022-08-07 13:00:00,Téji Savanier,Chipped
484286,74,MissedShots,0.914000015258789,0.6759999847412109,0.05785540118813515,Léo Leroy,a,9670,OpenPlay,2022,LeftFoot,19685,Brest,Montpellier,0,7,2022-08-28 13:00:00,Falaye Sacko,Cross
486351,17,BlockedShot,0.7659999847412109,0.425,0.07657600194215775,Léo Leroy,h,9670,DirectFreekick,2022,RightFoot,19702,Montpellier,Lille,1,3,2022-09-04 11:00:00,,Standard
