goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.11933442205190659,90,FWR,Rennes,Paris FC,2,1,2026-05-10,29833,2025,789891,0.0960175022482872,0,1,0,0.11933442205190659,0.31145310401916504,0.09610117971897125
1,1,0.04256511479616165,90,ML,Lyon,Rennes,4,2,2026-05-03,29819,2025,788199,0.3865457773208618,1,2,1,0.04256511479616165,0.42911088466644287,0
0,2,0.07853475213050842,90,ML,Rennes,Nantes,2,1,2026-04-26,29815,2025,786260,0.030088020488619804,0,2,0,0.07853475213050842,0.20261557400226593,0.12408082187175751
1,5,0.6316422820091248,69,ML,Strasbourg,Rennes,0,3,2026-04-19,29807,2025,783976,0.03439665585756302,0,1,1,0.6316422820091248,0.8585153818130493,0.22687309980392456
1,3,0.44525694847106934,75,ML,Rennes,Angers,2,1,2026-04-11,29797,2025,782029,0.06393390893936157,0,1,1,0.44525694847106934,0.694309651851654,0.18511880934238434
0,2,0.10925807803869247,86,ML,Brest,Rennes,3,4,2026-04-04,29782,2025,780339,0,0,0,0,0.10925807803869247,0.1729356050491333,0.06367753446102142
0,1,0.026381438598036766,22,Sub,Rennes,Metz,0,0,2026-03-22,29779,2025,779465,0.00922449491918087,0,1,0,0.026381438598036766,0.09709098190069199,0.07070954144001007
0,1,0.02332201600074768,71,FWR,Rennes,Lille,1,2,2026-03-15,29770,2025,777874,0,0,0,0,0.02332201600074768,0.05474324896931648,0.0314212329685688
0,4,0.21035906672477722,76,FWR,Nice,Rennes,0,4,2026-03-08,29760,2025,775966,0.25187498331069946,1,2,0,0.21035906672477722,0.8643775582313538,0.4021435081958771
0,3,0.11899629235267639,75,FWR,Rennes,Toulouse,1,0,2026-02-28,29752,2025,773371,0,0,0,0,0.11899629235267639,0.37985897064208984,0.31298404932022095
0,0,0,73,AMR,Auxerre,Rennes,0,3,2026-02-22,29737,2025,772142,0.17879600822925568,1,2,0,0,0.2952754497528076,0.11647945642471313
1,2,0.06888149678707123,90,AMR,Rennes,Paris Saint Germain,3,1,2026-02-13,29735,2025,770005,0,0,0,1,0.06888149678707123,0.2596946060657501,0.1908130943775177
0,2,0.07861234992742538,90,DML,Lens,Rennes,3,1,2026-02-08,29722,2025,768918,0,0,0,0,0.07861234992742538,0.9363821148872375,0.857769787311554
0,1,0.03269178047776222,83,DML,Monaco,Rennes,4,0,2026-01-31,29713,2025,767528,0,0,0,0,0.03269178047776222,0.14572764933109283,0.11303586512804031
0,1,0.010525756515562534,29,Sub,Rennes,Lorient,0,2,2026-01-24,29708,2025,765728,0,0,0,0,0.010525756515562534,0.05587348714470863,0.045347731560468674
0,2,0.03968954458832741,85,ML,Rennes,Le Havre,1,1,2026-01-18,29697,2025,764891,0.6553098559379578,0,3,0,0.03968954458832741,0.7188803553581238,0.48217150568962097
0,1,0.009571550413966179,90,DML,Lille,Rennes,0,2,2026-01-03,29684,2025,761368,0.05184688791632652,0,1,0,0.009571550413966179,0.7177245616912842,0.6563061475753784
1,3,0.5360848903656006,81,DML,Rennes,Brest,3,1,2025-12-13,29681,2025,757711,0.48317280411720276,1,2,1,0.5360848903656006,1.0875715017318726,0.06831378489732742
0,1,0.035527776926755905,84,DML,Paris Saint Germain,Rennes,5,0,2025-12-06,29671,2025,756423,0,0,0,0,0.035527776926755905,0.035527776926755905,0
0,2,0.0625743493437767,90,DML,Metz,Rennes,0,1,2025-11-28,29660,2025,753308,0,0,0,0,0.0625743493437767,0.15900056064128876,0.09642621129751205
0,3,0.15734240412712097,87,DML,Rennes,Monaco,4,1,2025-11-22,29653,2025,752332,0.03582899272441864,0,2,0,0.15734240412712097,0.1931713968515396,0.016552815213799477
0,0,0,90,DML,Paris FC,Rennes,0,1,2025-11-07,29644,2025,749782,0.012442723847925663,0,1,0,0,0,0
0,1,0.11976267397403717,61,DML,Rennes,Strasbourg,4,1,2025-11-02,29635,2025,749051,0.5949299931526184,1,2,0,0.11976267397403717,1.756692886352539,1.068444848060608
1,2,0.1465436816215515,90,DML,Toulouse,Rennes,2,2,2025-10-29,29626,2025,747791,0,0,0,1,0.1465436816215515,0.1465436816215515,0.07325252145528793
0,0,0,39,Sub,Rennes,Nice,1,2,2025-10-26,29618,2025,746915,0.08389372378587723,0,2,0,0,0.26809442043304443,0.1842007040977478
0,0,0,11,Sub,Rennes,Auxerre,2,2,2025-10-19,29609,2025,745041,0.07678184658288956,0,1,0,0,0,0
0,1,0.018280301243066788,1,Sub,Le Havre,Rennes,2,2,2025-10-05,29594,2025,743290,0.08593901246786118,0,1,0,0.018280301243066788,0.08593901246786118,0
0,4,0.2873491048812866,62,Sub,Rennes,Lens,0,0,2025-09-28,29589,2025,741733,0.048649951815605164,0,2,0,0.2873491048812866,0.36068975925445557,0.024690700694918633
0,0,0,21,Sub,Nantes,Rennes,2,2,2025-09-20,29581,2025,738736,0.03843067213892937,0,1,0,0,0.03843067213892937,0
0,3,0.10095557570457458,42,Sub,Rennes,Lyon,3,1,2025-09-14,29572,2025,737975,0.7222750186920166,1,3,0,0.10095557570457458,0.9236060976982117,0.17656105756759644
0,0,0,62,FW,Angers,Rennes,1,1,2025-08-31,29560,2025,735738,0,0,0,0,0,0.029602978378534317,0.029602978378534317
0,6,0.5472607612609863,90,FW,Rennes,Marseille,1,0,2025-08-15,29538,2025,731674,0,0,0,0,0.5472607612609863,0.5472607612609863,0
0,1,0.02239946648478508,67,FWR,Rennes,Nice,2,0,2025-05-10,28340,2024,726246,0,0,0,0,0.02239946648478508,0.636773407459259,0.6143739223480225
0,0,0,21,Sub,Toulouse,Rennes,2,1,2025-05-03,28327,2024,724380,0,0,0,0,0,0,0
0,0,0,49,FW,Lyon,Rennes,4,1,2025-04-26,28326,2024,722857,0,0,0,0,0,0.015007873065769672,0.015007873065769672
0,2,0.160122811794281,81,FW,Rennes,Nantes,2,1,2025-04-18,28317,2024,719964,0.12434090673923492,0,1,0,0.160122811794281,0.0894639790058136,0.0894639790058136
1,1,0.7597326040267944,79,FW,Le Havre,Rennes,1,5,2025-04-13,28301,2024,719481,0.6932963132858276,0,2,1,0.7597326040267944,2.083054780960083,0.6300258040428162
0,0,0,10,Sub,Rennes,Auxerre,0,1,2025-04-06,28299,2024,717741,0.026567185297608376,0,1,0,0,0.026567185297608376,0
0,1,0.06072621047496796,5,Sub,Rennes,Paris Saint Germain,1,4,2025-03-08,28271,2024,711458,0,0,0,0,0.06072621047496796,0.05610835552215576,0.05610835552215576
0,2,0.36217525601387024,38,Sub,Montpellier,Rennes,0,4,2025-03-02,28258,2024,710440,0,0,0,0,0.36217525601387024,0.36217525601387024,0.23174864053726196
0,3,0.42994827032089233,63,FW,Rennes,Reims,1,0,2025-02-21,28246,2024,707399,0.292120099067688,0,3,0,0.42994827032089233,0.7147366404533386,0.017107786610722542
0,0,0,75,AMC,Rennes,Lille,0,2,2025-02-16,28242,2024,707208,0,0,0,0,0,0.07523734122514725,0.07523734122514725
0,4,0.5946539640426636,90,AMC,Saint-Etienne,Rennes,0,2,2025-02-08,28232,2024,705052,0.6285238265991211,0,3,0,0.5946539640426636,1.351859211921692,0.6412968039512634
0,2,0.13878238201141357,90,FW,Montpellier,Lens,0,2,2025-01-31,28221,2024,702643,0,0,0,0,0.13878238201141357,0.18222741782665253,0.043445032089948654
0,0,0,90,FW,Toulouse,Montpellier,1,2,2025-01-26,28212,2024,702133,0.3421335518360138,0,1,0,0,0.7331088185310364,0.3909752666950226
2,4,1.306293249130249,90,FW,Montpellier,Monaco,2,1,2025-01-17,28206,2024,699606,0.4129777252674103,0,1,2,1.306293249130249,1.719270944595337,0
0,0,0,90,MR,Montpellier,Angers,1,3,2025-01-12,28197,2024,698690,0,0,0,0,0,0,0
0,3,0.3526921570301056,90,AMC,Lyon,Montpellier,1,0,2025-01-04,28184,2024,697482,0.4330493211746216,0,2,0,0.3526921570301056,0.8682719469070435,0.09762897342443466
0,4,0.15676148235797882,90,AMR,Montpellier,Nice,2,2,2024-12-15,28179,2024,694226,0.8696411848068237,1,5,0,0.15676148235797882,0.971860945224762,0
0,2,0.08015349507331848,90,FW,Lens,Montpellier,2,0,2024-12-08,28170,2024,692862,0,0,0,0,0.08015349507331848,0.08015349507331848,0
