id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
482312,12,MissedShots,0.905,0.500999984741211,0.027515999972820282,Rasmus Nicolaisen,h,10788,FromCorner,2022,Head,19677,Toulouse,Lorient,2,2,2022-08-21 13:00:00,Branco van den Boomen,Aerial
484118,45,SavedShot,0.9080000305175782,0.4779999923706055,0.029763299971818924,Rasmus Nicolaisen,a,10788,FromCorner,2022,Head,19681,Nantes,Toulouse,3,1,2022-08-28 11:00:00,Branco van den Boomen,Aerial
486567,50,BlockedShot,0.9269999694824219,0.4929999923706055,0.11674399673938751,Rasmus Nicolaisen,a,10788,FromCorner,2022,Head,19700,Clermont Foot,Toulouse,2,0,2022-09-04 13:00:00,Branco van den Boomen,Cross
490699,39,MissedShots,0.914000015258789,0.4540000152587891,0.07851389795541763,Rasmus Nicolaisen,h,10788,FromCorner,2022,Head,19736,Toulouse,Montpellier,4,2,2022-10-02 13:00:00,Branco van den Boomen,Cross
498550,22,MissedShots,0.9009999847412109,0.4909999847412109,0.023761000484228134,Rasmus Nicolaisen,h,10788,FromCorner,2022,Head,19786,Toulouse,Monaco,0,2,2022-11-06 14:00:00,Branco van den Boomen,Aerial
500398,92,BlockedShot,0.9330000305175781,0.6709999847412109,0.03671009838581085,Rasmus Nicolaisen,a,10788,FromCorner,2022,LeftFoot,19797,Rennes,Toulouse,2,1,2022-11-12 20:00:00,Branco van den Boomen,Cross
501411,40,OwnGoal,0.14699999809265138,0.5379999923706055,0,Rasmus Nicolaisen,a,10788,OpenPlay,2022,Head,19803,Marseille,Toulouse,6,1,2022-12-29 20:00:00,,Interception
503923,12,SavedShot,0.8719999694824219,0.5220000076293946,0.014065200462937355,Rasmus Nicolaisen,h,10788,SetPiece,2022,Head,19837,Toulouse,Brest,1,1,2023-01-15 14:00:00,,Rebound
503944,87,SavedShot,0.7519999694824219,0.6120000076293945,0.020420299842953682,Rasmus Nicolaisen,h,10788,OpenPlay,2022,LeftFoot,19837,Toulouse,Brest,1,1,2023-01-15 14:00:00,Branco van den Boomen,Pass
511323,33,SavedShot,0.8719999694824219,0.5590000152587891,0.03783560171723366,Rasmus Nicolaisen,a,10788,SetPiece,2022,Head,19897,Reims,Toulouse,3,0,2023-02-26 14:00:00,Branco van den Boomen,Cross
