goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,2,1.147276520729065,83,ML,Auxerre,Nice,2,1,2026-05-10,29827,2025,789754,0.0357089526951313,0,2,1,1.147276520729065,1.1829854249954224,0
0,2,0.29137906432151794,90,ML,Nice,Lens,1,1,2026-05-03,29822,2025,787754,0.09909763932228088,0,2,0,0.29137906432151794,0.2281738668680191,0.0564931221306324
0,0,0,42,Sub,Marseille,Nice,1,1,2026-04-26,29813,2025,786435,0.2319989949464798,0,1,0,0,0.2855801284313202,0.05358114838600159
0,1,0.054156821221113205,90,ML,Lille,Nice,0,0,2026-04-18,29801,2025,783607,0,0,0,0,0.054156821221113205,0,0
0,1,0.23027484118938446,12,Sub,Nice,Le Havre,1,1,2026-04-12,29795,2025,782407,0,0,0,0,0.23027484118938446,0.23027484118938446,0
0,1,0.12378526479005814,49,AML,Strasbourg,Nice,3,1,2026-04-04,29789,2025,780193,0.030905550345778465,0,1,0,0.12378526479005814,0.15469081699848175,0
0,1,0.02798677794635296,68,AMC,Nice,Paris Saint Germain,0,4,2026-03-21,29777,2025,778898,0.00851809699088335,0,1,0,0.02798677794635296,0.09478449821472168,0.06679772585630417
0,0,0,24,Sub,Angers,Nice,0,2,2026-03-14,29763,2025,777088,0.42302894592285156,0,1,0,0,0.4701996445655823,0.04717070236802101
0,0,0,76,FW,Nice,Rennes,0,4,2026-03-08,29760,2025,775952,0,0,0,0,0,0.5939414501190186,0.5939414501190186
0,0,0,68,AMC,Paris FC,Nice,1,0,2026-03-01,29751,2025,773948,0,0,0,0,0,0,0
0,0,0,70,AMC,Nice,Lorient,3,3,2026-02-22,29741,2025,772368,0.008164403028786182,0,1,0,0,0.008164403028786182,0
0,3,0.2573409676551819,90,AMC,Lyon,Nice,2,0,2026-02-15,29730,2025,771056,0.12453767657279968,0,2,0,0.2573409676551819,0.4952651858329773,0.11338652670383453
0,3,0.1153632253408432,86,AMC,Nice,Monaco,0,0,2026-02-08,29725,2025,769213,0.11809641867876053,0,2,0,0.1153632253408432,0.25171029567718506,0.041072241961956024
0,2,0.04283936694264412,86,AML,Nice,Brest,2,2,2026-02-01,29714,2025,767852,0.08041058480739594,0,1,0,0.04283936694264412,0.06067845597863197,0.017839089035987854
1,2,0.5836371779441833,75,AML,Nantes,Nice,1,4,2026-01-25,29706,2025,766170,0,0,0,1,0.5836371779441833,0.9647520184516907,0.3811148703098297
0,3,0.6785585284233093,90,ML,Nice,Strasbourg,1,1,2026-01-03,29688,2025,761264,0.3923686146736145,0,2,0,0.6785585284233093,0.4552913010120392,0
0,1,0.017316915094852448,90,FW,Lens,Nice,2,0,2025-12-14,29675,2025,758409,0.05571931600570679,0,2,0,0.017316915094852448,0.6341428756713867,0.5784235596656799
