goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Lille,Le Havre,1,1,2026-05-03,29818,2025,787710,0,0,0,0,0,0,0
0,0,0,4,Sub,Le Havre,Paris FC,0,0,2025-12-07,29666,2025,756852,0,0,0,0,0,0.018923018127679825,0.018923018127679825
0,0,0,5,Sub,Le Havre,Brest,1,0,2025-10-29,29619,2025,747473,0,0,0,0,0,0,0
0,0,0,90,DC,Auxerre,Le Havre,0,1,2025-10-26,29611,2025,746890,0,0,0,0,0,0.02931099385023117,0.02931099385023117
0,0,0,53,Sub,Marseille,Le Havre,6,2,2025-10-18,29604,2025,744648,0,0,0,0,0,0,0
0,0,0,90,DC,Metz,Le Havre,0,0,2025-09-28,29586,2025,741457,0.03650601580739021,0,1,0,0,0.03650601580739021,0
0,0,0,1,Sub,Strasbourg,Le Havre,1,0,2025-09-14,29573,2025,737803,0,0,0,0,0,0,0
0,0,0,81,DMC,Monaco,Le Havre,3,1,2025-08-16,29540,2025,731990,0,0,0,0,0,0,0
0,1,0.010815376415848732,90,DC,Strasbourg,Le Havre,2,3,2025-05-17,28345,2024,728203,0,0,0,0,0.010815376415848732,0.8921417593955994,0.8813263773918152
0,0,0,90,DC,Le Havre,Marseille,1,3,2025-05-10,28339,2024,726389,0,0,0,0,0,0.4992808699607849,0.4992808699607849
0,1,0.06410247087478638,90,DC,Auxerre,Le Havre,1,2,2025-05-04,28329,2024,724829,0,0,0,0,0.06410247087478638,0.09862720966339111,0.09862720966339111
0,0,0,90,DC,Le Havre,Monaco,1,1,2025-04-26,28318,2024,722802,0,0,0,0,0,0.5591685175895691,0.5591685175895691
0,0,0,80,DC,Paris Saint Germain,Le Havre,2,1,2025-04-19,28313,2024,720538,0,0,0,0,0,0,0
0,1,0.03872440382838249,1,Sub,Montpellier,Le Havre,0,2,2025-04-06,28294,2024,717787,0,0,0,0,0.03872440382838249,0.0937633290886879,0.0937633290886879
0,0,0,24,Sub,Le Havre,Nantes,3,2,2025-03-30,28284,2024,715541,0.04158877208828926,0,1,0,0,0.5358346700668335,0.5358346700668335
0,1,0.044577356427907944,90,DC,Lyon,Le Havre,4,2,2025-03-16,28277,2024,713794,0,0,0,0,0.044577356427907944,0.07864879071712494,0.07864879071712494
0,1,0.34902241826057434,90,DC,Le Havre,Saint-Etienne,1,1,2025-03-09,28264,2024,712061,0,0,0,0,0.34902241826057434,0.04442382976412773,0.04442382976412773
0,0,0,90,DC,Lens,Le Havre,3,4,2025-03-01,28260,2024,709999,0,0,0,0,0,0,0
0,0,0,90,DC,Le Havre,Toulouse,1,4,2025-02-23,28247,2024,708504,0,0,0,0,0,0.015455459244549274,0.015455459244549274
0,0,0,90,DC,Le Havre,Nice,1,3,2025-02-16,28244,2024,706954,0.04228626564145088,0,1,0,0,0.09134802967309952,0.09134802967309952
0,2,0.38511842489242554,90,DC,Lille,Le Havre,1,2,2025-02-08,28231,2024,705168,0,0,0,0,0.38511842489242554,0.0710102841258049,0.0710102841258049
0,0,0,90,DMC,Angers,Le Havre,1,1,2025-02-02,28224,2024,704151,0,0,0,0,0,0.9548711180686951,0.9548711180686951
0,0,0,90,DC,Reims,Le Havre,1,1,2025-01-19,28207,2024,700706,0,0,0,0,0,0,0
0,0,0,90,DC,Le Havre,Lens,1,2,2025-01-12,28196,2024,698565,0,0,0,0,0,0,0
0,0,0,90,DC,Marseille,Le Havre,5,1,2025-01-05,28189,2024,697786,0,0,0,0,0,0.04079865664243698,0.04079865664243698
0,2,0.5071977376937866,90,DC,Le Havre,Strasbourg,0,3,2024-12-15,28175,2024,694345,0,0,0,0,0.5071977376937866,0.198309525847435,0.198309525847435
0,1,0.019312435761094093,90,DC,Nice,Le Havre,2,1,2024-12-07,28165,2024,692485,0,0,0,0,0.019312435761094093,0.33176273107528687,0.33176273107528687
0,0,0,90,DC,Le Havre,Angers,0,1,2024-12-01,28158,2024,690890,0,0,0,0,0,0,0
0,0,0,90,DC,Nantes,Le Havre,0,2,2024-11-24,28152,2024,689354,0,0,0,0,0,0,0
0,1,0.016313422471284866,90,DC,Le Havre,Reims,0,3,2024-11-10,28143,2024,687526,0,0,0,0,0.016313422471284866,0.07255571335554123,0.05624229088425636
0,1,0.022255102172493935,90,DC,Le Havre,Montpellier,1,0,2024-11-03,28133,2024,685671,0,0,0,0,0.022255102172493935,0.14642348885536194,0.14642348885536194
0,0,0,90,DC,Rennes,Le Havre,1,0,2024-10-25,28123,2024,682608,0,0,0,0,0,0.061051834374666214,0.061051834374666214
0,2,0.5819156765937805,50,DC,Brest,Le Havre,2,0,2024-10-06,28108,2024,680375,0,0,0,0,0.5819156765937805,0.02432626485824585,0.02432626485824585
0,0,0,90,DC,Le Havre,Lille,0,3,2024-09-28,28098,2024,678173,0,0,0,0,0,0.3247189521789551,0.3247189521789551
0,0,0,90,DC,Saint-Etienne,Le Havre,0,2,2024-08-24,28060,2024,668561,0.05103054270148277,0,1,0,0,0.12514428794384003,0.07411374151706696
0,0,0,90,DC,Le Havre,Paris Saint Germain,1,4,2024-08-16,28048,2024,666142,0,0,0,0,0,0,0
0,1,0.04777764901518822,86,DC,Nice,Le Havre,1,0,2024-05-10,23663,2023,660239,0,0,0,0,0.04777764901518822,0.06439641118049622,0.06439641118049622
0,0,0,90,DC,Le Havre,Strasbourg,3,1,2024-05-04,23656,2023,658648,0,0,0,0,0,0.6019769310951233,0.6019769310951233
0,0,0,61,DC,Le Havre,Metz,0,1,2024-04-21,23639,2023,655354,0,0,0,0,0,0.05103525519371033,0.05103525519371033
0,0,0,90,DC,Le Havre,Nantes,0,1,2024-04-14,23630,2023,653717,0,0,0,0,0,0.6314274668693542,0.6314274668693542
0,0,0,90,DC,Lens,Le Havre,1,1,2024-04-06,23619,2023,651848,0,0,0,0,0,0,0
0,0,0,90,DC,Le Havre,Montpellier,0,2,2024-03-31,23612,2023,650358,0,0,0,0,0,0,0
0,0,0,90,DC,Clermont Foot,Le Havre,2,1,2024-03-17,23599,2023,648818,0,0,0,0,0,0.5030702948570251,0.5030702948570251
0,1,0.023018991574645042,90,DC,Le Havre,Toulouse,1,0,2024-03-10,23594,2023,647278,0.018035542219877243,0,1,0,0.023018991574645042,0,0
0,0,0,90,DC,Le Havre,Reims,1,2,2024-02-25,23571,2023,643770,0,0,0,0,0,0.1092156246304512,0.1092156246304512
0,1,0.022692998871207237,90,DC,Lille,Le Havre,3,0,2024-02-17,23563,2023,641931,0,0,0,0,0.022692998871207237,0,0
0,0,0,90,DC,Le Havre,Rennes,0,1,2024-02-11,23559,2023,640583,0.09511972963809967,0,1,0,0,0.17840683460235596,0.08328710496425629
