goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,78,Sub,Auxerre,Nice,2,1,2026-05-10,29827,2025,789743,0,0,0,0,0,0.1315489113330841,0.1315489113330841
0,0,0,10,Sub,Auxerre,Angers,3,1,2026-05-03,29817,2025,787909,0,0,0,0,0,0,0
0,0,0,27,Sub,Lyon,Auxerre,3,2,2026-04-25,29812,2025,785316,0,0,0,0,0,0.04809589311480522,0.04809589311480522
0,0,0,1,Sub,Auxerre,Brest,3,0,2026-03-21,29772,2025,778814,0.05419927462935448,0,1,0,0,0.05419927462935448,0
0,0,0,90,DC,Marseille,Auxerre,1,0,2026-03-13,29766,2025,776427,0,0,0,0,0,0.021066583693027496,0.021066583693027496
0,0,0,51,DL,Auxerre,Rennes,0,3,2026-02-22,29737,2025,772123,0,0,0,0,0,0,0
0,0,0,90,DL,Metz,Auxerre,1,3,2026-02-15,29732,2025,770927,0.06924699246883392,0,1,0,0,0.32794082164764404,0.32794082164764404
0,0,0,90,DC,Auxerre,Paris FC,0,0,2026-02-08,29719,2025,769303,0,0,0,0,0,0,0
0,0,0,90,DC,Toulouse,Auxerre,0,0,2026-02-01,29717,2025,767889,0,0,0,0,0,0.17889240384101868,0.17889240384101868
0,0,0,90,DC,Auxerre,Paris Saint Germain,0,1,2026-01-23,29700,2025,765230,0,0,0,0,0,0.10399134457111359,0.10399134457111359
0,1,0.043555766344070435,90,DC,Lens,Auxerre,1,0,2026-01-17,29692,2025,764354,0,0,0,0,0.043555766344070435,0,0
0,0,0,62,DC,Auxerre,Lille,3,4,2025-12-14,29674,2025,758357,0,0,0,0,0,0.04878474771976471,0.04878474771976471
0,1,0.040971651673316956,90,DC,Auxerre,Metz,3,1,2025-12-07,29664,2025,756812,0,0,0,0,0.040971651673316956,0.055227793753147125,0.055227793753147125
0,0,0,90,DC,Paris FC,Auxerre,1,1,2025-11-29,29662,2025,753955,0.04401686415076256,0,1,0,0,0.1432979255914688,0.1432979255914688
0,0,0,90,DC,Auxerre,Lyon,0,0,2025-11-23,29646,2025,752612,0,0,0,0,0,0,0
0,0,0,90,DC,Angers,Auxerre,2,0,2025-11-09,29637,2025,751108,0,0,0,0,0,0.027629049494862556,0.027629049494862556
0,0,0,90,DC,Auxerre,Marseille,0,1,2025-11-01,29628,2025,748799,0,0,0,0,0,0.3852241337299347,0.3852241337299347
0,1,0.038721200078725815,90,DC,Strasbourg,Auxerre,3,0,2025-10-29,29627,2025,747819,0,0,0,0,0.038721200078725815,0,0
0,0,0,90,DC,Auxerre,Le Havre,0,1,2025-10-26,29611,2025,746875,0.023272186517715454,0,1,0,0,0.05207588151097298,0.028803696855902672
0,0,0,90,DC,Rennes,Auxerre,2,2,2025-10-19,29609,2025,745046,0,0,0,0,0,0.024856623262166977,0.024856623262166977
0,2,0.07623482495546341,90,DC,Auxerre,Lens,1,2,2025-10-04,29592,2025,742804,0.23254744708538055,0,5,0,0.07623482495546341,0.06260907649993896,0.03994378447532654
0,0,0,69,DC,Paris Saint Germain,Auxerre,2,0,2025-09-27,29588,2025,741113,0,0,0,0,0,0.07348965108394623,0.07348965108394623
0,0,0,22,Sub,Auxerre,Toulouse,1,0,2025-09-21,29574,2025,739479,0,0,0,0,0,0,0
0,1,0.036316342651844025,90,DC,Nantes,Auxerre,1,0,2025-08-30,29558,2025,735394,0,0,0,0,0.036316342651844025,0.16075371205806732,0.16075371205806732
0,0,0,90,DC,Nice,Auxerre,3,1,2025-08-23,29549,2025,733530,0,0,0,0,0,0.5045788288116455,0.5045788288116455
0,0,0,90,DC,Auxerre,Lorient,1,0,2025-08-17,29543,2025,732365,0,0,0,0,0,0.12033799290657043,0.12033799290657043
0,0,0,72,DC,Paris Saint Germain,Auxerre,3,1,2025-05-17,28351,2024,727986,0,0,0,0,0,0.044291432946920395,0.044291432946920395
0,0,0,90,DC,Auxerre,Nantes,1,1,2025-05-10,28337,2024,726179,0,0,0,0,0,0.31490933895111084,0.31490933895111084
