goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,18,Sub,Lille,Reims,2,1,2025-05-17,28353,2024,727964,0,0,0,0,0,0,0
0,0,0,13,Sub,Reims,Saint-Etienne,0,2,2025-05-10,28336,2024,726159,0,0,0,0,0,0,0
0,1,0.1035904660820961,20,Sub,Nice,Reims,1,0,2025-05-02,28332,2024,723734,0.054291803389787674,0,1,0,0.1035904660820961,0.24871745705604553,0.09083518385887146
0,0,0,28,Sub,Montpellier,Reims,0,0,2025-04-27,28321,2024,723235,0,0,0,0,0,0.0557551346719265,0.0557551346719265
0,3,0.22836372256278992,26,Sub,Reims,Toulouse,1,0,2025-04-20,28315,2024,721262,0.03801197186112404,0,1,0,0.22836372256278992,0.26637569069862366,0
0,0,0,38,Sub,Lens,Reims,0,2,2025-04-11,28307,2024,718251,0,0,0,0,0,0.13262636959552765,0.13262636959552765
0,0,0,83,FW,Reims,Strasbourg,0,1,2025-04-06,28298,2024,717709,0,0,0,0,0,0,0
0,1,0.11440827697515488,25,Sub,Reims,Marseille,3,1,2025-03-29,28288,2024,714915,0.29506590962409973,1,1,0,0.11440827697515488,0.44411593675613403,0.034641724079847336
0,0,0,72,FW,Brest,Reims,0,0,2025-03-16,28276,2024,714018,0.043670520186424255,0,1,0,0,0.1210513785481453,0.07738085091114044
0,2,0.1559637039899826,22,Sub,Reims,Auxerre,0,2,2025-03-09,28265,2024,712133,0,0,0,0,0.1559637039899826,0.14300408959388733,0.03376041352748871
0,0,0,15,Sub,Rennes,Reims,1,0,2025-02-21,28246,2024,707418,0,0,0,0,0,0,0
