goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Toulouse,Lyon,2,1,2026-05-10,29834,2025,789916,0.08368057012557983,0,1,0,0,1.01025390625,0.9265733957290649
0,0,0,90,DC,Strasbourg,Toulouse,1,2,2026-05-03,29825,2025,787978,0.029209870845079422,0,1,0,0,0.35496455430984497,0.32575467228889465
0,0,0,90,DC,Toulouse,Monaco,2,2,2026-04-25,29816,2025,785879,0.08250879496335983,0,1,0,0,0.5598621368408203,0.5598621368408203
0,0,0,49,DC,Toulouse,Lille,0,4,2026-04-12,29798,2025,782428,0,0,0,0,0,0.025486348196864128,0.025486348196864128
0,0,0,90,DC,Paris Saint Germain,Toulouse,3,1,2026-04-03,29788,2025,779719,0,0,0,0,0,0.02082325704395771,0.02082325704395771
0,0,0,90,DC,Toulouse,Lorient,1,0,2026-03-21,29780,2025,778583,0,0,0,0,0,0.09500238299369812,0.09500238299369812
0,0,0,90,DC,Metz,Toulouse,3,4,2026-03-15,29767,2025,777635,0,0,0,0,0,0.8848695158958435,0.8848695158958435
0,0,0,90,DC,Toulouse,Marseille,0,1,2026-03-07,29762,2025,775541,0.4344229996204376,0,3,0,0,1.0076744556427002,0.5732514262199402
0,0,0,90,DC,Rennes,Toulouse,1,0,2026-02-28,29752,2025,773380,0.26191332936286926,0,1,0,0,0.47089874744415283,0.20898541808128357
0,1,0.08404982835054398,90,DC,Le Havre,Toulouse,2,1,2026-02-15,29727,2025,770797,0.5838707089424133,0,1,0,0.08404982835054398,0.2560981512069702,0.2560981512069702
0,0,0,9,Sub,Angers,Toulouse,1,0,2026-02-08,29718,2025,769299,0,0,0,0,0,0,0
0,0,0,90,DC,Toulouse,Auxerre,0,0,2026-02-01,29717,2025,767875,0,0,0,0,0,0.039438940584659576,0.039438940584659576
0,0,0,90,DC,Brest,Toulouse,0,2,2026-01-25,29701,2025,766320,0.01580275408923626,1,1,0,0,0.10566224902868271,0.0898594930768013
