goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,64,DC,Monaco,Nice,2,2,2025-10-05,29598,2025,743308,0,0,0,0,0,0,0
0,0,0,90,DC,Nice,Paris FC,1,1,2025-09-28,29587,2025,741282,0,0,0,0,0,0,0
0,0,0,90,DC,Nice,Brest,6,0,2025-05-17,28350,2024,728092,0,0,0,0,0,0,0
0,0,0,90,DC,Rennes,Nice,2,0,2025-05-10,28340,2024,726254,0,0,0,0,0,0.028415337204933167,0.028415337204933167
0,0,0,90,DC,Nice,Reims,1,0,2025-05-02,28332,2024,723704,0,0,0,0,0,0,0
0,1,0.03661684691905975,62,DC,Strasbourg,Nice,2,2,2025-04-12,28304,2024,719014,0,0,0,0,0.03661684691905975,0.42871251702308655,0.42871251702308655
0,1,0.012980866245925426,65,DC,Nice,Nantes,1,2,2025-04-04,28292,2024,716423,0,0,0,0,0.012980866245925426,0.08550472557544708,0.07252386212348938
0,0,0,78,DC,Monaco,Nice,2,1,2025-03-29,28290,2024,715169,0,0,0,0,0,0.29988884925842285,0.29988884925842285
0,0,0,90,DC,Nice,Auxerre,1,1,2025-03-14,28274,2024,712552,0.0812414363026619,0,1,0,0,0.8521997332572937,0.7709583044052124
0,1,0.017231173813343048,84,DC,Nice,Lyon,0,2,2025-03-09,28268,2024,712396,0,0,0,0,0.017231173813343048,0.06748552620410919,0.06748552620410919
0,0,0,90,DC,Saint-Etienne,Nice,1,3,2025-03-01,28259,2024,709813,0,0,0,0,0,0.19613438844680786,0.19613438844680786
0,1,0.01490298006683588,90,DC,Nice,Montpellier,2,0,2025-02-23,28253,2024,708566,0,0,0,0,0.01490298006683588,0.7983064651489258,0.7983064651489258
0,0,0,90,DC,Le Havre,Nice,1,3,2025-02-16,28244,2024,706969,0,0,0,0,0,1.0931620597839355,1.0931620597839355
0,0,0,90,DC,Nice,Lens,2,0,2025-02-08,28236,2024,704875,0,0,0,0,0,1.33983314037323,1.33983314037323
0,0,0,20,Sub,Toulouse,Nice,1,1,2025-02-02,28225,2024,703971,0,0,0,0,0,0,0
0,0,0,20,Sub,Nice,Marseille,2,0,2025-01-26,28217,2024,702398,0,0,0,0,0,0,0
0,1,0.09006998687982559,90,DC,Montpellier,Nice,2,2,2024-12-15,28179,2024,694237,0,0,0,0,0.09006998687982559,0.3345104455947876,0.3345104455947876
0,0,0,90,DC,Nice,Le Havre,2,1,2024-12-07,28165,2024,692469,0,0,0,0,0,0.22553445398807526,0.22553445398807526
0,0,0,90,DC,Lyon,Nice,4,1,2024-12-01,28163,2024,690967,0,0,0,0,0,0.8637107610702515,0.8637107610702515
0,0,0,90,DC,Nice,Strasbourg,2,1,2024-11-24,28149,2024,689431,0.015554864890873432,0,1,0,0,0.459240585565567,0.44368571043014526
0,0,0,90,DC,Nice,Lille,2,2,2024-11-10,28141,2024,687222,0,0,0,0,0,1.0672547817230225,1.0672547817230225
0,1,0.3764391839504242,90,DC,Brest,Nice,0,1,2024-11-02,28134,2024,685310,0,0,0,0,0.3764391839504242,0.06699547171592712,0.06699547171592712
0,1,0.08013420552015305,90,DC,Nice,Monaco,2,1,2024-10-27,28128,2024,683755,0,0,0,0,0.08013420552015305,0.0852436050772667,0.0852436050772667
0,0,0,90,DC,Nantes,Nice,1,1,2024-10-20,28116,2024,682139,0,0,0,0,0,0.42147818207740784,0.42147818207740784
0,0,0,90,DC,Nice,Paris Saint Germain,1,1,2024-10-06,28104,2024,680666,0,0,0,0,0,0,0
0,0,0,90,DC,Lens,Nice,0,0,2024-09-28,28096,2024,677973,0,0,0,0,0,0.10718066990375519,0.10718066990375519
0,1,0.038995400071144104,90,DC,Nice,Saint-Etienne,8,0,2024-09-20,28085,2024,675183,0,0,0,0,0.038995400071144104,0.9418162703514099,0.9418162703514099
0,0,0,68,DC,Angers,Nice,1,4,2024-09-01,28073,2024,672661,0,0,0,0,0,0.1420244574546814,0.1420244574546814
0,0,0,90,DC,Nice,Toulouse,1,1,2024-08-25,28062,2024,668858,0,0,0,0,0,0.3959651291370392,0.3959651291370392
