goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,29,Sub,Auxerre,Nice,2,1,2026-05-10,29827,2025,789760,0.22463876008987427,0,1,0,0,0.22463876008987427,0.22463876008987427
1,2,0.5651838183403015,17,Sub,Nice,Lens,1,1,2026-05-03,29822,2025,787760,0.06227516755461693,0,1,1,0.5651838183403015,0.11876828968524933,0
0,0,0,7,Sub,Marseille,Nice,1,1,2026-04-26,29813,2025,786437,0,0,0,0,0,0,0
1,4,1.0703961849212646,84,DML,Nice,Le Havre,1,1,2026-04-12,29795,2025,782400,0.5257353186607361,0,1,1,1.0703961849212646,0.4548264443874359,0.3291916251182556
0,1,0.015339539386332035,23,Sub,Strasbourg,Nice,3,1,2026-04-04,29789,2025,780198,0,0,0,0,0.015339539386332035,0.015339539386332035,0
0,0,0,16,Sub,Nice,Paris Saint Germain,0,4,2026-03-21,29777,2025,778901,0,0,0,0,0,0,0
0,0,0,70,DL,Nice,Lorient,3,3,2026-02-22,29741,2025,772364,0,0,0,0,0,0.008164403028786182,0.008164403028786182
0,0,0,90,DL,Lyon,Nice,2,0,2026-02-15,29730,2025,771052,0.38035517930984497,0,1,0,0,0,0
0,1,0.008235602639615536,90,DL,Nice,Monaco,0,0,2026-02-08,29725,2025,769209,0,0,0,0,0.008235602639615536,0,0
1,3,0.49291136860847473,90,DL,Nice,Brest,2,2,2026-02-01,29714,2025,767847,0.06067845597863197,0,3,1,0.49291136860847473,0.4926142990589142,0.02240263670682907
0,0,0,90,DL,Nantes,Nice,1,4,2026-01-25,29706,2025,766165,0,0,0,0,0,0.0896146297454834,0.0896146297454834
0,0,0,17,Sub,Toulouse,Nice,5,1,2026-01-17,29699,2025,764488,0,0,0,0,0,0.08115692436695099,0.08115692436695099
0,0,0,19,Sub,Lens,Nice,2,0,2025-12-14,29675,2025,758415,0,0,0,0,0,0.038574133068323135,0.038574133068323135
0,0,0,90,DML,Nice,Angers,0,1,2025-12-07,29670,2025,756628,0.11582094430923462,0,2,0,0,0.14618097245693207,0.030360018834471703
0,0,0,24,Sub,Lorient,Nice,3,1,2025-11-30,29657,2025,754548,0,0,0,0,0,0.012546844780445099,0.012546844780445099
0,0,0,17,Sub,Nice,Marseille,1,5,2025-11-21,29651,2025,751565,0,0,0,0,0,0,0
0,0,0,48,ML,Metz,Nice,2,1,2025-11-09,29642,2025,751080,0,0,0,0,0,0.09263531863689423,0.09263531863689423
0,0,0,90,DL,Paris Saint Germain,Nice,1,0,2025-11-01,29634,2025,748479,0.22572079300880432,0,3,0,0,0.08667228370904922,0
0,0,0,76,ML,Rennes,Nice,1,2,2025-10-26,29618,2025,746925,0.31793439388275146,0,1,0,0,0.33797597885131836,0.33797597885131836
0,0,0,33,DML,Monaco,Nice,2,2,2025-10-05,29598,2025,743312,0,0,0,0,0,0.02770497463643551,0.02770497463643551
0,0,0,46,DML,Nice,Paris FC,1,1,2025-09-28,29587,2025,741286,0,0,0,0,0,0.05926048755645752,0.05926048755645752
1,1,0.8931196928024292,2,Sub,Nice,Brest,6,0,2025-05-17,28350,2024,728105,0.04587017372250557,0,1,1,0.8931196928024292,0.9389898777008057,0.04587017372250557
0,1,0.1361558586359024,51,DML,Rennes,Nice,2,0,2025-05-10,28340,2024,726258,0.20326589047908783,0,1,0,0.1361558586359024,0.16457119584083557,0.028415337204933167
0,1,0.35868316888809204,90,DML,Nice,Reims,1,0,2025-05-02,28332,2024,723708,0,0,0,0,0.35868316888809204,0.35868316888809204,0
0,1,0.36020180583000183,89,DML,Paris Saint Germain,Nice,1,3,2025-04-25,28324,2024,722295,0.1124163344502449,0,1,0,0.36020180583000183,0.47261813282966614,0
1,3,1.521924614906311,70,DML,Nice,Angers,2,1,2025-04-20,28310,2024,721192,0.15145432949066162,0,1,1,1.521924614906311,1.6733789443969727,0.15145432949066162
1,5,0.4790143370628357,85,DML,Nice,Nantes,1,2,2025-04-04,28292,2024,716426,0.3023758828639984,0,2,1,0.4790143370628357,0.7063114047050476,0
0,1,0.04014749079942703,78,DML,Monaco,Nice,2,1,2025-03-29,28290,2024,715171,0.05054209381341934,0,1,0,0.04014749079942703,0.09068958461284637,0.05054209381341934
0,0,0,1,Sub,Nice,Auxerre,1,1,2025-03-14,28274,2024,712563,0,0,0,0,0,0,0
0,0,0,6,Sub,Nice,Lyon,0,2,2025-03-09,28268,2024,712407,0,0,0,0,0,0,0
0,0,0,1,Sub,Saint-Etienne,Nice,1,3,2025-03-01,28259,2024,709824,0,0,0,0,0,0,0
0,0,0,69,DML,Nice,Montpellier,2,0,2025-02-23,28253,2024,708568,0.00965204183012247,0,1,0,0,0.13875620067119598,0.1291041523218155
0,0,0,64,DML,Le Havre,Nice,1,3,2025-02-16,28244,2024,706972,0,0,0,0,0,0.5033443570137024,0.5033443570137024
0,0,0,1,Sub,Nice,Lens,2,0,2025-02-08,28236,2024,704886,0,0,0,0,0,0,0
0,0,0,70,DML,Toulouse,Nice,1,1,2025-02-02,28225,2024,703965,0,0,0,0,0,0.053748179227113724,0.053748179227113724
0,1,0.022018777206540108,70,DML,Nice,Marseille,2,0,2025-01-26,28217,2024,702392,0.04502532258629799,0,1,0,0.022018777206540108,0.4828580617904663,0.4828580617904663
0,0,0,80,DL,Lille,Nice,2,1,2025-01-17,28203,2024,699738,0,0,0,0,0,0.21525976061820984,0.21525976061820984
1,2,0.34274768829345703,11,Sub,Reims,Nice,2,4,2025-01-11,28195,2024,698410,0.10858964920043945,0,1,1,0.34274768829345703,0.4513373374938965,0
0,4,0.2475518435239792,90,DML,Nice,Lille,2,2,2024-11-10,28141,2024,687225,0.08391135931015015,0,1,0,0.2475518435239792,1.3543946743011475,1.1356405019760132
0,2,0.04821928218007088,90,DML,Brest,Nice,0,1,2024-11-02,28134,2024,685313,0.5668615698814392,1,2,0,0.04821928218007088,1.0866711139678955,0.47159022092819214
0,1,0.0115874744951725,90,DML,Nice,Monaco,2,1,2024-10-27,28128,2024,683759,0.12737904489040375,1,2,0,0.0115874744951725,0.17790110409259796,0.1105811595916748
0,1,0.024136072024703026,90,DML,Nantes,Nice,1,1,2024-10-20,28116,2024,682143,0.16035646200180054,0,3,0,0.024136072024703026,0.3126040995121002,0.17561693489551544
1,3,0.07171139121055603,90,DML,Nice,Paris Saint Germain,1,1,2024-10-06,28104,2024,680668,0.01801266334950924,0,1,1,0.07171139121055603,0.1871773898601532,0.11682886630296707
0,1,0.06451529264450073,90,DML,Lens,Nice,0,0,2024-09-28,28096,2024,677976,0,0,0,0,0.06451529264450073,0.4385843276977539,0.3740690350532532
0,0,0,13,Sub,Nice,Saint-Etienne,8,0,2024-09-20,28085,2024,675194,0,0,0,0,0,0.06179109588265419,0.06179109588265419
0,1,0.2740418016910553,19,Sub,Marseille,Nice,2,0,2024-09-14,28076,2024,673859,0.38060566782951355,0,1,0,0.2740418016910553,0.6546474695205688,0
