id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
637859,98,MissedShots,0.9519999694824218,0.580999984741211,0.13126477599143982,Ayumu Seko,a,13742,FromCorner,2025,RightFoot,29540,Monaco,Le Havre,3,1,2025-08-16 17:00:00,Fodé Doucouré,Rebound
639449,22,MissedShots,0.7859999847412109,0.30200000762939455,0.020312344655394554,Ayumu Seko,h,13742,OpenPlay,2025,LeftFoot,29553,Le Havre,Lens,1,2,2025-08-24 15:15:00,Fodé Doucouré,Pass
643788,42,MissedShots,0.9580000305175781,0.4159999847412109,0.11949477344751358,Ayumu Seko,h,13742,SetPiece,2025,Head,29576,Le Havre,Lorient,1,1,2025-09-21 15:15:00,Thomas Delaine,Cross
649732,41,MissedShots,0.8109999847412109,0.46799999237060547,0.03683008998632431,Ayumu Seko,a,13742,SetPiece,2025,LeftFoot,29611,Auxerre,Le Havre,0,1,2025-10-26 15:15:00,Issa Soumaré,HeadPass
650192,5,SavedShot,0.7219999694824218,0.3160000038146973,0.013790098950266838,Ayumu Seko,h,13742,OpenPlay,2025,RightFoot,29619,Le Havre,Brest,1,0,2025-10-29 17:00:00,Simon Ebonog,Pass
651593,71,BlockedShot,0.7869999694824219,0.4520000076293945,0.03737635537981987,Ayumu Seko,a,13742,OpenPlay,2025,RightFoot,29636,Toulouse,Le Havre,0,0,2025-11-02 16:15:00,Abdoulaye Touré,Pass
652483,50,MissedShots,0.7380000305175781,0.644000015258789,0.013988224789500237,Ayumu Seko,h,13742,OpenPlay,2025,RightFoot,29638,Le Havre,Nantes,1,1,2025-11-08 18:00:00,,BallRecovery
654007,38,MissedShots,0.84,0.295,0.024948129430413246,Ayumu Seko,a,13742,FromCorner,2025,LeftFoot,29652,Paris Saint Germain,Le Havre,3,0,2025-11-22 20:05:00,Yanis Zouaoui,BallTouch
655835,17,SavedShot,0.884000015258789,0.44400001525878907,0.01378526072949171,Ayumu Seko,h,13742,SetPiece,2025,Head,29656,Le Havre,Lille,0,1,2025-11-30 16:15:00,Yanis Zouaoui,Aerial
658627,49,MissedShots,0.7919999694824219,0.32,0.02055525965988636,Ayumu Seko,a,13742,OpenPlay,2025,RightFoot,29679,Lyon,Le Havre,1,0,2025-12-14 14:00:00,Mbwana Samatta,Pass
661523,41,SavedShot,0.92,0.38,0.024795182049274445,Ayumu Seko,h,13742,FromCorner,2025,Head,29683,Le Havre,Angers,2,1,2026-01-04 16:15:00,Yanis Zouaoui,Cross
664218,31,SavedShot,0.9290000152587891,0.47400001525878904,0.353214293718338,Ayumu Seko,a,13742,FromCorner,2025,Head,29697,Rennes,Le Havre,1,1,2026-01-18 16:15:00,Rassoul Ndiaye,Cross
665819,53,MissedShots,0.9230000305175782,0.5259999847412109,0.05140044912695885,Ayumu Seko,a,13742,SetPiece,2025,Head,29710,Lens,Le Havre,1,0,2026-01-30 19:45:00,,Rebound
673174,8,MissedShots,0.7390000152587891,0.21,0.013278273865580559,Ayumu Seko,a,13742,OpenPlay,2025,RightFoot,29755,Brest,Le Havre,2,0,2026-03-08 16:15:00,Lucas Gourna Douath,Pass
676021,32,OwnGoal,0.049000000953674315,0.5079999923706054,0,Ayumu Seko,a,13742,FromCorner,2025,LeftFoot,29778,Paris FC,Le Havre,3,2,2026-03-22 16:15:00,,Clearance
679411,59,SavedShot,0.8040000152587891,0.525,0.045374639332294464,Ayumu Seko,a,13742,FromCorner,2025,RightFoot,29799,Angers,Le Havre,1,1,2026-04-18 17:00:00,Lucas Gourna Douath,Pass
679420,91,BlockedShot,0.764000015258789,0.46599998474121096,0.02185046300292015,Ayumu Seko,a,13742,SetPiece,2025,RightFoot,29799,Angers,Le Havre,1,1,2026-04-18 17:00:00,Timothee Pembele,Pass
679422,93,SavedShot,0.8680000305175781,0.35,0.023819519206881523,Ayumu Seko,a,13742,SetPiece,2025,Head,29799,Angers,Le Havre,1,1,2026-04-18 17:00:00,Yanis Zouaoui,Chipped
