id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
641332,71,SavedShot,0.9019999694824219,0.6040000152587891,0.03271147608757019,Igor Paixão,h,14010,SetPiece,2025,Head,29568,Marseille,Lorient,4,0,2025-09-12 18:45:00,Mason Greenwood,Cross
644056,47,MissedShots,0.7319999694824219,0.605999984741211,0.010923100635409355,Igor Paixão,h,14010,SetPiece,2025,RightFoot,29579,Marseille,Paris Saint Germain,1,0,2025-09-22 18:45:00,,None
644406,40,SavedShot,0.8490000152587891,0.27899999618530275,0.033225543797016144,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29590,Strasbourg,Marseille,1,2,2025-09-26 18:45:00,Amine Gouiri,Pass
644409,54,MissedShots,0.730999984741211,0.645,0.013479324989020824,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29590,Strasbourg,Marseille,1,2,2025-09-26 18:45:00,Naif Aguerd,BallRecovery
646232,24,BlockedShot,0.7859999847412109,0.754000015258789,0.017206542193889618,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29597,Metz,Marseille,0,3,2025-10-04 15:00:00,Pierre-Emile Højbjerg,TakeOn
646236,47,SavedShot,0.8530000305175781,0.5690000152587891,0.08978120982646942,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29597,Metz,Marseille,0,3,2025-10-04 15:00:00,Matt O&#039;Riley,Pass
646239,50,Goal,0.855,0.595,0.08776360750198364,Igor Paixão,a,14010,OpenPlay,2025,LeftFoot,29597,Metz,Marseille,0,3,2025-10-04 15:00:00,Robinio Vaz,Pass
647996,41,MissedShots,0.985,0.5970000076293945,0.032192960381507874,Igor Paixão,h,14010,OpenPlay,2025,Head,29604,Marseille,Le Havre,6,2,2025-10-18 19:05:00,Matt O&#039;Riley,Chipped
647997,45,BlockedShot,0.8959999847412109,0.7030000305175781,0.03804926574230194,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29604,Marseille,Le Havre,6,2,2025-10-18 19:05:00,Angel Gomes,Chipped
647998,47,MissedShots,0.8530000305175781,0.37200000762939456,0.06874395161867142,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29604,Marseille,Le Havre,6,2,2025-10-18 19:05:00,Mason Greenwood,Pass
648006,70,MissedShots,0.7709999847412109,0.6909999847412109,0.026745261624455452,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29604,Marseille,Le Havre,6,2,2025-10-18 19:05:00,Naif Aguerd,Pass
649274,4,BlockedShot,0.785,0.6619999694824219,0.025516241788864136,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29612,Lens,Marseille,2,1,2025-10-25 19:05:00,Amir Murillo,Pass
649280,38,BlockedShot,0.7730000305175782,0.525,0.03670947253704071,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29612,Lens,Marseille,2,1,2025-10-25 19:05:00,Emerson,Chipped
649282,45,BlockedShot,0.8440000152587891,0.6790000152587891,0.04180622100830078,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29612,Lens,Marseille,2,1,2025-10-25 19:05:00,Mason Greenwood,Pass
649292,79,BlockedShot,0.8980000305175782,0.73,0.025952717289328575,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29612,Lens,Marseille,2,1,2025-10-25 19:05:00,Mason Greenwood,Chipped
650368,22,SavedShot,0.889000015258789,0.6719999694824219,0.07925792038440704,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29620,Marseille,Angers,2,2,2025-10-29 19:05:00,Pierre-Emerick Aubameyang,Pass
650373,38,BlockedShot,0.874000015258789,0.6859999847412109,0.051312219351530075,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29620,Marseille,Angers,2,2,2025-10-29 19:05:00,Angel Gomes,Pass
651213,63,MissedShots,0.8209999847412109,0.669000015258789,0.030822915956377983,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29628,Auxerre,Marseille,0,1,2025-11-01 20:05:00,Ulisses García,TakeOn
652340,8,MissedShots,0.7119999694824218,0.6969999694824218,0.007152969483286142,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29641,Marseille,Brest,3,0,2025-11-08 16:00:00,Pierre-Emerick Aubameyang,TakeOn
652344,30,SavedShot,0.7680000305175781,0.6270000076293946,0.01767326146364212,Igor Paixão,h,14010,FromCorner,2025,RightFoot,29641,Marseille,Brest,3,0,2025-11-08 16:00:00,,None
653296,16,MissedShots,0.775,0.7040000152587891,0.027504174038767815,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29651,Nice,Marseille,1,5,2025-11-21 19:45:00,Emerson,Chipped
653306,48,SavedShot,0.885,0.4490000152587891,0.2683686912059784,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29651,Nice,Marseille,1,5,2025-11-21 19:45:00,Mason Greenwood,TakeOn
653315,73,Goal,0.9180000305175782,0.46,0.5701797008514404,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29651,Nice,Marseille,1,5,2025-11-21 19:45:00,Pierre-Emerick Aubameyang,Pass
655382,51,BlockedShot,0.8569999694824219,0.654000015258789,0.051053691655397415,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29659,Marseille,Toulouse,2,2,2025-11-29 20:05:00,Emerson,Pass
655394,65,Goal,0.885,0.4470000076293945,0.5541776418685913,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29659,Marseille,Toulouse,2,2,2025-11-29 20:05:00,Bilal Nadir,TakeOn
658918,58,SavedShot,0.8919999694824219,0.7,0.05368475615978241,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29678,Marseille,Monaco,1,0,2025-12-14 19:45:00,Matt O&#039;Riley,HeadPass
663973,70,MissedShots,0.9569999694824218,0.600999984741211,0.4369751811027527,Igor Paixão,a,14010,OpenPlay,2025,LeftFoot,29691,Angers,Marseille,2,5,2026-01-17 20:05:00,Pierre-Emile Højbjerg,Pass
663974,73,MissedShots,0.5429999923706055,0.5579999923706055,0.011700649745762348,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29691,Angers,Marseille,2,5,2026-01-17 20:05:00,,BallRecovery
663977,87,Goal,0.8980000305175782,0.36200000762939455,0.2651788294315338,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29691,Angers,Marseille,2,5,2026-01-17 20:05:00,Pierre-Emile Højbjerg,Pass
665093,80,MissedShots,0.8069999694824219,0.6940000152587891,0.025511430576443672,Igor Paixão,h,14010,OpenPlay,2025,RightFoot,29704,Marseille,Lens,3,1,2026-01-24 20:05:00,Darryl Bakola,Pass
666129,48,MissedShots,0.8819999694824219,0.6509999847412109,0.0822237879037857,Igor Paixão,a,14010,OpenPlay,2025,RightFoot,29715,Paris FC,Marseille,2,2,2026-01-31 16:00:00,Mason Greenwood,Pass
