goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.06393245607614517,48,FW,Girona,Mallorca,0,1,2026-05-01,29497,2025,786773,0,0,0,0,0.06393245607614517,0.06393245607614517,0
0,0,0,1,Sub,Elche,Mallorca,2,1,2026-03-21,29440,2025,778328,0,0,0,0,0,0,0
0,0,0,32,Sub,Mallorca,Espanyol,2,1,2026-03-15,29435,2025,777288,0,0,0,0,0,0.2677830457687378,0.2677830457687378
0,0,0,65,FWL,Strasbourg,Angers,5,0,2025-10-05,29600,2025,743349,0.16433833539485931,0,2,0,0,0.1085146814584732,0
0,1,0.016442036256194115,90,MR,Angers,Brest,0,2,2025-09-28,29583,2025,741504,0.018285827711224556,0,1,0,0.016442036256194115,0.12664178013801575,0.10835594683885574
0,0,0,64,FWL,Lyon,Angers,1,0,2025-09-19,29578,2025,738209,0,0,0,0,0,0,0
0,0,0,5,Sub,Metz,Angers,1,1,2025-09-14,29569,2025,737742,0.08435937762260437,0,1,0,0,0.08435937762260437,0
0,0,0,16,Sub,Angers,Toulouse,0,4,2025-03-02,28263,2024,710486,0,0,0,0,0,0,0
0,1,0.010736705735325813,5,Sub,Angers,Le Havre,1,1,2025-02-02,28224,2024,704143,0,0,0,0,0.010736705735325813,0.010736705735325813,0
0,0,0,83,DL,Marseille,Angers,3,1,2023-05-14,19991,2022,597490,0,0,0,0,0,0.022479858249425888,0.022479858249425888
0,0,0,72,DL,Angers,Monaco,1,2,2023-05-07,19980,2022,595163,0,0,0,0,0,0,0
0,0,0,90,DL,Rennes,Angers,4,2,2023-04-30,19975,2022,593056,0,0,0,0,0,0.46208247542381287,0.46208247542381287
0,0,0,90,DL,Angers,Paris Saint Germain,1,2,2023-04-21,19960,2022,589711,0.042200855910778046,0,1,0,0,0.5672816038131714,0.5250807404518127
0,1,0.012889999896287918,74,DL,Clermont Foot,Angers,2,1,2023-04-16,19950,2022,589089,0,0,0,0,0.012889999896287918,0.04611080139875412,0.04611080139875412
0,0,0,90,DL,Angers,Lille,1,0,2023-04-08,19939,2022,586932,0,0,0,0,0,0.027585599571466446,0.027585599571466446
0,1,0.03298269957304001,60,DL,Angers,Nice,1,1,2023-04-02,19930,2022,585390,0.10060200095176697,0,1,0,0.03298269957304001,0.18298499286174774,0.04939980059862137
