goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,63,DL,Lens,Paris Saint Germain,0,2,2026-05-13,29792,2025,790431,0,0,0,0,0,0.2642632722854614,0.2642632722854614
0,1,0.011608998291194439,90,DL,Paris Saint Germain,Brest,1,0,2026-05-10,29832,2025,789858,0.05060802772641182,1,1,0,0.011608998291194439,0.5062726736068726,0.4440556764602661
0,3,0.37222450971603394,90,DL,Paris Saint Germain,Lorient,2,2,2026-05-03,29824,2025,787626,0.1255590319633484,0,1,0,0.37222450971603394,0.7817417979240417,0.6561827659606934
0,0,0,49,DL,Angers,Paris Saint Germain,0,3,2026-04-25,29808,2025,785802,0,0,0,0,0,0.8419485092163086,0.8419485092163086
0,0,0,27,Sub,Paris Saint Germain,Nantes,3,0,2026-04-22,29769,2025,784620,0,0,0,0,0,0.05449509248137474,0.05449509248137474
0,0,0,90,DL,Paris Saint Germain,Lyon,1,2,2026-04-19,29806,2025,784144,0,0,0,0,0,0.2718421518802643,0.2718421518802643
0,0,0,90,DL,Paris Saint Germain,Toulouse,3,1,2026-04-03,29788,2025,779705,0,0,0,0,0,0.14748910069465637,0.14748910069465637
0,0,0,90,DL,Nice,Paris Saint Germain,0,4,2026-03-21,29777,2025,778907,0.055480048060417175,0,1,0,0,0.7847908735275269,0.7293108105659485
0,1,0.025657782331109047,90,DL,Le Havre,Paris Saint Germain,0,1,2026-02-28,29745,2025,773694,0.5528596639633179,0,3,0,0.025657782331109047,1.4575847387313843,0.9949043989181519
0,2,0.10121708363294601,90,DL,Paris Saint Germain,Metz,3,0,2026-02-21,29742,2025,771997,0.12807734310626984,1,1,0,0.10121708363294601,1.2523648738861084,1.124287486076355
0,0,0,12,Sub,Paris Saint Germain,Marseille,5,0,2026-02-08,29726,2025,769522,0,0,0,0,0,0,0
0,0,0,90,DL,Auxerre,Paris Saint Germain,0,1,2026-01-23,29700,2025,765246,0,0,0,0,0,0.6430007219314575,0.6430007219314575
0,0,0,5,Sub,Paris Saint Germain,Lille,3,0,2026-01-16,29696,2025,763828,0,0,0,0,0,0,0
0,0,0,7,Sub,Paris Saint Germain,Paris FC,2,1,2026-01-04,29689,2025,761905,0,0,0,0,0,0,0
0,0,0,90,DL,Metz,Paris Saint Germain,2,3,2025-12-13,29677,2025,757883,0,0,0,0,0,1.2827329635620117,1.2827329635620117
0,0,0,90,DL,Paris Saint Germain,Rennes,5,0,2025-12-06,29671,2025,756406,0.1529732197523117,1,2,0,0,1.3119796514511108,1.1590064764022827
0,1,0.040841244161129,90,DL,Monaco,Paris Saint Germain,1,0,2025-11-29,29661,2025,753770,0.03143269568681717,0,1,0,0.040841244161129,0.4476206302642822,0.41618794202804565
0,0,0,24,Sub,Paris Saint Germain,Le Havre,3,0,2025-11-22,29652,2025,752435,0,0,0,0,0,0.7231006026268005,0.7231006026268005
0,0,0,78,DL,Lyon,Paris Saint Germain,2,3,2025-11-09,29640,2025,751386,0.03175038844347,0,1,0,0,0.929146409034729,0.929146409034729
0,0,0,90,DL,Brest,Paris Saint Germain,0,3,2025-10-25,29613,2025,746010,0,0,0,0,0,0.9757077693939209,0.9757077693939209
0,0,0,90,DL,Paris Saint Germain,Strasbourg,3,3,2025-10-17,29608,2025,743700,0.10565083473920822,0,2,0,0,0.8567296266555786,0.7748411893844604
0,2,0.05464114993810654,69,DL,Lille,Paris Saint Germain,1,1,2025-10-05,29595,2025,743593,0.022094376385211945,0,1,0,0.05464114993810654,0.11209574341773987,0.03536021709442139
0,0,0,90,DL,Paris Saint Germain,Auxerre,2,0,2025-09-27,29588,2025,741098,0,0,0,0,0,0.07642809301614761,0.07642809301614761
0,0,0,90,DL,Paris Saint Germain,Lens,2,0,2025-09-14,29571,2025,737748,0.02381632849574089,0,1,0,0,0.12142424285411835,0.09760791808366776
0,1,0.034925177693367004,65,DL,Nantes,Paris Saint Germain,0,1,2025-08-17,29546,2025,732567,0,0,0,0,0.034925177693367004,0.0552927702665329,0.0552927702665329
0,0,0,90,DC,Montpellier,Paris Saint Germain,1,4,2025-05-10,28341,2024,726346,0,0,0,0,0,0.7381898760795593,0.7381898760795593
0,0,0,50,DC,Strasbourg,Paris Saint Germain,2,1,2025-05-03,28328,2024,724186,0,0,0,0,0,0.39091652631759644,0.39091652631759644
0,1,0.020540732890367508,90,DC,Paris Saint Germain,Le Havre,2,1,2025-04-19,28313,2024,720520,0.03986692056059837,0,1,0,0.020540732890367508,0.8514661192893982,0.8514661192893982
0,1,0.05254088714718819,90,DL,Paris Saint Germain,Angers,1,0,2025-04-05,28297,2024,716954,0,0,0,0,0.05254088714718819,0.3194003701210022,0.3194003701210022
0,0,0,90,DL,Saint-Etienne,Paris Saint Germain,1,6,2025-03-29,28287,2024,715077,0,0,0,0,0,0.23403464257717133,0.23403464257717133
0,0,0,9,Sub,Paris Saint Germain,Marseille,3,1,2025-03-16,28273,2024,714345,0,0,0,0,0,0.5131934881210327,0.5131934881210327
0,0,0,66,DL,Rennes,Paris Saint Germain,1,4,2025-03-08,28271,2024,711465,0,0,0,0,0,0.35231226682662964,0.35231226682662964
0,0,0,20,Sub,Lyon,Paris Saint Germain,2,3,2025-02-23,28254,2024,708897,0,0,0,0,0,0.39703047275543213,0.39703047275543213
0,1,0.0126095712184906,90,DL,Toulouse,Paris Saint Germain,0,1,2025-02-15,28237,2024,706596,0,0,0,0,0.0126095712184906,0.3045162558555603,0.2919066846370697
0,0,0,26,Sub,Paris Saint Germain,Monaco,4,1,2025-02-07,28233,2024,704632,0,0,0,0,0,1.12042236328125,1.12042236328125
0,0,0,21,Sub,Brest,Paris Saint Germain,2,5,2025-02-01,28220,2024,703505,0,0,0,0,0,0.03686157241463661,0.03686157241463661
0,0,0,61,DC,Paris Saint Germain,Reims,1,1,2025-01-25,28216,2024,701832,0,0,0,0,0,0.5527450442314148,0.5527450442314148
0,0,0,61,DC,Lens,Paris Saint Germain,1,2,2025-01-18,28202,2024,700131,0,0,0,0,0,0.34774380922317505,0.34774380922317505
