id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
640888,27,MissedShots,0.895,0.4490000152587891,0.047327637672424316,Otávio,h,13871,FromCorner,2025,Head,29562,Paris FC,Metz,3,2,2025-08-31 15:15:00,Ilan Kebbal,Cross
645798,14,MissedShots,0.5470000076293945,0.6780000305175782,0.00635862210765481,Otávio,h,13871,OpenPlay,2025,LeftFoot,29599,Paris FC,Lorient,2,0,2025-10-03 18:45:00,Maxime Lopez,Pass
648665,88,MissedShots,0.6940000152587891,0.615,0.015443505719304085,Otávio,h,13871,SetPiece,2025,LeftFoot,29614,Paris FC,Nantes,1,2,2025-10-24 18:45:00,Maxime Lopez,Pass
650393,55,MissedShots,0.9119999694824219,0.43599998474121093,0.02072441764175892,Otávio,h,13871,FromCorner,2025,Head,29622,Paris FC,Lyon,3,3,2025-10-29 19:05:00,Maxime Lopez,Aerial
650399,75,BlockedShot,0.730999984741211,0.6930000305175781,0.007193714380264282,Otávio,h,13871,OpenPlay,2025,LeftFoot,29622,Paris FC,Lyon,3,3,2025-10-29 19:05:00,Ilan Kebbal,Chipped
651981,72,BlockedShot,0.8440000152587891,0.4759999847412109,0.02578180655837059,Otávio,h,13871,FromCorner,2025,LeftFoot,29644,Paris FC,Rennes,0,1,2025-11-07 19:45:00,,Aerial
655299,87,BlockedShot,0.9019999694824219,0.39799999237060546,0.014016816392540932,Otávio,h,13871,FromCorner,2025,Head,29662,Paris FC,Auxerre,1,1,2025-11-29 18:00:00,Ilan Kebbal,Aerial
665413,77,MissedShots,0.754000015258789,0.7140000152587891,0.015103703364729881,Otávio,h,13871,OpenPlay,2025,LeftFoot,29707,Paris FC,Angers,0,0,2026-01-25 16:15:00,Luca Koleosho,Pass
666116,8,SavedShot,0.860999984741211,0.6079999923706054,0.030476560816168785,Otávio,h,13871,FromCorner,2025,Head,29715,Paris FC,Marseille,2,2,2026-01-31 16:00:00,,None
668945,15,BlockedShot,0.7,0.7180000305175781,0.012553512118756771,Otávio,h,13871,OpenPlay,2025,LeftFoot,29734,Paris FC,Lens,0,5,2026-02-14 20:05:00,Ilan Kebbal,Pass
668953,50,SavedShot,0.7469999694824219,0.7480000305175781,0.007672163192182779,Otávio,h,13871,OpenPlay,2025,LeftFoot,29734,Paris FC,Lens,0,5,2026-02-14 20:05:00,,None
679704,68,Goal,0.9209999847412109,0.5509999847412109,0.3763324022293091,Otávio,a,13871,SetPiece,2025,RightFoot,29803,Metz,Paris FC,1,3,2026-04-19 15:15:00,Ciro Immobile,Chipped
