goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,88,AMC,Le Havre,Marseille,0,1,2026-05-10,29828,2025,789784,0,0,0,0,0,0.03017149120569229,0.03017149120569229
0,0,0,48,AMC,Nantes,Marseille,3,0,2026-05-03,29821,2025,787737,0,0,0,0,0,0,0
0,0,0,83,AMC,Marseille,Nice,1,1,2026-04-26,29813,2025,786417,0.05075664445757866,0,1,0,0,0.4208187460899353,0.4208187460899353
0,1,0.1052073985338211,85,MC,Marseille,Metz,3,1,2026-04-10,29794,2025,781313,0,0,0,0,0.1052073985338211,0.518160879611969,0.518160879611969
0,3,0.05588957294821739,90,MC,Monaco,Marseille,2,1,2026-04-05,29787,2025,780889,0.04292150214314461,0,1,0,0.05588957294821739,0.1321742981672287,0.06511334329843521
0,1,0.04834524542093277,90,AMC,Marseille,Lille,1,2,2026-03-22,29775,2025,779430,0.016526587307453156,0,1,0,0.04834524542093277,0.5365113019943237,0.5199847221374512
0,0,0,90,AMC,Marseille,Auxerre,1,0,2026-03-13,29766,2025,776415,0.06588948518037796,0,2,0,0,0.18938776850700378,0.1442195177078247
0,0,0,84,AMC,Toulouse,Marseille,0,1,2026-03-07,29762,2025,775562,0,0,0,0,0,0.14345864951610565,0.14345864951610565
0,1,0.01732568070292473,54,AMC,Marseille,Lyon,3,2,2026-03-01,29748,2025,774301,0.1764601618051529,0,2,0,0.01732568070292473,0.19378584623336792,0
0,2,0.1291801780462265,80,MC,Brest,Marseille,2,0,2026-02-20,29738,2025,771334,0,0,0,0,0.1291801780462265,0.16066507995128632,0.08897488564252853
0,1,0.6948176622390747,90,DMC,Marseille,Strasbourg,2,2,2026-02-14,29731,2025,770409,0.10745951533317566,0,1,0,0.6948176622390747,0.9168739318847656,0.8094144463539124
0,1,0.08412803709506989,90,MC,Paris Saint Germain,Marseille,5,0,2026-02-08,29726,2025,769535,0,0,0,0,0.08412803709506989,0.15880043804645538,0.0746724009513855
0,0,0,82,MC,Paris FC,Marseille,2,2,2026-01-31,29715,2025,767248,0,0,0,0,0,0.1722538024187088,0.1722538024187088
0,0,0,76,MC,Marseille,Lens,3,1,2026-01-24,29704,2025,765967,0,0,0,0,0,0.1399584412574768,0.1399584412574768
