goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.14746592938899994,90,MC,Angers,Lyon,0,0,2026-04-05,29781,2025,780509,0,0,0,0,0.14746592938899994,0.14746592938899994,0
0,2,0.05675593391060829,90,AMR,Lens,Angers,5,1,2026-03-20,29773,2025,778138,0.023511173203587532,0,1,0,0.05675593391060829,0.16252747178077698,0.0822603702545166
0,0,0,14,MC,Nantes,Angers,0,1,2026-03-07,29759,2025,775309,0,0,0,0,0,0,0
0,2,0.4004887044429779,84,MC,Monaco,Angers,2,0,2026-02-28,29750,2025,773570,0,0,0,0,0.4004887044429779,0.48123568296432495,0.08074697852134705
0,1,0.024822430685162544,90,AMR,Angers,Lille,0,1,2026-02-22,29736,2025,772309,0,0,0,0,0.024822430685162544,0.11316823959350586,0.08834581077098846
0,1,0.04437787085771561,70,AMR,Lorient,Angers,2,0,2026-02-15,29729,2025,770898,0.06196611374616623,0,1,0,0.04437787085771561,0.10634398460388184,0
0,2,0.0704583153128624,90,DMC,Angers,Toulouse,1,0,2026-02-08,29718,2025,769275,0,0,0,0,0.0704583153128624,0.13115274906158447,0.06069442257285118
0,1,0.023952119052410126,90,AMR,Angers,Metz,1,0,2026-02-01,29709,2025,767818,0.018537577241659164,0,1,0,0.023952119052410126,0.6420337557792664,0.5995440483093262
0,1,0.01146251056343317,88,DMC,Paris FC,Angers,0,0,2026-01-25,29707,2025,766384,0,0,0,0,0.01146251056343317,0.06455966085195541,0.05309715121984482
0,1,0.03335125371813774,90,AMR,Angers,Marseille,2,5,2026-01-17,29691,2025,764586,0,0,0,0,0.03335125371813774,0.03335125371813774,0
0,1,0.08026393502950668,90,AMR,Le Havre,Angers,2,1,2026-01-04,29683,2025,761734,0.08853232115507126,0,1,0,0.08026393502950668,0.24923008680343628,0.168966144323349
0,5,0.5313950181007385,85,AMR,Angers,Nantes,4,1,2025-12-12,29673,2025,757308,0.15022611618041992,0,1,0,0.5313950181007385,0.7031258344650269,0.02150467410683632
1,3,0.47654229402542114,85,AMR,Nice,Angers,0,1,2025-12-07,29670,2025,756646,0.02576858550310135,0,1,1,0.47654229402542114,0.936864972114563,0.4345541000366211
0,1,0.05152864381670952,74,AMR,Angers,Lens,1,2,2025-11-30,29655,2025,754683,0,0,0,0,0.05152864381670952,0,0
1,3,0.11944244801998138,90,AMR,Toulouse,Angers,0,1,2025-11-23,29654,2025,752845,0.011417028494179249,0,1,1,0.11944244801998138,0.13085947930812836,0
0,0,0,65,AMR,Angers,Auxerre,2,0,2025-11-09,29637,2025,751096,0,0,0,0,0,0,0
0,0,0,25,Sub,Lille,Angers,1,0,2025-11-02,29631,2025,749199,0,0,0,0,0,0,0
0,0,0,71,AMR,Marseille,Angers,2,2,2025-10-29,29620,2025,747701,0.08103201538324356,0,1,0,0,0.08103201538324356,0
0,0,0,90,AMR,Angers,Lorient,2,0,2025-10-26,29610,2025,746847,0.29723837971687317,1,1,0,0,0.6439523696899414,0.34671398997306824
0,2,0.09253987669944763,90,AMR,Angers,Monaco,1,1,2025-10-18,29601,2025,744529,0,0,0,0,0.09253987669944763,0.8793079257011414,0.8172540068626404
