goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Juventus,Sampdoria,5,0,2016-05-14,921,2015,114320,0,0,0,0,0,0.012842499651014805,0.012842499651014805
0,1,0.03550190106034279,90,DC,Sampdoria,Genoa,0,3,2016-05-08,914,2015,113580,0,0,0,0,0.03550190106034279,0.10030999779701233,0.10030999779701233
0,0,0,90,DC,Sampdoria,Lazio,2,1,2016-04-24,894,2015,112522,0,0,0,0,0,0.2403549998998642,0.2403549998998642
0,0,0,90,DC,Sassuolo,Sampdoria,0,0,2016-04-20,882,2015,112089,0,0,0,0,0,0,0
0,0,0,90,DC,Sampdoria,AC Milan,0,1,2016-04-17,880,2015,111409,0,0,0,0,0,0.01599930040538311,0.01599930040538311
0,0,0,90,DC,Sampdoria,Udinese,2,0,2016-04-10,868,2015,110991,0,0,0,0,0,0.1331550031900406,0.1331550031900406
0,0,0,90,DC,Fiorentina,Sampdoria,1,1,2016-04-03,856,2015,110390,0,0,0,0,0,0.055395498871803284,0.055395498871803284
0,0,0,24,Sub,Sampdoria,Torino,2,2,2016-02-03,778,2015,106344,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Napoli,1,5,2016-01-10,737,2015,113914,0,0,0,0,0,0.09622889757156372,0.09622889757156372
0,0,0,90,DC,Sassuolo,Frosinone,2,2,2016-01-06,724,2015,113483,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,AC Milan,2,4,2015-12-20,718,2015,112800,0,0,0,0,0,0,0
0,1,0.5462520122528076,90,DC,Palermo,Frosinone,4,1,2015-12-12,702,2015,112341,0,0,0,0,0.5462520122528076,0.3565320074558258,0.3565320074558258
0,0,0,90,DC,Frosinone,Chievo,0,2,2015-12-06,697,2015,111684,0,0,0,0,0,0.3170959949493408,0.3170959949493408
0,0,0,90,DC,Frosinone,Verona,3,2,2015-11-29,684,2015,111075,0.09319350123405457,0,2,0,0,0.1101209968328476,0.09162279963493347
0,1,0.11035700142383575,90,DC,Inter,Frosinone,4,0,2015-11-22,680,2015,110643,0.010921199806034565,0,1,0,0.11035700142383575,0.010921199806034565,0
1,1,0.625872015953064,90,DC,Frosinone,Genoa,2,2,2015-11-08,668,2015,109929,0,0,0,1,0.625872015953064,0.015623699873685837,0.015623699873685837
0,0,0,90,DC,Fiorentina,Frosinone,4,1,2015-11-01,653,2015,109442,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Carpi,2,1,2015-10-28,642,2015,108841,0,0,0,0,0,0.033195801079273224,0.033195801079273224
0,0,0,90,DC,Udinese,Frosinone,1,0,2015-10-25,635,2015,108492,0,0,0,0,0,0.039099499583244324,0.039099499583244324
0,0,0,90,DC,Frosinone,Sampdoria,2,0,2015-10-18,624,2015,107726,0,0,0,0,0,0.35829898715019226,0.35829898715019226
0,0,0,90,DC,Frosinone,Empoli,2,0,2015-09-28,609,2015,106641,0,0,0,0,0,0.40802499651908875,0.40802499651908875
0,1,0.05833259969949722,90,DC,Juventus,Frosinone,1,1,2015-09-23,599,2015,106544,0,0,0,0,0.05833259969949722,0.02408739924430847,0.02408739924430847
0,1,0.6489030122756958,90,DC,Bologna,Frosinone,1,0,2015-09-20,588,2015,105734,0,0,0,0,0.6489030122756958,0.06458509713411331,0.06458509713411331
0,1,0.014231099747121334,90,DC,Frosinone,Roma,0,2,2015-09-12,572,2015,104382,0,0,0,0,0.014231099747121334,0.014786100015044212,0.014786100015044212
0,0,0,90,DC,Atalanta,Frosinone,2,0,2015-08-30,570,2015,104060,0,0,0,0,0,0.04992369934916496,0.04992369934916496
0,1,0.09418120235204697,90,DC,Frosinone,Torino,1,2,2015-08-23,560,2015,103825,0.009477740153670311,0,1,0,0.09418120235204697,0.054879799485206604,0.04540200158953667
0,0,0,90,DC,Cagliari,Udinese,4,3,2015-05-31,4821,2014,56496,0,0,0,0,0,0.12077099829912186,0.12077099829912186
0,1,0.014528200030326843,90,DC,Cagliari,Palermo,0,1,2015-05-17,4802,2014,55966,0,0,0,0,0.014528200030326843,0.09082580357789993,0.07629760354757309
0,0,0,17,Sub,Juventus,Cagliari,1,1,2015-05-09,4789,2014,56073,0,0,0,0,0,0.4676389992237091,0.4676389992237091
0,0,0,90,DC,Chievo,Cagliari,1,0,2015-04-29,4876,2014,55674,0,0,0,0,0,0.13002899289131165,0.13002899289131165
0,1,0.05290060117840767,90,DC,Fiorentina,Cagliari,1,3,2015-04-26,4869,2014,55143,0,0,0,0,0.05290060117840767,0.14592400193214417,0.14592400193214417
0,0,0,70,DC,Cagliari,Lazio,1,3,2015-04-04,4831,2014,53651,0,0,0,0,0,0,0
0,0,0,90,DC,AC Milan,Cagliari,3,1,2015-03-21,4910,2014,54532,0,0,0,0,0,0.08830709755420685,0.08830709755420685
0,0,0,90,DC,Cagliari,Empoli,1,1,2015-03-14,4900,2014,54015,0,0,0,0,0,0,0
0,1,0.02897769957780838,90,DC,Cagliari,Verona,1,2,2015-03-01,4881,2014,52928,0,0,0,0,0.02897769957780838,0.1289989948272705,0.10002099722623825
0,0,0,90,DC,Atletico Madrid,Deportivo La Coruna,2,0,2014-11-30,5750,2014,39862,0,0,0,0,0,0,0
0,0,0,90,DC,Deportivo La Coruna,Real Madrid,2,8,2014-09-20,5797,2014,37206,0,0,0,0,0,0,0
