goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.007238660007715225,86,MC,Lazio,Fiorentina,2,4,2016-05-15,929,2015,114171,0,0,0,0,0.007238660007715225,0.12206199765205383,0.11482399702072144
0,0,0,38,Sub,Carpi,Lazio,1,3,2016-05-08,918,2015,113660,0.10923700034618378,1,1,0,0,0.17409799993038177,0.17409799993038177
0,0,0,90,MC,Lazio,Inter,2,0,2016-05-01,908,2015,113138,0,0,0,0,0,0.06693650037050247,0.06693650037050247
0,1,0.0130238002166152,90,MC,Sampdoria,Lazio,2,1,2016-04-24,894,2015,112541,0.1218630000948906,0,3,0,0.0130238002166152,0.5111150145530701,0.5111150145530701
0,1,0.01200109999626875,90,MC,Juventus,Lazio,3,0,2016-04-20,889,2015,112067,0.026616400107741356,0,1,0,0.01200109999626875,0.059395600110292435,0.020778099074959755
1,2,0.5142350196838379,90,MC,Lazio,Empoli,2,0,2016-04-17,879,2015,111330,0.05673860013484955,0,1,1,0.5142350196838379,0.8269640207290649,0.31272900104522705
0,2,0.12804800271987915,90,MC,Palermo,Lazio,0,3,2016-04-10,869,2015,110982,0.5746139883995056,0,2,0,0.12804800271987915,0.8908690214157104,0.7743949890136719
0,1,0.008552979677915573,83,DMC,Lazio,Atalanta,2,0,2016-03-13,839,2015,109069,0,0,0,0,0.008552979677915573,0.3564540147781372,0.3564540147781372
0,1,0.011987799778580666,90,MC,Lazio,Napoli,0,2,2016-02-03,777,2015,106284,0,0,0,0,0.011987799778580666,0.06863310188055038,0.05664530023932457
0,0,0,90,MC,Lazio,Carpi,0,0,2016-01-06,726,2015,113361,0.016259700059890747,0,1,0,0,0.08160249888896942,0.08160249888896942
0,0,0,47,DMC,Lazio,AC Milan,1,3,2015-11-01,658,2015,109544,0,0,0,0,0,0.03782790154218674,0.03782790154218674
0,1,0.01481849979609251,81,DMC,Atalanta,Lazio,2,1,2015-10-28,647,2015,108804,0.049230899661779404,0,2,0,0.01481849979609251,0.049230899661779404,0
0,0,0,90,DMC,Lazio,Torino,3,0,2015-10-25,638,2015,108370,0,0,0,0,0,0.3749600052833557,0.3749600052833557
0,0,0,47,DMC,Sassuolo,Lazio,2,1,2015-10-18,627,2015,107911,0,0,0,0,0,0.04968760162591934,0.04968760162591934
0,2,0.026242399588227272,90,DMC,Napoli,Lazio,5,0,2015-09-20,590,2015,106017,0,0,0,0,0.026242399588227272,0.04571070149540901,0.03154290094971657
1,1,0.5423089861869812,4,Sub,Napoli,Lazio,2,4,2015-05-31,4824,2014,56047,0,0,0,1,0.5423089861869812,0.5423089861869812,0
0,1,0.14102700352668762,88,DMC,Lazio,Chievo,1,1,2015-04-26,4867,2014,56444,0.15064600110054016,0,2,0,0.14102700352668762,0.8410530090332031,0.5493810176849365
0,1,0.023294800892472267,33,Sub,Torino,Lazio,0,2,2015-03-16,4906,2014,54150,0.012629400007426739,0,1,0,0.023294800892472267,0.3530069887638092,0.3403779864311218
0,0,0,9,Sub,Lazio,Fiorentina,4,0,2015-03-09,4897,2014,53494,0,0,0,0,0,0.158392995595932,0.158392995595932
0,0,0,9,Sub,Lazio,Palermo,2,1,2015-02-22,4950,2014,53410,0,0,0,0,0,0,0
0,1,0.034092698246240616,46,MC,Udinese,Lazio,0,1,2015-02-15,4944,2014,52919,0.09397230297327042,0,1,0,0.034092698246240616,0.12806500494480133,0.09397230297327042
0,1,0.016826000064611435,24,Sub,Roma,Lazio,2,2,2015-01-11,4974,2014,50900,0,0,0,0,0.016826000064611435,0,0
0,0,0,38,Sub,Lazio,Sampdoria,3,0,2015-01-05,4957,2014,51383,0.11787600070238113,0,2,0,0,0.11787600070238113,0
0,0,0,25,Sub,Inter,Lazio,2,2,2014-12-21,5029,2014,50814,0,0,0,0,0,0.016369599848985672,0.016369599848985672
0,0,0,11,Sub,Lazio,Cagliari,4,2,2014-11-03,5039,2014,49102,0,0,0,0,0,0.6180199980735779,0.6180199980735779
0,0,0,60,MC,Verona,Lazio,1,1,2014-10-30,5108,2014,48860,0,0,0,0,0,0.009856079705059528,0.009856079705059528
0,0,0,7,Sub,Lazio,Torino,2,1,2014-10-26,5096,2014,48574,0,0,0,0,0,0,0
0,0,0,30,Sub,Fiorentina,Lazio,0,2,2014-10-19,5081,2014,48254,0,0,0,0,0,0,0
0,1,0.013532400131225586,90,DMC,Lazio,Sassuolo,3,2,2014-10-05,5075,2014,48009,0.020235300064086914,1,1,0,0.013532400131225586,0.17786000669002533,0.1576250046491623
0,1,0.017218200489878654,90,DMC,Palermo,Lazio,0,4,2014-09-29,5148,2014,47771,0.024483399465680122,0,1,0,0.017218200489878654,0.4825670123100281,0.4653489887714386
0,2,0.03312389925122261,90,MC,Lazio,Udinese,0,1,2014-09-25,5138,2014,47506,0.08269529789686203,0,2,0,0.03312389925122261,0.3218730092048645,0.28874900937080383
