id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
42293,16,SavedShot,0.8630000305175781,0.5929999923706055,0.12589499354362488,Rodrigo Palacio,h,1518,OpenPlay,2014,LeftFoot,5132,Inter,Atalanta,2,0,2014-09-24 19:45:00,Mateo Kovacic,Throughball
42296,29,SavedShot,0.885,0.5,0.7612990140914917,Rodrigo Palacio,h,1518,Penalty,2014,RightFoot,5132,Inter,Atalanta,2,0,2014-09-24 19:45:00,,Standard
42304,48,SavedShot,0.8819999694824219,0.5109999847412109,0.05049619823694229,Rodrigo Palacio,h,1518,SetPiece,2014,Head,5132,Inter,Atalanta,2,0,2014-09-24 19:45:00,Fredy Guarín,Chipped
42306,53,ShotOnPost,0.9119999694824219,0.315,0.07961010187864304,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5132,Inter,Atalanta,2,0,2014-09-24 19:45:00,Pablo Daniel Osvaldo,Pass
42536,10,SavedShot,0.8730000305175781,0.3340000152587891,0.24268299341201782,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5145,Inter,Cagliari,1,4,2014-09-28 14:00:00,Yuto Nagatomo,Chipped
42550,56,SavedShot,0.8719999694824219,0.49900001525878906,0.06093820184469223,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5145,Inter,Cagliari,1,4,2014-09-28 14:00:00,Danilo D&#039;Ambrosio,Cross
42554,63,BlockedShot,0.8919999694824219,0.475,0.04850649833679199,Rodrigo Palacio,h,1518,FromCorner,2014,Head,5145,Inter,Cagliari,1,4,2014-09-28 14:00:00,Fredy Guarín,Cross
42761,74,MissedShots,0.9269999694824219,0.6580000305175782,0.08260460197925568,Rodrigo Palacio,a,1518,OpenPlay,2014,LeftFoot,5077,Fiorentina,Inter,3,0,2014-10-05 19:45:00,Mauro Icardi,Throughball
43134,34,BlockedShot,0.889000015258789,0.38599998474121094,0.07381860166788101,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5087,Inter,Napoli,2,2,2014-10-19 19:45:00,,None
43268,61,BlockedShot,0.7769999694824219,0.37900001525878907,0.034962501376867294,Rodrigo Palacio,a,1518,OpenPlay,2014,RightFoot,5097,Cesena,Inter,0,1,2014-10-26 17:00:00,Hernanes,Pass
43276,78,SavedShot,0.8440000152587891,0.5129999923706055,0.13811799883842468,Rodrigo Palacio,a,1518,OpenPlay,2014,LeftFoot,5097,Cesena,Inter,0,1,2014-10-26 17:00:00,Mateo Kovacic,Throughball
43281,91,SavedShot,0.8,0.35,0.030228199437260628,Rodrigo Palacio,a,1518,OpenPlay,2014,RightFoot,5097,Cesena,Inter,0,1,2014-10-26 17:00:00,,Rebound
43658,11,SavedShot,0.855,0.46,0.31248700618743896,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5101,Inter,Sampdoria,1,0,2014-10-29 19:45:00,Hernanes,Pass
43670,48,MissedShots,0.925,0.5790000152587891,0.1363310068845749,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5101,Inter,Sampdoria,1,0,2014-10-29 19:45:00,Mateo Kovacic,TakeOn
43673,59,BlockedShot,0.87,0.64,0.07290499657392502,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5101,Inter,Sampdoria,1,0,2014-10-29 19:45:00,Dodô,Pass
43675,68,BlockedShot,0.9390000152587891,0.3170000076293945,0.05060749873518944,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5101,Inter,Sampdoria,1,0,2014-10-29 19:45:00,Zdravko Kuzmanovic,Chipped
43677,78,MissedShots,0.86,0.544000015258789,0.3646849989891052,Rodrigo Palacio,h,1518,OpenPlay,2014,LeftFoot,5101,Inter,Sampdoria,1,0,2014-10-29 19:45:00,Mateo Kovacic,Throughball
43954,67,MissedShots,0.91,0.4370000076293945,0.14484600722789764,Rodrigo Palacio,a,1518,OpenPlay,2014,LeftFoot,5032,Parma,Inter,2,0,2014-11-01 19:45:00,Mauro Icardi,Pass
44756,78,MissedShots,0.915,0.49400001525878906,0.04740529879927635,Rodrigo Palacio,a,1518,OpenPlay,2014,Head,5068,Roma,Inter,4,2,2014-11-30 19:45:00,Hugo Campagnaro,Aerial
44943,21,BlockedShot,0.9519999694824218,0.4279999923706055,0.1058730036020279,Rodrigo Palacio,h,1518,OpenPlay,2014,RightFoot,5007,Inter,Udinese,1,2,2014-12-07 19:45:00,,None
45447,62,MissedShots,0.909000015258789,0.6609999847412109,0.038304101675748825,Rodrigo Palacio,h,1518,OpenPlay,2014,LeftFoot,5029,Inter,Lazio,2,2,2014-12-21 19:45:00,Yuto Nagatomo,Cross
