goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,48,DC,Atalanta,Verona,3,2,2019-12-07,13229,2019,368177,0,0,0,0,0,0,0
0,0,0,90,DC,Verona,Roma,1,3,2019-12-01,13223,2019,367168,0,0,0,0,0,0.31926700472831726,0.31926700472831726
0,0,0,83,DC,Verona,Fiorentina,1,0,2019-11-24,13211,2019,365378,0,0,0,0,0,0.3439449965953827,0.3439449965953827
0,0,0,10,Sub,Lecce,Verona,0,1,2019-09-01,13103,2019,348425,0,0,0,0,0,0.3973889946937561,0.3973889946937561
0,0,0,75,Sub,Verona,Bologna,1,1,2019-08-25,13092,2019,344909,0,0,0,0,0,0,0
0,0,0,90,DC,Spartak Moscow,Rubin Kazan,1,1,2019-04-29,9149,2018,329736,0,0,0,0,0,0.11928500235080719,0.11928500235080719
0,0,0,90,DC,FC Rostov,Spartak Moscow,2,1,2019-04-14,9122,2018,325052,0.09311570227146149,0,1,0,0,0.6166239976882935,0.5235090255737305
0,0,0,90,DC,FK Akhmat,Spartak Moscow,1,3,2019-03-30,9109,2018,318931,0,0,0,0,0,0.43233999609947205,0.43233999609947205
0,0,0,90,DC,Spartak Moscow,FC Krasnodar,1,1,2019-03-03,9087,2018,302770,0,0,0,0,0,0.32092800736427307,0.32092800736427307
0,0,0,7,Sub,FC Ufa,Spartak Moscow,2,0,2018-11-11,9052,2018,266734,0,0,0,0,0,0,0
0,1,0.019291600212454796,90,MC,Spartak Moscow,Ural,1,2,2018-11-04,9046,2018,264832,0,0,0,0,0.019291600212454796,0.24102599918842316,0.22173400223255157
0,0,0,90,MC,Rubin Kazan,Spartak Moscow,1,1,2018-10-29,9037,2018,264599,0,0,0,0,0,0,0
0,2,0.4881089925765991,90,DC,Spartak Moscow,Arsenal Tula,2,3,2018-10-21,9028,2018,264993,0,0,0,0,0.4881089925765991,0.6404910087585449,0.6404910087585449
0,1,0.010570299811661243,90,DC,FC Yenisey Krasnoyarsk,Spartak Moscow,2,3,2018-10-07,9019,2018,256677,0,0,0,0,0.010570299811661243,0.039384301751852036,0.028813999146223068
0,2,0.04181849956512451,90,DC,Spartak Moscow,FC Rostov,0,1,2018-09-30,9015,2018,256416,0,0,0,0,0.04181849956512451,0.027495700865983963,0.027495700865983963
0,0,0,90,DC,CSKA Moscow,Spartak Moscow,1,1,2018-09-23,9006,2018,252595,0.07390639930963516,0,1,0,0,0,0
0,1,0.07209719717502594,90,DC,Spartak Moscow,FK Akhmat,1,2,2018-09-16,8998,2018,252802,0,0,0,0,0.07209719717502594,0.13530799746513367,0.13530799746513367
0,0,0,90,DC,Zenit St. Petersburg,Spartak Moscow,0,0,2018-09-02,8991,2018,248258,0,0,0,0,0,0.03926260024309158,0.03926260024309158
0,0,0,90,DC,Lokomotiv Moscow,Spartak Moscow,0,0,2018-08-04,8956,2018,244218,0,0,0,0,0,0.2692449986934662,0.2692449986934662
0,0,0,90,DC,Spartak Moscow,FC Orenburg,1,0,2018-07-28,8946,2018,244039,0,0,0,0,0,0.21945199370384216,0.21945199370384216
1,2,0.033770401030778885,90,DC,Amkar,Spartak Moscow,0,2,2018-04-29,6687,2017,236312,0,0,0,1,0.033770401030778885,0.011417499743402004,0
0,2,0.181428000330925,90,DC,Spartak Moscow,FK Akhmat,1,3,2018-04-23,6682,2017,235296,0,0,0,0,0.181428000330925,0.9278640151023865,0.9278640151023865
0,0,0,90,DC,Arsenal Tula,Spartak Moscow,0,1,2017-12-01,6616,2017,175175,0,0,0,0,0,0.08978539705276489,0.08978539705276489
0,0,0,90,DC,Spartak Moscow,Zenit St. Petersburg,3,1,2017-11-27,6608,2017,174587,0,0,0,0,0,0.3989790081977844,0.3989790081977844
