goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,25,Sub,Mallorca,Real Valladolid,1,0,2023-01-07,19114,2022,567752,0,0,0,0,0,0.014520400203764439,0.014520400203764439
0,0,0,90,DC,Athletic Club,Real Valladolid,3,0,2022-11-08,19092,2022,563254,0.09833239763975143,0,1,0,0,0.10924600064754486,0.010913999751210213
0,0,0,47,DC,Osasuna,Real Valladolid,2,0,2022-10-30,19074,2022,560637,0,0,0,0,0,0.007972010411322117,0.007972010411322117
0,1,0.10375799983739853,18,Sub,Real Valladolid,Real Sociedad,1,0,2022-10-22,19070,2022,558305,0,0,0,0,0.10375799983739853,0,0
0,0,0,90,DC,Real Valladolid,Celta Vigo,4,1,2022-10-19,19059,2022,557399,0,0,0,0,0,0,0
0,0,0,48,DC,Espanyol,Real Valladolid,1,0,2022-10-16,19045,2022,556951,0,0,0,0,0,0,0
0,0,0,5,Sub,Real Valladolid,Real Betis,0,0,2022-10-09,19041,2022,554594,0.04335499927401543,0,1,0,0,0.05767359957098961,0.05767359957098961
0,0,0,41,Sub,Getafe,Real Valladolid,2,3,2022-10-01,19022,2022,552447,0,0,0,0,0,0.13902699947357178,0.13902699947357178
0,0,0,90,DC,Real Betis,Alaves,1,2,2020-07-16,12384,2019,409362,0,0,0,0,0,0.20606400072574615,0.20606400072574615
0,1,0.021912699565291405,90,DC,Real Betis,Osasuna,3,0,2020-07-08,12365,2019,406718,0.44407299160957336,1,1,0,0.021912699565291405,0.6008809804916382,0.156809002161026
1,4,0.4092620015144348,90,DC,Celta Vigo,Real Betis,1,1,2020-07-04,12355,2019,405204,0.015179700218141079,0,1,1,0.4092620015144348,0.02600730024278164,0
0,1,0.0345815010368824,90,DC,Levante,Real Betis,4,2,2020-06-28,12339,2019,403573,0.09889379888772964,1,2,0,0.0345815010368824,0.3341769874095917,0.2352830022573471
0,1,0.10272900015115738,90,DC,Real Betis,Espanyol,1,0,2020-06-25,12325,2019,402759,0,0,0,0,0.10272900015115738,0.2112630009651184,0.2112630009651184
0,0,0,90,DC,Real Betis,Granada,2,2,2020-06-15,12306,2019,400049,0.022981299087405205,0,1,0,0,0.061817899346351624,0.061817899346351624
0,0,0,42,Sub,Sevilla,Real Betis,2,0,2020-06-11,12301,2019,399450,0,0,0,0,0,0.0572504997253418,0.0572504997253418
0,0,0,82,DC,Alaves,Real Betis,1,1,2020-01-05,12203,2019,388184,0,0,0,0,0,0.3952000141143799,0.3952000141143799
