id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
93382,75,MissedShots,0.764000015258789,0.7169999694824218,0.012279899790883064,Aleksandar Tonev,a,1359,OpenPlay,2015,LeftFoot,570,Atalanta,Frosinone,2,0,2015-08-30 22:45:00,Massimiliano Carlini,Pass
93671,1,MissedShots,0.7659999847412109,0.6020000076293945,0.02221200056374073,Aleksandar Tonev,h,1359,OpenPlay,2015,LeftFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,,None
93678,27,SavedShot,0.725,0.47400001525878904,0.020277200266718864,Aleksandar Tonev,h,1359,OpenPlay,2015,LeftFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,Aleandro Rosi,Pass
93685,45,MissedShots,0.705,0.325,0.010668200440704823,Aleksandar Tonev,h,1359,OpenPlay,2015,RightFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,,BallRecovery
93695,68,MissedShots,0.8180000305175781,0.3120000076293945,0.0285349003970623,Aleksandar Tonev,h,1359,OpenPlay,2015,LeftFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,Danilo Soddimo,Pass
93707,90,MissedShots,0.735,0.46700000762939453,0.017975900322198868,Aleksandar Tonev,h,1359,SetPiece,2015,RightFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,Daniel Pavlovic,Pass
94919,7,MissedShots,0.7319999694824219,0.5929999923706055,0.01920809969305992,Aleksandar Tonev,a,1359,OpenPlay,2015,RightFoot,588,Bologna,Frosinone,1,0,2015-09-20 17:00:00,Paolo Sammarco,Pass
95781,27,MissedShots,0.7130000305175781,0.4879999923706055,0.04333290085196495,Aleksandar Tonev,h,1359,DirectFreekick,2015,RightFoot,609,Frosinone,Empoli,2,0,2015-09-28 21:00:00,,Standard
100948,82,BlockedShot,0.715,0.5790000152587891,0.014588999561965466,Aleksandar Tonev,a,1359,SetPiece,2015,RightFoot,702,Palermo,Frosinone,4,1,2015-12-12 21:00:00,Nicolás Castillo,Pass
101388,16,MissedShots,0.7290000152587891,0.47400001525878904,0.01155760046094656,Aleksandar Tonev,h,1359,SetPiece,2015,LeftFoot,718,Frosinone,AC Milan,2,4,2015-12-20 21:00:00,,None
101397,45,MissedShots,0.784000015258789,0.2879999923706055,0.023083899170160294,Aleksandar Tonev,h,1359,OpenPlay,2015,LeftFoot,718,Frosinone,AC Milan,2,4,2015-12-20 21:00:00,Daniel Ciofani,Pass
94042,51,SavedShot,0.784000015258789,0.4209999847412109,0.044109098613262177,Aleksandar Tonev,a,1359,OpenPlay,2015,RightFoot,741,Torino,Frosinone,4,2,2016-01-16 21:00:00,Paolo Sammarco,TakeOn
94045,53,SavedShot,0.9309999847412109,0.7580000305175781,0.030847899615764618,Aleksandar Tonev,a,1359,OpenPlay,2015,LeftFoot,741,Torino,Frosinone,4,2,2016-01-16 21:00:00,Danilo Soddimo,Pass
94058,90,MissedShots,0.774000015258789,0.735999984741211,0.014597100205719471,Aleksandar Tonev,a,1359,OpenPlay,2015,LeftFoot,741,Torino,Frosinone,4,2,2016-01-16 21:00:00,Daniel Pavlovic,Pass
95322,1,BlockedShot,0.7930000305175782,0.500999984741211,0.03618650138378143,Aleksandar Tonev,h,1359,FromCorner,2015,RightFoot,772,Frosinone,Bologna,1,0,2016-02-03 21:30:00,Danilo Soddimo,Pass
95328,22,BlockedShot,0.7290000152587891,0.4620000076293945,0.05069020017981529,Aleksandar Tonev,h,1359,DirectFreekick,2015,RightFoot,772,Frosinone,Bologna,1,0,2016-02-03 21:30:00,,Standard
