id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
33919,59,BlockedShot,0.7769999694824219,0.38299999237060545,0.031461600214242935,Diogo Figueiras,h,2024,FromCorner,2014,LeftFoot,5811,Sevilla,Real Sociedad,1,0,2014-09-24 21:00:00,,Rebound
33150,49,SavedShot,0.789000015258789,0.25,0.010564399883151054,Diogo Figueiras,a,2024,OpenPlay,2014,LeftFoot,5819,Atletico Madrid,Sevilla,4,0,2014-09-27 19:00:00,,None
35025,74,BlockedShot,0.8119999694824219,0.29600000381469727,0.04009940102696419,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5771,Elche,Sevilla,0,2,2014-10-19 18:00:00,Aleix Vidal,Pass
33580,3,SavedShot,0.85,0.68,0.03781680017709732,Diogo Figueiras,h,2024,OpenPlay,2014,RightFoot,5751,Sevilla,Granada,5,1,2014-11-30 16:00:00,Éver Banega,Pass
34396,69,SavedShot,0.755,0.565,0.030949700623750687,Diogo Figueiras,a,2024,OpenPlay,2014,LeftFoot,5691,Rayo Vallecano,Sevilla,0,1,2014-12-07 11:00:00,Éver Banega,Pass
35125,24,MissedShots,0.7609999847412109,0.6580000305175782,0.016388900578022003,Diogo Figueiras,h,2024,FromCorner,2014,RightFoot,5703,Sevilla,Eibar,0,0,2014-12-14 16:00:00,,None
38203,39,MissedShots,0.9690000152587891,0.345,0.035018399357795715,Diogo Figueiras,h,2024,OpenPlay,2014,RightFoot,5671,Sevilla,Malaga,2,0,2015-01-18 20:00:00,Reyes,Cross
37623,25,Goal,0.695,0.24200000762939453,0.008413479663431644,Diogo Figueiras,h,2024,OpenPlay,2014,RightFoot,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,,None
37635,71,MissedShots,0.7930000305175782,0.33099998474121095,0.034525200724601746,Diogo Figueiras,h,2024,OpenPlay,2014,LeftFoot,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Iago Aspas,Pass
41325,17,MissedShots,0.955,0.34,0.022607000544667244,Diogo Figueiras,a,2024,OpenPlay,2014,Head,5633,Real Sociedad,Sevilla,4,3,2015-02-22 11:00:00,Éver Banega,Chipped
41344,73,BlockedShot,0.825999984741211,0.295,0.033792901784181595,Diogo Figueiras,a,2024,FromCorner,2014,LeftFoot,5633,Real Sociedad,Sevilla,4,3,2015-02-22 11:00:00,,TakeOn
39641,69,MissedShots,0.8469999694824218,0.52,0.27904799580574036,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5572,Deportivo La Coruna,Sevilla,3,4,2015-03-07 15:00:00,Kevin Gameiro,Pass
39646,75,SavedShot,0.935,0.26399999618530273,0.05841999873518944,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5572,Deportivo La Coruna,Sevilla,3,4,2015-03-07 15:00:00,Éver Banega,Chipped
39556,38,SavedShot,0.88,0.3139999961853027,0.05046069994568825,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5598,Villarreal,Sevilla,0,2,2015-03-22 16:00:00,,None
39428,9,BlockedShot,0.7519999694824219,0.45599998474121095,0.018519600853323936,Diogo Figueiras,a,2024,FromCorner,2014,LeftFoot,5541,Granada,Sevilla,1,1,2015-04-19 16:00:00,,None
39446,74,MissedShots,0.9290000152587891,0.5420000076293945,0.0914824977517128,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5541,Granada,Sevilla,1,1,2015-04-19 16:00:00,,None
39449,89,SavedShot,0.745,0.5320000076293945,0.011382799595594406,Diogo Figueiras,a,2024,OpenPlay,2014,RightFoot,5541,Granada,Sevilla,1,1,2015-04-19 16:00:00,,Aerial
37835,11,BlockedShot,0.9130000305175782,0.39799999237060546,0.09333740174770355,Diogo Figueiras,h,2024,OpenPlay,2014,LeftFoot,5494,Sevilla,Almeria,2,1,2015-05-17 18:00:00,Vicente Iborra,Foul
37849,58,MissedShots,0.8209999847412109,0.3340000152587891,0.03085399977862835,Diogo Figueiras,h,2024,FromCorner,2014,LeftFoot,5494,Sevilla,Almeria,2,1,2015-05-17 18:00:00,Reyes,Cross
98330,55,MissedShots,0.7169999694824218,0.37900001525878907,0.013144000433385372,Diogo Figueiras,h,2024,FromCorner,2015,RightFoot,654,Genoa,Napoli,0,0,2015-11-01 18:00:00,,None
98332,74,SavedShot,0.730999984741211,0.26899999618530274,0.013840300031006336,Diogo Figueiras,h,2024,OpenPlay,2015,RightFoot,654,Genoa,Napoli,0,0,2015-11-01 18:00:00,Diego Perotti,Pass
98756,18,BlockedShot,0.8630000305175781,0.2720000076293945,0.03328400105237961,Diogo Figueiras,a,2024,OpenPlay,2015,LeftFoot,668,Frosinone,Genoa,2,2,2015-11-08 18:00:00,Darko Lazovic,Pass
99814,7,Goal,0.8540000152587891,0.28200000762939453,0.03281090036034584,Diogo Figueiras,h,2024,OpenPlay,2015,RightFoot,685,Genoa,Carpi,1,2,2015-11-29 18:00:00,,None
100407,52,SavedShot,0.879000015258789,0.245,0.01878480054438114,Diogo Figueiras,a,2024,OpenPlay,2015,RightFoot,693,Inter,Genoa,1,0,2015-12-05 23:45:00,Diego Perotti,Cross
92366,64,BlockedShot,0.7609999847412109,0.3189999961853027,0.0182304996997118,Diogo Figueiras,a,2024,OpenPlay,2015,RightFoot,1755,Espanyol,Sevilla,1,0,2016-05-01 18:00:00,Cotán,Pass
93040,44,BlockedShot,0.889000015258789,0.23700000762939452,0.032399699091911316,Diogo Figueiras,h,2024,OpenPlay,2015,RightFoot,1768,Sevilla,Granada,1,4,2016-05-08 19:00:00,,Dispossessed
