goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.055153798311948776,90,MC,Genoa,Juventus,3,1,2016-11-27,2771,2016,168540,0,0,0,0,0.055153798311948776,0.12973499298095703,0.11044300347566605
1,3,0.07501260191202164,90,MC,Juventus,Pescara,3,0,2016-11-19,2758,2016,167853,0,0,0,1,0.07501260191202164,0.18529999256134033,0.11028800159692764
0,3,0.16260500252246857,90,MC,Chievo,Juventus,1,2,2016-11-06,2750,2016,167167,0,0,0,0,0.16260500252246857,0.13110500574111938,0.10063499957323074
0,4,0.07671760022640228,77,MC,Juventus,Napoli,2,1,2016-10-29,3291,2016,166736,0,0,0,0,0.07671760022640228,0.1928420066833496,0.1161239966750145
0,2,0.031485799700021744,90,MC,AC Milan,Juventus,1,0,2016-10-22,1011,2016,165633,0.07363980263471603,0,2,0,0.031485799700021744,0.16776800155639648,0.08316820114850998
0,1,0.03022249974310398,90,MC,Juventus,Udinese,2,1,2016-10-15,1002,2016,165033,0,0,0,0,0.03022249974310398,0.17916199564933777,0.17916199564933777
0,0,0,90,MC,Empoli,Juventus,0,3,2016-10-02,992,2016,164573,0.37119001150131226,0,1,0,0,1.3960200548171997,1.0248299837112427
0,2,0.03751759976148605,90,MC,Juventus,Cagliari,4,0,2016-09-21,975,2016,163386,0.4159719944000244,0,3,0,0.03751759976148605,1.0009499788284302,0.5774959921836853
0,0,0,18,Sub,Juventus,Sassuolo,3,1,2016-09-10,951,2016,162274,0,0,0,0,0,0.07976870238780975,0.07976870238780975
0,0,0,1,Sub,Juventus,Fiorentina,2,1,2016-08-20,932,2016,161161,0,0,0,0,0,0,0
0,3,0.05077889934182167,90,MC,Juventus,Sampdoria,5,0,2016-05-14,921,2015,114311,0.2418469935655594,1,4,0,0.05077889934182167,0.8337879776954651,0.7115700244903564
1,3,0.06931369751691818,90,MC,Juventus,Carpi,2,0,2016-05-01,903,2015,113026,0.02927359938621521,0,1,1,0.06931369751691818,0.547406017780304,0.5099470019340515
0,2,0.07879500091075897,90,MC,Juventus,Lazio,3,0,2016-04-20,889,2015,112052,0.049258701503276825,0,2,0,0.07879500091075897,0.183118999004364,0.14757099747657776
0,3,0.05187869817018509,90,MC,Juventus,Inter,2,0,2016-02-28,818,2015,108093,0,0,0,0,0.05187869817018509,0.1913830041885376,0.13950400054454803
0,1,0.04292140156030655,21,Sub,Chievo,Juventus,0,4,2016-01-31,764,2015,105324,0.021191399544477463,0,1,0,0.04292140156030655,0.25388601422309875,0.25388601422309875
0,2,0.041563499718904495,90,MC,Sampdoria,Juventus,1,2,2016-01-10,739,2015,114044,0.26916199922561646,0,1,0,0.041563499718904495,0.7049480080604553,0.6633849740028381
0,3,0.07426539808511734,47,AMC,Juventus,AC Milan,1,0,2015-11-21,672,2015,110663,0.020609799772500992,0,1,0,0.07426539808511734,0.039829399436712265,0.020609799772500992
0,2,0.04162070155143738,90,AMC,Juventus,Torino,2,1,2015-10-31,651,2015,109518,0.03596010059118271,0,1,0,0.04162070155143738,0.24939200282096863,0.20777200162410736
0,2,0.06572230160236359,6,Sub,Sassuolo,Juventus,1,0,2015-10-28,648,2015,109032,0,0,0,0,0.06572230160236359,0.01436339970678091,0
0,2,0.038057100027799606,68,MC,Juventus,Bologna,3,1,2015-10-04,617,2015,107229,0,0,0,0,0.038057100027799606,0.1089939996600151,0.07093709707260132
0,0,0,67,MC,Napoli,Juventus,2,1,2015-09-26,602,2015,106853,0,0,0,0,0,0.16894599795341492,0.16894599795341492
0,2,0.06886070221662521,11,Sub,Juventus,Frosinone,1,1,2015-09-23,599,2015,106540,0,0,0,0,0.06886070221662521,0.4757319986820221,0.4068709909915924
0,0,0,12,Sub,Genoa,Juventus,0,2,2015-09-20,584,2015,105912,0,0,0,0,0,0,0
0,4,0.16147300601005554,90,AMC,Juventus,Chievo,1,1,2015-09-12,573,2015,104472,0.0721805989742279,0,2,0,0.16147300601005554,0.4442580044269562,0.26583901047706604
0,0,0,3,Sub,Carpi,Inter,1,2,2015-08-30,567,2015,104125,0.9332969784736633,0,2,0,0,0.9332969784736633,0
0,2,0.06512869894504547,42,Sub,Inter,Atalanta,1,0,2015-08-23,557,2015,103891,0,0,0,0,0.06512869894504547,0.5129629969596863,0.4478340148925781
0,4,0.1998330056667328,90,AMC,Inter,Empoli,4,3,2015-05-31,4826,2014,55694,0.30385100841522217,1,3,0,0.1998330056667328,1.2300900220870972,0.9200739860534668
0,4,0.17997300624847412,90,AMC,Genoa,Inter,3,2,2015-05-23,4810,2014,56796,0.5623080134391785,1,4,0,0.17997300624847412,0.7350289821624756,0.08793280273675919
2,4,0.6816980242729187,90,AMC,Lazio,Inter,1,2,2015-05-10,4797,2014,56404,0.3871229887008667,0,3,2,0.6816980242729187,0.9196590185165405,0.018189700320363045
0,4,0.12384899705648422,65,AMC,Inter,Chievo,0,0,2015-05-03,4782,2014,56837,0.06631089746952057,0,2,0,0.12384899705648422,0.15113499760627747,0.05384029820561409
0,5,0.8074719905853271,90,AMC,Udinese,Inter,1,2,2015-04-28,4871,2014,56126,0.08783750236034393,0,3,0,0.8074719905853271,0.8918889760971069,0.06936749815940857
1,2,0.40878599882125854,90,AMC,Inter,Roma,2,1,2015-04-25,4862,2014,55219,0,0,0,1,0.40878599882125854,0.5464630126953125,0.13767699897289276
0,3,0.1706169992685318,90,AMC,Inter,AC Milan,0,0,2015-04-19,4859,2014,54885,0.09781879931688309,0,4,0,0.1706169992685318,0.21769200265407562,0.1005140021443367
0,2,0.06855539977550507,89,AMC,Verona,Inter,0,3,2015-04-11,4842,2014,54286,0.32122498750686646,0,1,0,0.06855539977550507,1.1450899839401245,1.0765299797058105
0,1,0.022623199969530106,1,Sub,Inter,Parma,1,1,2015-04-04,4830,2014,53828,0.028084199875593185,0,1,0,0.022623199969530106,0.028084199875593185,0
0,1,0.03648639842867851,25,Sub,Napoli,Inter,2,2,2015-03-08,4896,2014,53647,0.051687199622392654,0,1,0,0.03648639842867851,0,0
0,1,0.029921699315309525,7,Sub,Cagliari,Inter,1,2,2015-02-23,4954,2014,53368,0,0,0,0,0.029921699315309525,0.029921699315309525,0
0,0,0,13,Sub,Atalanta,Inter,1,4,2015-02-15,4942,2014,52755,0,0,0,0,0,0.07386189699172974,0.07386189699172974
0,2,0.05651799961924553,90,AMR,Empoli,Inter,0,0,2015-01-17,4977,2014,51197,0.35620298981666565,0,3,0,0.05651799961924553,0.45370200276374817,0.04098080098628998
0,1,0.05929740145802498,75,AMR,Inter,Genoa,3,1,2015-01-11,4969,2014,51766,0.07362399995326996,1,1,0,0.05929740145802498,0.05929740145802498,0
0,3,0.0774063989520073,85,AMC,Juventus,Inter,1,1,2015-01-06,4966,2014,51336,0.013861600309610367,0,1,0,0.0774063989520073,0.13406500220298767,0.04279680177569389
0,0,0,18,Sub,AC Milan,Inter,1,1,2014-11-23,5058,2014,49726,0,0,0,0,0,0.09971340000629425,0.09971340000629425
0,1,0.025123300030827522,36,Sub,Parma,Inter,2,0,2014-11-01,5032,2014,49199,0.07631819695234299,0,2,0,0.025123300030827522,0.25924500823020935,0.19645699858665466
0,1,0.024205299094319344,53,MC,Inter,Sampdoria,1,0,2014-10-29,5101,2014,48873,0.31248700618743896,0,1,0,0.024205299094319344,0.3640730082988739,0.02738030068576336
0,6,0.23082099854946136,90,MC,Cesena,Inter,0,1,2014-10-26,5097,2014,48471,0.47861799597740173,0,4,0,0.23082099854946136,0.6767799854278564,0.10127300024032593
1,6,0.19174200296401978,90,MC,Inter,Napoli,2,2,2014-10-19,5087,2014,48317,0.2808789908885956,0,6,1,0.19174200296401978,0.4649699926376343,0.35333698987960815
0,2,0.10637900233268738,31,Sub,Fiorentina,Inter,3,0,2014-10-05,5077,2014,47945,0,0,0,0,0.10637900233268738,0.11847399920225143,0.08260460197925568
0,1,0.023837100714445114,90,MC,Inter,Cagliari,1,4,2014-09-28,5145,2014,47729,0.1678519994020462,0,4,0,0.023837100714445114,0.1980070024728775,0.14486099779605865
1,4,0.21329599618911743,21,Sub,Inter,Atalanta,2,0,2014-09-24,5132,2014,47454,0,0,0,1,0.21329599618911743,0.06897860020399094,0
0,2,0.028823500499129295,25,Sub,Palermo,Inter,1,1,2014-09-21,5128,2014,47219,0.01974009908735752,0,1,0,0.028823500499129295,0.27625900506973267,0.24743600189685822
0,1,0.016586100682616234,90,MC,Inter,Sassuolo,7,0,2014-09-14,5116,2014,46891,0.1326349973678589,1,3,0,0.016586100682616234,1.3145099878311157,1.2615200281143188
0,4,0.0815138965845108,90,AMC,Torino,Inter,0,0,2014-08-31,5157,2014,46739,0.4351879954338074,0,2,0,0.0815138965845108,0.6507819890975952,0.5692690014839172
