goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.011401209980249405,16,Sub,Empoli,Venezia,2,2,2025-04-20,27684,2024,721095,0,0,0,0,0.011401209980249405,0.011401209980249405,0
0,0,0,1,Sub,Venezia,Bologna,0,1,2025-03-29,27653,2024,714692,0,0,0,0,0,0,0
0,0,0,73,MC,Venezia,Napoli,0,0,2025-03-16,27651,2024,713473,0.14669060707092285,0,2,0,0,0.47047773003578186,0.323787122964859
0,2,0.018754668533802032,64,MC,Como,Venezia,1,1,2025-03-08,27633,2024,711308,0.4357142746448517,0,1,0,0.018754668533802032,0.4453667402267456,0
0,1,0.008310917764902115,8,Sub,Atalanta,Venezia,0,0,2025-03-01,27622,2024,709605,0.011764971539378166,0,1,0,0.008310917764902115,0.02007588930428028,0
0,0,0,54,MC,Bologna,Venezia,3,0,2024-11-30,27494,2024,690412,0,0,0,0,0,0.03851994499564171,0.03851994499564171
0,2,0.33472877740859985,90,MC,Venezia,Lecce,0,1,2024-11-25,27489,2024,689525,0.31053557991981506,0,1,0,0.33472877740859985,1.1368626356124878,0.4915982484817505
0,1,0.022543583065271378,65,MC,Venezia,Parma Calcio 1913,1,2,2024-11-09,27477,2024,686422,0.25574085116386414,0,1,0,0.022543583065271378,0.3024553656578064,0.3024553656578064
0,0,0,13,Sub,Inter,Venezia,1,0,2024-11-03,27463,2024,686008,0,0,0,0,0,0,0
0,4,0.49004873633384705,90,MC,Venezia,Udinese,3,2,2024-10-30,27461,2024,684321,0.03522461652755737,0,1,0,0.49004873633384705,0.644019603729248,0.11874623596668243
0,0,0,65,MC,Monza,Venezia,2,2,2024-10-27,27446,2024,683623,0,0,0,0,0,0,0
0,2,0.03334987908601761,90,MC,Venezia,Atalanta,0,2,2024-10-20,27433,2024,681909,0.36473754048347473,0,1,0,0.03334987908601761,0.03334987908601761,0
