goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Crotone,Lazio,3,1,2017-05-28,3716,2016,171456,0,0,0,0,0,0,0
0,0,0,90,DL,Crotone,Fiorentina,0,1,2017-03-19,3623,2016,166341,0,0,0,0,0,0,0
0,0,0,55,DL,Crotone,Roma,0,2,2017-02-12,3574,2016,163747,0.018255800008773804,0,1,0,0,0.018255800008773804,0
0,1,0.005526610184460878,90,DL,Crotone,Juventus,0,2,2017-02-08,3570,2016,170586,0,0,0,0,0.005526610184460878,0.020906800404191017,0.015380199998617172
0,0,0,71,DL,Crotone,Sampdoria,1,1,2016-11-27,2770,2016,168467,0.022904500365257263,0,1,0,0,0.1279599964618683,0.10505499690771103
0,1,0.07339239865541458,90,DL,Crotone,Torino,0,2,2016-11-20,2761,2016,167795,0,0,0,0,0.07339239865541458,0.09950599819421768,0.09950599819421768
0,0,0,90,DL,Inter,Crotone,3,0,2016-11-06,2753,2016,167249,0.10377199947834015,0,1,0,0,0.11925499886274338,0.015483600087463856
0,0,0,90,DL,Crotone,Chievo,2,0,2016-10-30,3295,2016,166677,0,0,0,0,0,0.08247260004281998,0.08247260004281998
0,0,0,90,DL,Fiorentina,Crotone,1,1,2016-10-26,3286,2016,166077,0,0,0,0,0,0,0
0,0,0,12,Sub,Sassuolo,Crotone,2,1,2016-10-16,1007,2016,165192,0,0,0,0,0,0.05084409937262535,0.05084409937262535
0,0,0,90,DL,AC Milan,Sampdoria,4,1,2015-11-28,682,2015,111147,0,0,0,0,0,0,0
0,0,0,43,Sub,Sampdoria,Fiorentina,0,2,2015-11-08,670,2015,110106,0,0,0,0,0,0,0
0,0,0,90,DL,Chievo,Sampdoria,1,1,2015-11-02,659,2015,109416,0,0,0,0,0,0.3541699945926666,0.3541699945926666
0,1,0.027744900435209274,90,DL,Sampdoria,Empoli,1,1,2015-10-29,650,2015,108983,0,0,0,0,0.027744900435209274,0.027744900435209274,0
0,1,0.011312900111079216,90,DL,Sampdoria,Inter,1,1,2015-10-04,615,2015,107339,0.4613960087299347,0,2,0,0.011312900111079216,1.1052900552749634,0.6325759887695312
0,0,0,90,DL,Atalanta,Sampdoria,2,1,2015-09-28,610,2015,106574,0.012735700234770775,0,1,0,0,0.18897099792957306,0.17623500525951385
0,0,0,90,DL,Sampdoria,Roma,2,1,2015-09-23,594,2015,105415,0,0,0,0,0,0.013488000258803368,0.013488000258803368
0,1,0.012549900449812412,35,DL,Sampdoria,Juventus,0,1,2015-05-02,4779,2014,55271,0.03322739899158478,0,1,0,0.012549900449812412,0.045777298510074615,0
0,1,0.013581099919974804,90,DL,Napoli,Sampdoria,4,2,2015-04-26,4870,2014,55341,0,0,0,0,0.013581099919974804,0.013581099919974804,0
0,3,0.20924100279808044,90,DL,Sampdoria,Cesena,0,0,2015-04-18,4851,2014,54659,0.024312999099493027,0,1,0,0.20924100279808044,0.43067899346351624,0.22143800556659698
0,0,0,90,DL,AC Milan,Sampdoria,1,1,2015-04-12,4849,2014,54506,0,0,0,0,0,0.02870739996433258,0.02870739996433258
0,0,0,1,Sub,Atalanta,Sampdoria,1,2,2015-03-01,4883,2014,53284,0,0,0,0,0,0,0
0,1,0.28164801001548767,90,DL,Chievo,Sampdoria,2,1,2015-02-15,4945,2014,53083,0,0,0,0,0.28164801001548767,0.6132749915122986,0.3316270112991333
0,3,0.09091950207948685,90,DL,Sampdoria,Udinese,2,2,2014-12-21,5025,2014,50933,0,0,0,0,0.09091950207948685,0.14271600544452667,0.11880499869585037
0,0,0,90,DL,Verona,Sampdoria,1,3,2014-12-08,5009,2014,50250,0.058987200260162354,0,1,0,0,0.7488549947738647,0.6898679733276367
0,1,0.07680799812078476,90,DL,Sampdoria,Napoli,1,1,2014-12-01,4999,2014,50068,0,0,0,0,0.07680799812078476,0,0
0,0,0,90,DL,Sampdoria,AC Milan,2,2,2014-11-08,5041,2014,49512,0.03096579946577549,0,1,0,0,0.09473320096731186,0.06376729905605316
0,0,0,90,DML,Sampdoria,Fiorentina,3,1,2014-11-02,5033,2014,49207,0,0,0,0,0,0,0
0,0,0,90,DL,Inter,Sampdoria,1,0,2014-10-29,5101,2014,48885,0.04890190064907074,0,1,0,0,0.06989789754152298,0.02099590003490448
0,0,0,22,Sub,Sampdoria,Roma,0,0,2014-10-25,5091,2014,48683,0,0,0,0,0,0,0
0,1,0.4375219941139221,27,Sub,Cagliari,Sampdoria,2,2,2014-10-19,5085,2014,48224,0,0,0,0,0.4375219941139221,0.4375219941139221,0
0,0,0,80,Sub,Genoa,Sampdoria,0,1,2014-09-28,5146,2014,47720,0,0,0,0,0,0,0
0,3,0.061566900461912155,90,DL,Sampdoria,Chievo,2,1,2014-09-24,5137,2014,47587,0,0,0,0,0.061566900461912155,0.07003530114889145,0.05556200072169304
