goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,22,Sub,Cagliari,Sassuolo,4,3,2016-12-22,3103,2016,170580,0,0,0,0,0,0,0
0,1,0.08964119851589203,90,DC,Sassuolo,Atalanta,0,3,2016-11-06,2752,2016,167372,0,0,0,0,0.08964119851589203,0.48593899607658386,0.48593899607658386
0,0,0,81,DC,Lazio,Sassuolo,2,1,2016-10-30,3293,2016,166774,0,0,0,0,0,0.30058199167251587,0.30058199167251587
0,0,0,55,Sub,Sassuolo,Udinese,1,1,2016-03-20,848,2015,109882,0,0,0,0,0,0,0
0,0,0,80,DC,Udinese,Sassuolo,0,0,2015-11-01,657,2015,109611,0,0,0,0,0,0,0
0,0,0,11,Sub,AC Milan,Sassuolo,2,1,2015-10-25,636,2015,108417,0,0,0,0,0,0,0
0,0,0,7,Sub,Sassuolo,Lazio,2,1,2015-10-18,627,2015,107903,0,0,0,0,0,0,0
0,0,0,90,DC,Empoli,Sassuolo,1,0,2015-10-04,613,2015,107185,0,0,0,0,0,0.05577490106225014,0.05577490106225014
0,0,0,90,DC,Sassuolo,Chievo,1,1,2015-09-27,605,2015,106892,0,0,0,0,0,0.13739599287509918,0.13739599287509918
0,0,0,82,DC,Sassuolo,Inter,3,1,2015-02-01,4919,2014,52180,0,0,0,0,0,0,0
0,1,0.030200600624084473,90,DC,Genoa,Sassuolo,3,3,2015-01-18,4981,2014,51248,0,0,0,0,0.030200600624084473,0.02853110060095787,0.02853110060095787
0,0,0,90,DC,Sassuolo,Cesena,1,1,2014-12-20,5022,2014,50984,0,0,0,0,0,0.020628800615668297,0.020628800615668297
0,1,0.0733174979686737,90,DC,Sassuolo,Atalanta,0,0,2014-11-08,5040,2014,49538,0,0,0,0,0.0733174979686737,0.18745499849319458,0.18745499849319458
0,0,0,43,DC,Chievo,Sassuolo,0,0,2014-11-02,5036,2014,49051,0,0,0,0,0,0.024822400882840157,0.024822400882840157
0,0,0,90,DC,Sassuolo,Empoli,3,1,2014-10-28,5099,2014,48954,0,0,0,0,0,0.5045149922370911,0.5045149922370911
0,0,0,90,DC,Parma,Sassuolo,1,3,2014-10-25,5090,2014,48660,0,0,0,0,0,0.42414799332618713,0.42414799332618713
0,0,0,90,DC,Sassuolo,Juventus,1,1,2014-10-18,5080,2014,48398,0,0,0,0,0,0,0
0,0,0,90,DC,Inter,Sassuolo,7,0,2014-09-14,5116,2014,46902,0,0,0,0,0,0,0
