id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
41421,25,BlockedShot,0.7040000152587891,0.40700000762939453,0.037178199738264084,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,5154,Cesena,Parma,1,0,2014-08-31 19:45:00,,Standard
41422,27,BlockedShot,0.76,0.5529999923706055,0.07116439938545227,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,5154,Cesena,Parma,1,0,2014-08-31 19:45:00,,Standard
41907,95,BlockedShot,0.7730000305175782,0.385,0.024990500882267952,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,5117,Parma,AC Milan,4,5,2014-09-14 19:45:00,Antonio Cassano,Pass
42002,51,BlockedShot,0.749000015258789,0.5659999847412109,0.0613740012049675,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,5121,Chievo,Parma,2,3,2014-09-21 11:30:00,,Standard
43773,7,MissedShots,0.74,0.600999984741211,0.014337800443172455,Francesco Lodi,a,1562,OpenPlay,2014,LeftFoot,5100,Torino,Parma,1,0,2014-10-29 19:45:00,,None
43949,46,MissedShots,0.8330000305175781,0.524000015258789,0.035190001130104065,Francesco Lodi,h,1562,OpenPlay,2014,RightFoot,5032,Parma,Inter,2,0,2014-11-01 19:45:00,José Mauri,Aerial
44482,61,BlockedShot,0.7580000305175781,0.47700000762939454,0.020345399156212807,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,5055,Parma,Empoli,0,2,2014-11-23 14:00:00,Antonio Cassano,Pass
44487,69,ShotOnPost,0.815,0.4879999923706055,0.16327600181102753,Francesco Lodi,h,1562,DirectFreekick,2014,LeftFoot,5055,Parma,Empoli,0,2,2014-11-23 14:00:00,,Standard
44489,86,BlockedShot,0.764000015258789,0.6830000305175781,0.05234469845890999,Francesco Lodi,h,1562,DirectFreekick,2014,LeftFoot,5055,Parma,Empoli,0,2,2014-11-23 14:00:00,,Standard
44491,88,SavedShot,0.9369999694824219,0.48700000762939455,0.09727489948272705,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,5055,Parma,Empoli,0,2,2014-11-23 14:00:00,Nicola Pozzi,End
44718,51,BlockedShot,0.7140000152587891,0.669000015258789,0.03523639962077141,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,5064,Palermo,Parma,2,1,2014-11-30 14:00:00,,Standard
44728,87,SavedShot,0.7280000305175781,0.61,0.04535229876637459,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,5064,Palermo,Parma,2,1,2014-11-30 14:00:00,,Standard
45020,62,BlockedShot,0.7190000152587891,0.534000015258789,0.04568929970264435,Francesco Lodi,h,1562,DirectFreekick,2014,LeftFoot,5004,Parma,Lazio,1,2,2014-12-07 14:00:00,,Standard
45021,68,BlockedShot,0.7980000305175782,0.5420000076293945,0.12127000093460083,Francesco Lodi,h,1562,DirectFreekick,2014,LeftFoot,5004,Parma,Lazio,1,2,2014-12-07 14:00:00,,Standard
45293,15,MissedShots,0.7230000305175781,0.585,0.045065801590681076,Francesco Lodi,h,1562,DirectFreekick,2014,LeftFoot,5014,Parma,Cagliari,0,0,2014-12-14 14:00:00,,Standard
45472,71,ShotOnPost,0.835999984741211,0.555,0.04691080003976822,Francesco Lodi,a,1562,OpenPlay,2014,LeftFoot,5021,Napoli,Parma,2,0,2014-12-18 20:00:00,,None
46129,59,MissedShots,0.9,0.5670000076293945,0.04219270125031471,Francesco Lodi,h,1562,OpenPlay,2014,Head,4961,Parma,Fiorentina,1,0,2015-01-06 14:00:00,José Mauri,None
46295,37,BlockedShot,0.7530000305175781,0.525,0.02409370057284832,Francesco Lodi,a,1562,OpenPlay,2014,LeftFoot,4973,Verona,Parma,3,1,2015-01-11 14:00:00,Antonio Cassano,Pass
46298,62,Goal,0.7719999694824219,0.7019999694824218,0.052306998521089554,Francesco Lodi,a,1562,DirectFreekick,2014,LeftFoot,4973,Verona,Parma,3,1,2015-01-11 14:00:00,,Standard
46302,84,MissedShots,0.7809999847412109,0.6040000152587891,0.04028270021080971,Francesco Lodi,a,1562,OpenPlay,2014,LeftFoot,4973,Verona,Parma,3,1,2015-01-11 14:00:00,Nicola Pozzi,LayOff
46369,2,BlockedShot,0.7240000152587891,0.5020000076293946,0.01351999957114458,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,4991,Parma,Cesena,1,2,2015-01-25 14:00:00,,None
46374,22,MissedShots,0.755,0.509000015258789,0.02336670085787773,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,4991,Parma,Cesena,1,2,2015-01-25 14:00:00,José Mauri,TakeOn
47315,31,BlockedShot,0.7090000152587891,0.48700000762939455,0.011771799996495247,Francesco Lodi,h,1562,OpenPlay,2014,LeftFoot,4839,Parma,Udinese,1,0,2015-04-08 17:30:00,,None
