goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,3,Sub,Bologna,Sampdoria,3,0,2019-04-20,9897,2018,325821,0,0,0,0,0,0,0
0,0,0,12,Sub,Fiorentina,Bologna,0,0,2019-04-14,9889,2018,324809,0,0,0,0,0,0.05768049880862236,0.05768049880862236
0,1,0.07987180352210999,90,MC,Atalanta,Bologna,4,1,2019-04-04,9867,2018,322231,0,0,0,0,0.07987180352210999,0.12759000062942505,0.0477185994386673
0,1,0.02730190008878708,5,Sub,Bologna,Sassuolo,2,1,2019-03-31,9857,2018,318704,0,0,0,0,0.02730190008878708,0.02730190008878708,0
0,0,0,23,Sub,Udinese,Bologna,2,1,2019-03-03,9829,2018,307320,0,0,0,0,0,0,0
0,0,0,11,Sub,Bologna,Juventus,0,1,2019-02-24,9817,2018,306999,0.011251600459218025,0,1,0,0,0.011251600459218025,0.011251600459218025
0,0,0,15,Sub,Bologna,Chievo,1,2,2018-05-13,7860,2017,239934,0,0,0,0,0,0,0
0,0,0,46,MC,Crotone,Bologna,1,0,2018-04-08,7800,2017,231393,0,0,0,0,0,0,0
0,2,0.07080160081386566,90,MC,Bologna,Roma,1,1,2018-03-31,7794,2017,228091,0,0,0,0,0.07080160081386566,0.07080160081386566,0
0,2,0.12826800346374512,90,MC,Lazio,Bologna,1,1,2018-03-18,7780,2017,224912,0,0,0,0,0.12826800346374512,0.1482830047607422,0.020015399903059006
0,2,0.03544760122895241,90,MC,Bologna,Atalanta,0,1,2018-03-11,7769,2017,223017,0,0,0,0,0.03544760122895241,0.043466899544000626,0.023241600021719933
0,1,0.03480049967765808,83,Sub,SPAL 2013,Bologna,1,0,2018-03-03,7759,2017,220853,0,0,0,0,0.03480049967765808,0.03480049967765808,0
0,0,0,12,Sub,Bologna,Genoa,2,0,2018-02-24,7755,2017,219300,0,0,0,0,0,0,0
0,0,0,77,MC,Bologna,Fiorentina,1,2,2018-02-04,7721,2017,217125,0.07357700169086456,0,1,0,0,0.0939083993434906,0.020331399515271187
0,0,0,6,Sub,Napoli,Bologna,3,1,2018-01-28,7711,2017,211021,0,0,0,0,0,0,0
0,0,0,90,MC,Bologna,Benevento,3,0,2018-01-21,7699,2017,209807,0,0,0,0,0,0.2160390019416809,0.2160390019416809
0,0,0,32,Sub,Torino,Bologna,3,0,2018-01-06,7690,2017,206819,0,0,0,0,0,0,0
0,0,0,64,MC,Bologna,Udinese,1,2,2017-12-30,7681,2017,205973,0,0,0,0,0,0,0
0,0,0,6,Sub,Chievo,Bologna,2,3,2017-12-22,7670,2017,205135,0,0,0,0,0,0,0
0,1,0.18088500201702118,65,MC,Bologna,Juventus,0,3,2017-12-17,7661,2017,204865,0,0,0,0,0.18088500201702118,0.18088500201702118,0
0,0,0,90,MC,AC Milan,Bologna,2,1,2017-12-10,7654,2017,199944,0.043214600533246994,0,1,0,0,0,0
0,4,0.15302500128746033,90,MC,Bologna,Cagliari,1,1,2017-12-03,7640,2017,195601,0.022877300158143044,0,1,0,0.15302500128746033,0.4190079867839813,0.33508801460266113
0,2,0.11388199776411057,90,MC,Bologna,Sampdoria,3,0,2017-11-25,7630,2017,195322,0.4770140051841736,1,1,0,0.11388199776411057,0.6078289747238159,0.031199099496006966
1,1,0.016094200313091278,90,MC,Verona,Bologna,2,3,2017-11-20,7621,2017,195085,0.04551760107278824,0,2,1,0.016094200313091278,0.32199499011039734,0.2858310043811798
0,0,0,74,MC,Bologna,Crotone,2,3,2017-11-04,7610,2017,194792,0,0,0,0,0,0.3624260127544403,0.3624260127544403
0,0,0,9,Sub,Roma,Bologna,1,0,2017-10-28,7604,2017,194645,0,0,0,0,0,0,0
0,1,0.03537970036268234,41,MC,Bologna,Lazio,1,2,2017-10-25,7590,2017,194234,0,0,0,0,0.03537970036268234,0.05470240116119385,0.05470240116119385
0,0,0,90,MC,Atalanta,Bologna,1,0,2017-10-22,7579,2017,193941,0.017041299492120743,0,1,0,0,0.032769300043582916,0.015728000551462173
