goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,8,Sub,Sampdoria,Napoli,0,2,2018-05-13,7865,2017,240438,0,0,0,0,0,0.04450270161032677,0.04450270161032677
0,0,0,90,DL,Lazio,Sampdoria,4,0,2018-04-22,7837,2017,234920,0,0,0,0,0,0.04424089938402176,0.04424089938402176
0,0,0,90,DL,Sampdoria,Bologna,1,0,2018-04-18,7820,2017,233544,0,0,0,0,0,0.07940980046987534,0.07940980046987534
0,0,0,77,DL,Sampdoria,Roma,1,1,2018-01-24,7527,2017,210249,0,0,0,0,0,0,0
0,0,0,90,DL,Sampdoria,Fiorentina,3,1,2018-01-21,7702,2017,209696,0,0,0,0,0,0.5330910086631775,0.5330910086631775
0,0,0,46,DL,Sampdoria,SPAL 2013,2,0,2017-12-30,7687,2017,206027,0,0,0,0,0,0,0
0,0,0,84,DL,Napoli,Sampdoria,3,2,2017-12-23,7675,2017,205266,0,0,0,0,0,0,0
0,0,0,90,DL,Sampdoria,Sassuolo,0,1,2017-12-17,7667,2017,205031,0,0,0,0,0,0.020836999639868736,0.020836999639868736
0,0,0,7,DL,Bologna,Sampdoria,3,0,2017-11-25,7630,2017,195334,0,0,0,0,0,0,0
0,0,0,90,DL,Sampdoria,Juventus,3,2,2017-11-19,7625,2017,195181,0,0,0,0,0,0.5945259928703308,0.5945259928703308
0,0,0,90,DL,Genoa,Sampdoria,0,2,2017-11-04,7614,2017,194917,0,0,0,0,0,0,0
0,0,0,90,DL,Sampdoria,Chievo,4,1,2017-10-29,7605,2017,194652,0,0,0,0,0,0.05841600149869919,0.05841600149869919
0,0,0,68,DL,Sampdoria,Crotone,5,0,2017-10-21,7585,2017,194092,0,0,0,0,0,0,0
0,0,0,90,DL,Sampdoria,Atalanta,3,1,2017-10-15,7577,2017,193869,0.49129098653793335,1,2,0,0,0.49129098653793335,0.438757985830307
0,0,0,90,DL,Udinese,Sampdoria,4,0,2017-09-30,7568,2017,193634,0.05000609904527664,0,1,0,0,0.2179509997367859,0.167944997549057
0,0,0,90,DL,Sampdoria,AC Milan,2,0,2017-09-24,7556,2017,193285,0,0,0,0,0,0.06645269691944122,0.06645269691944122
0,0,0,66,DL,Torino,Sampdoria,2,2,2017-09-17,7538,2017,192797,0.5174480080604553,1,1,0,0,0.5835099816322327,0.06606210023164749
0,0,0,86,DL,Sassuolo,Napoli,2,2,2017-04-23,3668,2016,168732,0.31291499733924866,0,4,0,0,0.2270359992980957,0.08904849737882614
0,0,0,90,DL,Napoli,Udinese,3,0,2017-04-15,3661,2016,168243,0,0,0,0,0,0.12056100368499756,0.12056100368499756
0,0,0,90,DL,Lazio,Napoli,0,3,2017-04-09,3646,2016,167557,0,0,0,0,0,0.8311330080032349,0.8311330080032349
0,0,0,80,DL,Napoli,Juventus,1,1,2017-04-02,3637,2016,167011,0.022181199863553047,0,1,0,0,0.5334749817848206,0.5334749817848206
0,1,0.03371980041265488,90,DL,Napoli,Crotone,3,0,2017-03-12,3615,2016,165840,0.21573500335216522,0,1,0,0.03371980041265488,0.5670179724693298,0.5332980155944824
0,0,0,90,DL,AC Milan,Napoli,1,2,2017-01-21,3541,2016,162001,0,0,0,0,0,0.21852700412273407,0.21852700412273407
0,0,0,86,DL,Napoli,Pescara,3,1,2017-01-15,3535,2016,161517,0,0,0,0,0,0.762939989566803,0.762939989566803
0,0,0,90,DL,Napoli,Sampdoria,2,1,2017-01-07,3521,2016,171228,0.4692400097846985,1,2,0,0,0.7160940170288086,0.24685299396514893
0,0,0,90,DL,Cagliari,Napoli,0,5,2016-12-11,3078,2016,169456,0.01804319955408573,0,1,0,0,1.356029987335205,1.3379900455474854
0,0,0,90,DL,Napoli,Sassuolo,1,1,2016-11-28,2774,2016,168299,0.07215870171785355,0,1,0,0,0.794875979423523,0.794875979423523
0,0,0,90,DL,Crotone,Napoli,1,2,2016-10-23,1015,2016,165574,0.5346429944038391,1,1,0,0,0.04049989953637123,0.04049989953637123
