id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
41493,6,Goal,0.904000015258789,0.38299999237060545,0.43154698610305786,Keisuke Honda,h,1124,OpenPlay,2014,RightFoot,5152,AC Milan,Lazio,3,1,2014-08-31 17:00:00,Stephan El Shaarawy,Pass
41891,36,Goal,0.9359999847412109,0.47900001525878905,0.46340399980545044,Keisuke Honda,a,1124,OpenPlay,2014,Head,5117,Parma,AC Milan,4,5,2014-09-14 19:45:00,Ignazio Abate,Cross
42042,26,SavedShot,0.91,0.43400001525878906,0.05008019879460335,Keisuke Honda,h,1124,OpenPlay,2014,Head,5120,AC Milan,Juventus,0,1,2014-09-20 19:45:00,Sulley Muntari,Chipped
42210,33,BlockedShot,0.775,0.38,0.020535999909043312,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5129,Empoli,AC Milan,2,2,2014-09-23 19:45:00,Jérémy Menez,Pass
42219,56,Goal,0.8219999694824218,0.49599998474121093,0.06193450093269348,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5129,Empoli,AC Milan,2,2,2014-09-23 19:45:00,Ignazio Abate,Pass
42224,64,MissedShots,0.845999984741211,0.30200000762939455,0.033510901033878326,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5129,Empoli,AC Milan,2,2,2014-09-23 19:45:00,Jérémy Menez,Pass
42226,79,MissedShots,0.7659999847412109,0.509000015258789,0.07967279851436615,Keisuke Honda,a,1124,DirectFreekick,2014,LeftFoot,5129,Empoli,AC Milan,2,2,2014-09-23 19:45:00,,Standard
42230,92,MissedShots,0.909000015258789,0.4879999923706055,0.05657919868826866,Keisuke Honda,a,1124,OpenPlay,2014,Head,5129,Empoli,AC Milan,2,2,2014-09-23 19:45:00,Giacomo Bonaventura,Aerial
42476,17,SavedShot,0.754000015258789,0.3370000076293945,0.05103180184960365,Keisuke Honda,a,1124,DirectFreekick,2014,LeftFoot,5143,Cesena,AC Milan,1,1,2014-09-28 14:00:00,,Standard
42481,31,BlockedShot,0.8269999694824218,0.43099998474121093,0.06540480256080627,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5143,Cesena,AC Milan,1,1,2014-09-28 14:00:00,Jérémy Menez,Pass
42863,20,MissedShots,0.875,0.32599998474121095,0.051104698330163956,Keisuke Honda,h,1124,OpenPlay,2014,LeftFoot,5070,AC Milan,Chievo,2,0,2014-10-04 19:45:00,Alex,Pass
42868,37,MissedShots,0.9169999694824219,0.2929999923706055,0.033767201006412506,Keisuke Honda,h,1124,OpenPlay,2014,LeftFoot,5070,AC Milan,Chievo,2,0,2014-10-04 19:45:00,Ignazio Abate,TakeOn
42881,77,Goal,0.750999984741211,0.61,0.05751369893550873,Keisuke Honda,h,1124,DirectFreekick,2014,LeftFoot,5070,AC Milan,Chievo,2,0,2014-10-04 19:45:00,,Standard
43094,26,Goal,0.860999984741211,0.45799999237060546,0.3351300060749054,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5083,Verona,AC Milan,1,3,2014-10-19 14:00:00,Stephan El Shaarawy,Throughball
43102,55,Goal,0.9169999694824219,0.3940000152587891,0.5505170226097107,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5083,Verona,AC Milan,1,3,2014-10-19 14:00:00,Adil Rami,Throughball
43104,57,SavedShot,0.975,0.5370000076293945,0.8413919806480408,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5083,Verona,AC Milan,1,3,2014-10-19 14:00:00,,Rebound
43571,45,BlockedShot,0.7140000152587891,0.46,0.012117399834096432,Keisuke Honda,a,1124,OpenPlay,2014,LeftFoot,5105,Cagliari,AC Milan,1,1,2014-10-29 19:45:00,,None
