id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32545,48,SavedShot,0.860999984741211,0.6680000305175782,0.05894999951124191,Ryder Matos,a,1153,OpenPlay,2014,RightFoot,5834,Real Madrid,Cordoba,2,0,2014-08-25 19:00:00,,TakeOn
93296,38,BlockedShot,0.7440000152587891,0.36900001525878906,0.014567499980330467,Ryder Matos,a,1153,OpenPlay,2015,RightFoot,555,Sampdoria,Carpi,5,2,2015-08-23 22:45:00,,Goal
93301,61,SavedShot,0.9369999694824219,0.53,0.05525929853320122,Ryder Matos,a,1153,FromCorner,2015,Head,555,Sampdoria,Carpi,5,2,2015-08-23 22:45:00,Andrea Lazzari,Foul
93303,62,BlockedShot,0.835999984741211,0.35,0.0546765998005867,Ryder Matos,a,1153,OpenPlay,2015,LeftFoot,555,Sampdoria,Carpi,5,2,2015-08-23 22:45:00,Andrea Lazzari,Pass
93312,79,MissedShots,0.919000015258789,0.4979999923706055,0.1281210035085678,Ryder Matos,a,1153,OpenPlay,2015,Head,555,Sampdoria,Carpi,5,2,2015-08-23 22:45:00,Gabriel Silva,Cross
93316,87,Goal,0.8130000305175781,0.32599998474121095,0.019756000488996506,Ryder Matos,a,1153,OpenPlay,2015,LeftFoot,555,Sampdoria,Carpi,5,2,2015-08-23 22:45:00,Wallace Oliveira,Chipped
93406,14,SavedShot,0.7759999847412109,0.26899999618530274,0.015328500419855118,Ryder Matos,h,1153,OpenPlay,2015,RightFoot,567,Carpi,Inter,1,2,2015-08-30 22:45:00,Matteo Fedele,Chipped
94983,28,MissedShots,0.774000015258789,0.6719999694824219,0.020621199160814285,Ryder Matos,h,1153,OpenPlay,2015,RightFoot,589,Carpi,Fiorentina,0,1,2015-09-20 20:00:00,Marco Borriello,Pass
94990,54,SavedShot,0.9519999694824218,0.5629999923706055,0.3301610052585602,Ryder Matos,h,1153,OpenPlay,2015,Head,589,Carpi,Fiorentina,0,1,2015-09-20 20:00:00,Gaetano Letizia,Cross
94993,60,MissedShots,0.745,0.7330000305175781,0.011098300106823444,Ryder Matos,h,1153,OpenPlay,2015,RightFoot,589,Carpi,Fiorentina,0,1,2015-09-20 20:00:00,,None
95566,49,SavedShot,0.6940000152587891,0.38,0.012773499824106693,Ryder Matos,h,1153,OpenPlay,2015,LeftFoot,595,Carpi,Napoli,0,0,2015-09-23 22:45:00,Gaetano Letizia,Pass
95996,59,MissedShots,0.935,0.5790000152587891,0.07397480309009552,Ryder Matos,a,1153,FromCorner,2015,Head,601,Roma,Carpi,5,1,2015-09-26 20:00:00,Gabriel Silva,Cross
95999,69,SavedShot,0.9119999694824219,0.53,0.08070889860391617,Ryder Matos,a,1153,FromCorner,2015,Head,601,Roma,Carpi,5,1,2015-09-26 20:00:00,Andrea Lazzari,Cross
96002,75,SavedShot,0.885,0.5,0.7612990140914917,Ryder Matos,a,1153,Penalty,2015,RightFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,,Standard
96003,76,SavedShot,0.95,0.4779999923706055,0.639693021774292,Ryder Matos,a,1153,SetPiece,2015,RightFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,,Rebound
96006,86,BlockedShot,0.8419999694824218,0.35700000762939454,0.038058698177337646,Ryder Matos,a,1153,OpenPlay,2015,RightFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,Kevin Lasagna,Pass
96200,6,SavedShot,0.93,0.475,0.4156079888343811,Ryder Matos,h,1153,SetPiece,2015,Head,611,Carpi,Torino,2,1,2015-10-03 20:00:00,Matteo Fedele,Cross
96214,71,Goal,0.8880000305175781,0.5179999923706055,0.2865630090236664,Ryder Matos,h,1153,OpenPlay,2015,Head,611,Carpi,Torino,2,1,2015-10-03 20:00:00,Marco Borriello,Cross
97240,2,MissedShots,0.9359999847412109,0.6409999847412109,0.0715017020702362,Ryder Matos,h,1153,OpenPlay,2015,RightFoot,632,Carpi,Bologna,1,2,2015-10-24 20:00:00,Luca Marrone,Chipped
97242,9,MissedShots,0.7709999847412109,0.6659999847412109,0.020314600318670273,Ryder Matos,h,1153,OpenPlay,2015,RightFoot,632,Carpi,Bologna,1,2,2015-10-24 20:00:00,Gabriel Silva,Pass
