goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,63,DMC,Verona,Crotone,0,3,2018-01-21,7701,2017,209669,0,0,0,0,0,0.09540659934282303,0.09540659934282303
0,0,0,90,MC,Verona,Juventus,1,3,2017-12-30,7684,2017,206303,0,0,0,0,0,0,0
0,0,0,90,MC,Udinese,Verona,4,0,2017-12-23,7678,2017,205352,0,0,0,0,0,0,0
0,0,0,90,MC,Verona,AC Milan,3,0,2017-12-17,7664,2017,204949,0,0,0,0,0,0.506538987159729,0.506538987159729
0,0,0,49,DMC,Verona,Genoa,0,1,2017-12-04,7643,2017,195683,0,0,0,0,0,0.04842489957809448,0.04842489957809448
1,1,0.6596620082855225,90,MC,Sassuolo,Verona,0,2,2017-11-25,7637,2017,195531,0,0,0,1,0.6596620082855225,1.179110050201416,0.5194479823112488
0,1,0.020177999511361122,90,MC,Verona,Bologna,2,3,2017-11-20,7621,2017,195072,0,0,0,0,0.020177999511361122,0.4704059958457947,0.4704059958457947
1,2,0.33291301131248474,90,MC,Cagliari,Verona,2,1,2017-11-05,7611,2017,194835,0,0,0,1,0.33291301131248474,0,0
0,1,0.008467650040984154,25,Sub,Verona,Inter,1,2,2017-10-30,7601,2017,194547,0,0,0,0,0.008467650040984154,0.049845900386571884,0.049845900386571884
0,0,0,39,MC,Chievo,Verona,3,2,2017-10-22,7581,2017,193995,0,0,0,0,0,0.02498280070722103,0.02498280070722103
0,0,0,90,MC,Torino,Verona,2,2,2017-10-01,7567,2017,193607,0,0,0,0,0,0.3854280114173889,0.3854280114173889
0,0,0,90,MC,Verona,Lazio,0,3,2017-09-24,7552,2017,193174,0.0120297996327281,0,1,0,0,0.06185390055179596,0.049824099987745285
0,0,0,90,MC,Verona,Sampdoria,0,0,2017-09-20,7544,2017,192951,0,0,0,0,0,0.09901410341262817,0.09901410341262817
0,1,0.00782043021172285,76,MC,Roma,Verona,3,0,2017-09-16,7535,2017,192714,0,0,0,0,0.00782043021172285,0.08104799687862396,0.07322750240564346
0,1,0.09021250158548355,71,MC,Verona,Fiorentina,0,5,2017-09-10,7523,2017,192392,0.015697099268436432,0,1,0,0.09021250158548355,0.05672580003738403,0.04102860018610954
0,0,0,90,MC,Crotone,Verona,0,0,2017-08-27,7517,2017,192070,0,0,0,0,0,0.07444349676370621,0.07444349676370621
0,0,0,47,DMC,Cordoba,Atletico Madrid,0,2,2015-04-04,5507,2014,44299,0,0,0,0,0,0,0
0,0,0,52,DMC,Real Sociedad,Cordoba,3,1,2015-03-22,5599,2014,45514,0,0,0,0,0,0.02551889978349209,0.02551889978349209
0,0,0,90,MC,Malaga,Cordoba,2,0,2015-03-15,5587,2014,44594,0,0,0,0,0,0.39493200182914734,0.39493200182914734
0,1,0.024665499106049538,90,MC,Cordoba,Getafe,1,2,2015-03-09,5580,2014,45279,0,0,0,0,0.024665499106049538,0.18794900178909302,0.16328300535678864
0,1,0.039745599031448364,26,Sub,Espanyol,Cordoba,1,0,2015-02-27,5638,2014,45659,0.01373790018260479,0,1,0,0.039745599031448364,0,0
0,0,0,6,Sub,Cordoba,Valencia,1,2,2015-02-21,5630,2014,46340,0,0,0,0,0,0,0
0,0,0,46,MC,Sevilla,Cordoba,3,0,2015-02-14,5619,2014,45848,0,0,0,0,0,0,0
0,1,0.09330269694328308,26,Sub,Cordoba,Almeria,1,2,2015-02-08,5613,2014,46284,0,0,0,0,0.09330269694328308,0.09330269694328308,0
0,0,0,43,Sub,Valencia,Malaga,3,0,2014-08-29,5837,2014,36216,0,0,0,0,0,0.12341500073671341,0.12341500073671341
