id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
172828,14,MissedShots,0.9330000305175781,0.33299999237060546,0.007713510189205408,Fabio Lucioni,h,6192,SetPiece,2017,Head,7515,Benevento,Bologna,0,1,2017-08-26 17:00:00,Gianluca Di Chiara,Aerial
172852,88,MissedShots,0.9269999694824219,0.48400001525878905,0.11230599880218506,Fabio Lucioni,h,6192,FromCorner,2017,Head,7515,Benevento,Bologna,0,1,2017-08-26 17:00:00,Amato Ciciretti,Cross
173137,32,MissedShots,0.9359999847412109,0.49700000762939456,0.44566500186920166,Fabio Lucioni,h,6192,SetPiece,2017,Head,7520,Benevento,Torino,0,1,2017-09-10 17:00:00,Amato Ciciretti,Cross
173649,34,OwnGoal,0.058000001907348636,0.5320000076293945,0,Fabio Lucioni,h,6192,OpenPlay,2017,LeftFoot,7540,Benevento,Roma,0,4,2017-09-20 17:00:00,,None
173669,80,MissedShots,0.9169999694824219,0.5979999923706054,0.05707680061459541,Fabio Lucioni,h,6192,OpenPlay,2017,Head,7540,Benevento,Roma,0,4,2017-09-20 17:00:00,George Puscas,Cross
185878,63,SavedShot,0.9469999694824218,0.34599998474121096,0.013124300166964531,Fabio Lucioni,h,6192,FromCorner,2017,Head,7680,Benevento,Chievo,1,0,2017-12-30 14:00:00,Ledian Memushaj,Cross
316696,3,MissedShots,0.9569999694824218,0.565,0.3727929890155792,Fabio Lucioni,h,6192,SetPiece,2019,Head,13103,Lecce,Verona,0,1,2019-09-01 19:45:00,Filippo Falco,Chipped
321007,50,MissedShots,0.924000015258789,0.37400001525878906,0.010479499585926533,Fabio Lucioni,h,6192,SetPiece,2019,Head,13124,Lecce,Napoli,1,4,2019-09-22 13:00:00,Filippo Falco,Aerial
324818,85,Goal,0.9630000305175781,0.46599998474121096,0.5649009943008423,Fabio Lucioni,a,6192,SetPiece,2019,Head,13149,Atalanta,Lecce,3,1,2019-10-06 14:00:00,Filippo Falco,Cross
326616,84,MissedShots,0.8769999694824219,0.5429999923706055,0.013356300070881844,Fabio Lucioni,a,6192,FromCorner,2019,Head,13163,AC Milan,Lecce,2,2,2019-10-20 19:45:00,Jacopo Petriccione,Aerial
328577,29,MissedShots,0.895,0.6480000305175782,0.0134656997397542,Fabio Lucioni,a,6192,FromCorner,2019,Head,13186,Sampdoria,Lecce,1,1,2019-10-30 20:00:00,Filippo Falco,Cross
333208,93,BlockedShot,0.8090000152587891,0.5329999923706055,0.04862380027770996,Fabio Lucioni,h,6192,OpenPlay,2019,RightFoot,13212,Lecce,Cagliari,2,2,2019-11-25 15:00:00,,None
333211,97,MissedShots,0.8919999694824219,0.57,0.013693399727344513,Fabio Lucioni,h,6192,FromCorner,2019,Head,13212,Lecce,Cagliari,2,2,2019-11-25 15:00:00,Jacopo Petriccione,Aerial
358812,36,MissedShots,0.919000015258789,0.38799999237060545,0.09430330246686935,Fabio Lucioni,h,6192,SetPiece,2019,LeftFoot,13324,Lecce,SPAL 2013,2,1,2020-02-15 14:00:00,,Rebound
368727,26,Goal,0.9640000152587891,0.4470000076293945,0.47565600275993347,Fabio Lucioni,a,6192,FromCorner,2019,RightFoot,13383,Sassuolo,Lecce,4,2,2020-07-04 17:30:00,Marco Calderoni,Cross
369502,46,Goal,0.925,0.46599998474121096,0.3315880000591278,Fabio Lucioni,h,6192,FromCorner,2019,Head,13393,Lecce,Lazio,2,1,2020-07-07 17:30:00,Riccardo Saponara,Cross
370938,54,BlockedShot,0.8,0.49700000762939456,0.015972800552845,Fabio Lucioni,a,6192,SetPiece,2019,RightFoot,13408,Cagliari,Lecce,0,0,2020-07-12 17:30:00,,Aerial
373411,47,MissedShots,0.7090000152587891,0.44599998474121094,0.010583899915218353,Fabio Lucioni,h,6192,OpenPlay,2019,RightFoot,13432,Lecce,Brescia,3,1,2020-07-22 19:45:00,,Aerial
373877,46,SavedShot,0.8959999847412109,0.4370000076293945,0.08847799897193909,Fabio Lucioni,a,6192,FromCorner,2019,RightFoot,13439,Bologna,Lecce,3,2,2020-07-26 15:15:00,,None
374238,78,MissedShots,0.8780000305175781,0.48400001525878905,0.03554369881749153,Fabio Lucioni,a,6192,FromCorner,2019,LeftFoot,13453,Udinese,Lecce,1,2,2020-07-29 17:30:00,,Aerial
374624,10,OwnGoal,0.03900000095367431,0.4909999847412109,0,Fabio Lucioni,h,6192,OpenPlay,2019,LeftFoot,13468,Lecce,Parma Calcio 1913,3,4,2020-08-02 18:45:00,,None
