id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
145467,72,BlockedShot,0.914000015258789,0.519000015258789,0.0881308987736702,Pietro Iemmello,a,1469,FromCorner,2016,Head,951,Juventus,Sassuolo,3,1,2016-09-10 20:00:00,Alfred Duncan,Cross
147100,80,MissedShots,0.9169999694824219,0.5179999923706055,0.06834899634122849,Pietro Iemmello,h,1469,OpenPlay,2016,Head,983,Sassuolo,Udinese,1,0,2016-09-25 17:00:00,Pol Lirola,Aerial
147103,85,SavedShot,0.779000015258789,0.5629999923706055,0.039786599576473236,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,983,Sassuolo,Udinese,1,0,2016-09-25 17:00:00,Davide Biondini,Pass
148249,85,Goal,0.9830000305175781,0.5320000076293945,0.616008996963501,Pietro Iemmello,h,1469,FromCorner,2016,RightFoot,1007,Sassuolo,Crotone,2,1,2016-10-16 17:00:00,Lorenzo Pellegrini,Cross
150361,64,BlockedShot,0.9,0.6270000076293946,0.05908719822764397,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,2752,Sassuolo,Atalanta,0,3,2016-11-06 18:00:00,,None
150365,87,BlockedShot,0.795,0.6409999847412109,0.031900499016046524,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,2752,Sassuolo,Atalanta,0,3,2016-11-06 18:00:00,Federico Ricci,Pass
153013,93,BlockedShot,0.860999984741211,0.5629999923706055,0.05358070135116577,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,3090,Sassuolo,Inter,0,1,2016-12-18 15:30:00,Antonino Ragusa,HeadPass
146695,79,SavedShot,0.9669999694824218,0.5109999847412109,0.12337099760770798,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,3576,Sassuolo,Chievo,1,3,2017-02-12 14:00:00,Antonino Ragusa,None
148516,90,MissedShots,0.924000015258789,0.5640000152587891,0.10340400040149689,Pietro Iemmello,a,1469,OpenPlay,2016,Head,3611,Crotone,Sassuolo,0,0,2017-03-05 14:00:00,Marcello Gazzola,Cross
152643,81,SavedShot,0.8969999694824219,0.5570000076293945,0.2666659951210022,Pietro Iemmello,h,1469,OpenPlay,2016,RightFoot,3686,Sassuolo,Fiorentina,2,2,2017-05-07 14:00:00,Matteo Politano,TakeOn
152644,84,Goal,0.9269999694824219,0.48700000762939455,0.3447839915752411,Pietro Iemmello,h,1469,FromCorner,2016,Head,3686,Sassuolo,Fiorentina,2,2,2017-05-07 14:00:00,Matteo Politano,Cross
153261,35,Goal,0.8319999694824218,0.46799999237060547,0.322970986366272,Pietro Iemmello,a,1469,OpenPlay,2016,RightFoot,3700,Inter,Sassuolo,1,2,2017-05-14 11:30:00,Domenico Berardi,Pass
153267,47,MissedShots,0.7290000152587891,0.5259999847412109,0.02917959913611412,Pietro Iemmello,a,1469,OpenPlay,2016,RightFoot,3700,Inter,Sassuolo,1,2,2017-05-14 11:30:00,Matteo Politano,TakeOn
