goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,33,Sub,Cagliari,Lecce,4,1,2025-01-19,27563,2024,700558,0,0,0,0,0,0,0
0,0,0,19,Sub,Empoli,Lecce,1,3,2025-01-11,27556,2024,698036,0,0,0,0,0,0.10942845046520233,0.10942845046520233
0,0,0,4,Sub,Como,Lecce,2,0,2024-12-30,27533,2024,696887,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Inter,0,5,2024-05-10,22657,2023,660159,0.06936639547348022,0,1,0,0,0.1483536809682846,0.07898728549480438
0,0,0,16,Sub,Empoli,Frosinone,0,0,2024-05-05,22646,2023,659385,0,0,0,0,0,0,0
0,0,0,17,Sub,Frosinone,Salernitana,3,0,2024-04-26,22640,2023,656630,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Bologna,0,0,2024-04-07,22614,2023,652050,0,0,0,0,0,0.010010438039898872,0.010010438039898872
0,0,0,1,Sub,Frosinone,Cagliari,3,1,2024-01-21,22508,2023,636105,0,0,0,0,0,0,0
0,0,0,90,DC,Atalanta,Frosinone,5,0,2024-01-15,22495,2023,635590,0,0,0,0,0,0,0
0,0,0,90,DC,Sassuolo,Bologna,1,1,2023-10-28,22401,2023,619634,0,0,0,0,0,0.5330274701118469,0.5330274701118469
0,0,0,90,DC,Lecce,Bologna,2,3,2023-06-04,18955,2022,602757,0,0,0,0,0,0.27641168236732483,0.27641168236732483
0,0,0,76,DC,Bologna,Napoli,2,2,2023-05-28,18942,2022,600758,0,0,0,0,0,0.4323040843009949,0.4323040843009949
0,0,0,90,DC,Cremonese,Bologna,1,5,2023-05-20,18933,2022,597889,0,0,0,0,0,0.7573302388191223,0.7573302388191223
0,0,0,90,DC,Bologna,Roma,0,0,2023-05-14,18922,2022,597316,0,0,0,0,0,0.19852256774902344,0.19852256774902344
0,0,0,90,DC,Sassuolo,Bologna,1,1,2023-05-08,18919,2022,595830,0,0,0,0,0,0.14897796511650085,0.14897796511650085
0,0,0,53,Sub,Empoli,Bologna,3,1,2023-05-04,18903,2022,594302,0.008725960738956928,0,1,0,0,0.36095088720321655,0.3522249162197113
0,1,0.05930269882082939,75,DC,Bologna,Lecce,2,0,2022-10-23,18683,2022,558965,0,0,0,0,0.05930269882082939,0,0
0,1,0.09825679659843445,90,DC,Napoli,Bologna,3,2,2022-10-16,18678,2022,556923,0,0,0,0,0.09825679659843445,0.6465179920196533,0.6465179920196533
0,0,0,90,DC,Juventus,Bologna,3,0,2022-10-02,18656,2022,553461,0.006305439863353968,0,1,0,0,0.006305439863353968,0.006305439863353968
0,0,0,6,Sub,Bologna,Fiorentina,2,1,2022-09-11,18633,2022,549720,0,0,0,0,0,0,0
0,0,0,15,Sub,AC Milan,Bologna,2,0,2022-08-27,18606,2022,544855,0,0,0,0,0,0,0
0,0,0,90,DC,Bologna,Verona,1,1,2022-08-21,18598,2022,543603,0,0,0,0,0,0.0643744021654129,0.0643744021654129
0,0,0,39,Sub,Lazio,Bologna,2,1,2022-08-14,18586,2022,541526,0,0,0,0,0,0.027209699153900146,0.027209699153900146
0,0,0,90,DC,Genoa,Bologna,0,1,2022-05-21,17128,2021,537204,0,0,0,0,0,0.13826599717140198,0.13826599717140198
0,0,0,82,DC,Roma,Bologna,0,0,2022-05-01,17102,2021,531458,0,0,0,0,0,0.07749009877443314,0.07749009877443314
0,0,0,90,DC,Bologna,Udinese,2,2,2022-04-24,17086,2021,529206,0,0,0,0,0,0.09897740185260773,0.09897740185260773
0,0,0,3,Sub,Juventus,Bologna,1,1,2022-04-16,17079,2021,526600,0,0,0,0,0,0,0
0,0,0,13,Sub,Bologna,Sampdoria,2,0,2022-04-11,17066,2021,525828,0,0,0,0,0,0.20143599808216095,0.20143599808216095
0,0,0,8,Sub,AC Milan,Bologna,0,0,2022-04-04,17061,2021,523941,0,0,0,0,0,0,0
0,0,0,40,DC,Fiorentina,Bologna,1,0,2022-03-13,17037,2021,519758,0.526216983795166,0,1,0,0,0.526216983795166,0.526216983795166
0,0,0,1,Sub,Salernitana,Bologna,1,1,2022-02-26,17022,2021,515837,0,0,0,0,0,0.018448300659656525,0.018448300659656525
0,2,0.5334969758987427,67,DC,Bologna,Spezia,2,1,2022-02-21,17006,2021,515286,0,0,0,0,0.5334969758987427,0.7049220204353333,0.634552001953125
0,0,0,31,Sub,Lazio,Bologna,3,0,2022-02-12,17000,2021,512488,0,0,0,0,0,0,0
0,0,0,90,DC,Verona,Bologna,2,1,2022-01-21,16979,2021,509354,0.0804997980594635,0,2,0,0,0.042682498693466187,0.02465759962797165
0,1,0.0788917988538742,66,DC,Cagliari,Bologna,2,1,2022-01-11,16956,2021,507717,0,0,0,0,0.0788917988538742,0,0
0,0,0,80,DC,Sassuolo,Bologna,0,3,2021-12-22,16943,2021,504554,0.28600800037384033,0,1,0,0,0.3391079902648926,0.3391079902648926
0,1,0.014319900423288345,17,Sub,Bologna,Fiorentina,2,3,2021-12-05,16906,2021,500338,0,0,0,0,0.014319900423288345,0.03335610032081604,0.03335610032081604
0,0,0,3,Sub,Spezia,Bologna,0,1,2021-11-28,16893,2021,497923,0,0,0,0,0,0,0
0,0,0,1,Sub,Bologna,Lazio,3,0,2021-10-03,16817,2021,486884,0,0,0,0,0,0,0
0,0,0,70,DC,Empoli,Bologna,4,2,2021-09-26,16806,2021,485288,0,0,0,0,0,0.12549200654029846,0.12549200654029846
0,3,0.16569800674915314,90,DC,Bologna,Genoa,2,2,2021-09-21,16797,2021,483372,0,0,0,0,0.16569800674915314,0.586089015007019,0.586089015007019
0,1,0.04629110172390938,90,DC,Inter,Bologna,6,1,2021-09-18,16789,2021,482250,0,0,0,0,0.04629110172390938,0.12144099920988083,0.12144099920988083
0,1,0.027576599270105362,90,DC,Bologna,Verona,1,0,2021-09-13,16777,2021,481545,0,0,0,0,0.027576599270105362,0.041120901703834534,0.041120901703834534
0,0,0,90,DC,Atalanta,Bologna,0,0,2021-08-28,16769,2021,479133,0,0,0,0,0,0.10637299716472626,0.10637299716472626
0,0,0,90,DC,Bologna,Salernitana,3,2,2021-08-22,16760,2021,477889,0,0,0,0,0,0.1689949929714203,0.1689949929714203
0,1,0.010134899988770485,90,DC,Inter,Udinese,5,1,2021-05-23,15804,2020,473240,0,0,0,0,0.010134899988770485,0.28282099962234497,0.28282099962234497
0,0,0,90,DC,Udinese,Sampdoria,0,1,2021-05-16,15793,2020,471415,0.16468599438667297,0,2,0,0,0.210439994931221,0.09589529782533646
0,0,0,90,DC,Napoli,Udinese,5,1,2021-05-11,15784,2020,469970,0,0,0,0,0,0.07142429798841476,0.07142429798841476
