id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
41668,87,MissedShots,0.915,0.524000015258789,0.09807950258255005,Luca Rossettini,h,1180,SetPiece,2014,RightFoot,5115,Cagliari,Atalanta,1,2,2014-09-14 14:00:00,Andrea Cossu,Cross
42191,43,SavedShot,0.92,0.5029999923706054,0.12651599943637848,Luca Rossettini,h,1180,SetPiece,2014,Head,5134,Cagliari,Torino,1,2,2014-09-24 19:45:00,Andrea Cossu,Cross
44058,52,OwnGoal,0.05300000190734863,0.505,0,Luca Rossettini,h,1180,OpenPlay,2014,RightFoot,5042,Cagliari,Genoa,1,1,2014-11-09 11:30:00,,Challenge
44847,5,MissedShots,0.9,0.46299999237060546,0.08738309890031815,Luca Rossettini,h,1180,SetPiece,2014,Head,5008,Cagliari,Chievo,0,2,2014-12-08 18:00:00,Andrea Cossu,Cross
44862,75,BlockedShot,0.8830000305175781,0.515,0.03763449937105179,Luca Rossettini,h,1180,FromCorner,2014,Head,5008,Cagliari,Chievo,0,2,2014-12-08 18:00:00,Víctor Ibarbo,Cross
45375,64,Goal,0.9330000305175781,0.5529999923706055,0.1284019947052002,Luca Rossettini,h,1180,SetPiece,2014,Head,5020,Cagliari,Juventus,1,3,2014-12-18 18:00:00,Andrea Cossu,Cross
46066,13,SavedShot,0.9730000305175781,0.42900001525878906,0.48746800422668457,Luca Rossettini,a,1180,SetPiece,2014,RightFoot,4960,Palermo,Cagliari,5,0,2015-01-06 14:00:00,Andrea Cossu,Cross
46149,67,SavedShot,0.9080000305175782,0.634000015258789,0.011680499650537968,Luca Rossettini,a,1180,FromCorner,2014,Head,4985,Udinese,Cagliari,2,2,2015-01-18 14:00:00,João Pedro,Aerial
46150,76,SavedShot,0.915,0.625,0.011939999647438526,Luca Rossettini,a,1180,FromCorner,2014,Head,4985,Udinese,Cagliari,2,2,2015-01-18 14:00:00,Diego Farias,Aerial
46154,86,MissedShots,0.8980000305175782,0.385,0.012026900425553322,Luca Rossettini,a,1180,FromCorner,2014,Head,4985,Udinese,Cagliari,2,2,2015-01-18 14:00:00,Danilo Avelar,Aerial
46545,19,Goal,0.950999984741211,0.500999984741211,0.47836700081825256,Luca Rossettini,h,1180,FromCorner,2014,Head,4987,Cagliari,Sassuolo,2,1,2015-01-24 17:00:00,João Pedro,Cross
46560,75,OwnGoal,0.035,0.42900001525878906,0,Luca Rossettini,h,1180,FromCorner,2014,RightFoot,4987,Cagliari,Sassuolo,2,1,2015-01-24 17:00:00,,None
47453,69,MissedShots,0.9480000305175781,0.39299999237060546,0.04375959932804108,Luca Rossettini,h,1180,FromCorner,2014,Head,4881,Cagliari,Verona,1,2,2015-03-01 11:30:00,João Pedro,Cross
47899,64,MissedShots,0.9109999847412109,0.47099998474121096,0.07856059819459915,Luca Rossettini,a,1180,FromCorner,2014,Head,4889,Sampdoria,Cagliari,2,0,2015-03-07 17:00:00,Paul-José M&#039;Poku,Cross
