goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,MC,SPAL 2013,Fiorentina,1,3,2020-08-02,13460,2019,412154,0,0,0,0,0,0.056470099836587906,0.056470099836587906
0,1,0.030367199331521988,90,MC,SPAL 2013,Torino,1,1,2020-07-26,13445,2019,411540,0,0,0,0,0.030367199331521988,0.12901100516319275,0.12901100516319275
0,0,0,90,MC,Brescia,SPAL 2013,2,1,2020-07-19,13420,2019,410015,0.3630859851837158,0,1,0,0,0.7566400170326233,0.3935540020465851
0,0,0,90,MC,Genoa,SPAL 2013,2,0,2020-07-12,13405,2019,407920,0,0,0,0,0,0,0
0,0,0,48,MC,SPAL 2013,Udinese,0,3,2020-07-09,13396,2019,407057,0,0,0,0,0,0.030074499547481537,0.030074499547481537
0,0,0,90,MC,Sampdoria,SPAL 2013,3,0,2020-07-05,13382,2019,405869,0,0,0,0,0,0.23656700551509857,0.23656700551509857
0,0,0,38,Sub,SPAL 2013,AC Milan,2,2,2020-07-01,13375,2019,404729,0,0,0,0,0,0.036813199520111084,0.036813199520111084
0,0,0,90,MC,Napoli,SPAL 2013,3,1,2020-06-28,13364,2019,403727,0,0,0,0,0,0.43543800711631775,0.43543800711631775
0,0,0,30,Sub,SPAL 2013,Cagliari,0,1,2020-06-23,13356,2019,402104,0.024138400331139565,0,1,0,0,0.7815179824829102,0.7573789954185486
0,0,0,90,DMC,Parma Calcio 1913,SPAL 2013,0,1,2020-03-08,13345,2019,397147,0,0,0,0,0,0,0
0,0,0,81,MC,SPAL 2013,Juventus,1,2,2020-02-22,13336,2019,394811,0.012908799573779106,0,1,0,0,0.09535419940948486,0.08244539797306061
0,1,0.0692920982837677,74,MC,Lecce,SPAL 2013,2,1,2020-02-15,13324,2019,393522,0.033720798790454865,0,1,0,0.0692920982837677,0.1339689940214157,0.03095640055835247
0,1,0.08176329731941223,90,MC,SPAL 2013,Sassuolo,1,2,2020-02-09,13316,2019,393007,0,0,0,0,0.08176329731941223,0.10035400092601776,0.018590399995446205
1,1,0.08029879629611969,90,MC,Lazio,SPAL 2013,5,1,2020-02-02,13303,2019,391688,0.01491629984229803,0,1,1,0.08029879629611969,0.2876720130443573,0.2073729932308197
0,1,0.0148091996088624,90,MC,SPAL 2013,Bologna,1,3,2020-01-25,13296,2019,390007,0.07804910093545914,0,3,0,0.0148091996088624,0.3687810003757477,0.3169269859790802
0,0,0,90,MC,Atalanta,SPAL 2013,1,2,2020-01-20,13279,2019,389855,0,0,0,0,0,0.015327299945056438,0.015327299945056438
0,1,0.05202430114150047,90,MC,Fiorentina,SPAL 2013,1,0,2020-01-12,13270,2019,388798,0.02298150025308132,0,1,0,0.05202430114150047,0.06306879967451096,0.04008730128407478
0,0,0,90,MC,SPAL 2013,Verona,0,2,2020-01-05,13268,2019,388146,0.05029119923710823,0,1,0,0,0.37567201256752014,0.32538101077079773
0,1,0.05102419853210449,90,MC,Torino,SPAL 2013,1,2,2019-12-21,13257,2019,371749,0.10669799894094467,0,1,0,0.05102419853210449,0.21130399405956268,0.0535815991461277
0,0,0,90,MC,Roma,SPAL 2013,3,1,2019-12-15,13248,2019,370616,0,0,0,0,0,0,0
0,1,0.010856499895453453,90,MC,SPAL 2013,Brescia,0,1,2019-12-08,13236,2019,368916,0,0,0,0,0.010856499895453453,0.11969999969005585,0.10884299874305725
