goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,AMC,Bologna,Atalanta,2,1,2019-12-15,13239,2019,370436,0.22009199857711792,0,4,0,0,0.25740599632263184,0.06385920196771622
0,0,0,64,AMC,Bologna,AC Milan,2,3,2019-12-08,13230,2019,369333,0.031141899526119232,0,1,0,0,0.04981910064816475,0.018677199259400368
0,1,0.07257889956235886,90,MC,Napoli,Bologna,1,2,2019-12-01,13227,2019,367132,0.9390929937362671,1,5,0,0.07257889956235886,0.9716460108757019,0.5481979846954346
1,4,0.11067599803209305,90,DMC,Bologna,Parma Calcio 1913,2,2,2019-11-24,13210,2019,365271,0.2447820007801056,0,6,1,0.11067599803209305,0.28889200091362,0.17324300110340118
0,3,0.09623900055885315,26,Sub,Sassuolo,Bologna,3,1,2019-11-08,13207,2019,362747,0,0,0,0,0.09623900055885315,0.18033799529075623,0.0840986967086792
0,1,0.012839600443840027,14,Sub,Bologna,Inter,1,2,2019-11-02,13190,2019,361733,0,0,0,0,0.012839600443840027,0.06716679781675339,0.0543271005153656
0,2,0.034893400967121124,90,DMC,Cagliari,Bologna,3,2,2019-10-30,13180,2019,360826,0.013281900435686111,0,1,0,0.034893400967121124,0.27278199791908264,0.2246060073375702
0,1,0.05555050075054169,68,DMC,Bologna,Sampdoria,2,1,2019-10-27,13170,2019,359924,0.029605699703097343,0,1,0,0.05555050075054169,0.6654620170593262,0.6099110245704651
0,0,0,8,Sub,Juventus,Bologna,2,1,2019-10-19,13161,2019,358278,0,0,0,0,0,0,0
0,0,0,77,DMC,Udinese,Bologna,1,0,2019-09-29,13148,2019,355297,0,0,0,0,0,0.08956970274448395,0.08956970274448395
0,0,0,1,Sub,Genoa,Bologna,0,0,2019-09-25,13131,2019,353994,0,0,0,0,0,0,0
0,2,0.03612539917230606,50,DMC,Brescia,Bologna,3,4,2019-09-15,13109,2019,349725,0.05222040042281151,0,1,0,0.03612539917230606,0.14855000376701355,0.06020430102944374
0,1,0.018404899165034294,18,Sub,Bologna,SPAL 2013,1,0,2019-08-30,13099,2019,347078,0.05925799906253815,0,1,0,0.018404899165034294,0.5649300217628479,0.5056719779968262
0,1,0.01964230090379715,11,Sub,Verona,Bologna,1,1,2019-08-25,13092,2019,344924,0,0,0,0,0.01964230090379715,0.03878429904580116,0.019142000004649162
1,2,0.09187089651823044,84,DMC,Bologna,Napoli,3,2,2019-05-25,9948,2018,334790,0.02302270010113716,0,1,1,0.09187089651823044,0.267984002828598,0.15309099853038788
0,0,0,10,Sub,Lazio,Bologna,3,3,2019-05-20,9941,2018,334478,0,0,0,0,0,0,0
0,2,0.03838840126991272,90,DMC,Bologna,Parma Calcio 1913,4,1,2019-05-13,9931,2018,332903,0.18540699779987335,1,2,0,0.03838840126991272,0.49570900201797485,0.28957599401474
0,4,0.13070400059223175,90,DMC,Bologna,Empoli,3,1,2019-04-27,9913,2018,328747,0.13545499742031097,0,2,0,0.13070400059223175,0.5647180080413818,0.3718680143356323
0,2,0.0304384995251894,77,DMC,Bologna,Sampdoria,3,0,2019-04-20,9897,2018,325816,0,0,0,0,0.0304384995251894,0.39167898893356323,0.39167898893356323
0,1,0.031214699149131775,18,Sub,Fiorentina,Bologna,0,0,2019-04-14,9889,2018,324811,0,0,0,0,0.031214699149131775,0,0
0,3,0.19214299321174622,90,DMC,Bologna,Chievo,3,0,2019-04-08,9877,2018,323633,0.032527100294828415,0,1,0,0.19214299321174622,0.32850199937820435,0.10383100062608719
0,1,0.02060830034315586,85,DMC,Bologna,Sassuolo,2,1,2019-03-31,9857,2018,318698,0,0,0,0,0.02060830034315586,0.044443998485803604,0.023835700005292892
0,0,0,21,DMC,Torino,Bologna,2,3,2019-03-16,9855,2018,316716,0,0,0,0,0,0.05902229994535446,0.05902229994535446
0,4,0.182778999209404,90,DMC,Bologna,Cagliari,2,0,2019-03-10,9837,2018,314961,0.9710829854011536,0,3,0,0.182778999209404,1.1581699848175049,0.44973400235176086
0,1,0.03675670176744461,77,DMC,Udinese,Bologna,2,1,2019-03-03,9829,2018,307315,0,0,0,0,0.03675670176744461,0.8206120133399963,0.7838550209999084
0,0,0,17,Sub,Roma,Bologna,2,1,2019-02-18,9814,2018,306875,0,0,0,0,0,0.40852901339530945,0.40852901339530945
0,0,0,13,Sub,Bologna,Genoa,1,1,2019-02-10,9798,2018,306443,0,0,0,0,0,0.12990400195121765,0.12990400195121765
0,0,0,70,MC,Parma Calcio 1913,Bologna,0,0,2018-12-22,9740,2018,281900,0.021470800042152405,0,1,0,0,0.04526830092072487,0.023797599598765373
0,2,0.023256300017237663,29,Sub,Bologna,AC Milan,0,0,2018-12-18,9729,2018,281751,0,0,0,0,0.023256300017237663,0.023256300017237663,0
0,2,0.10923600196838379,15,Sub,Empoli,Bologna,2,1,2018-12-09,9725,2018,281464,0,0,0,0,0.10923600196838379,0.4973689913749695,0.3881329894065857
0,0,0,17,Sub,Bologna,Fiorentina,0,0,2018-11-25,9697,2018,280847,0,0,0,0,0,0,0
0,1,0.10360699892044067,46,MC,Chievo,Bologna,2,2,2018-11-11,9688,2018,280606,0,0,0,0,0.10360699892044067,0.10360699892044067,0
0,1,0.034301698207855225,65,MC,Bologna,Atalanta,1,2,2018-11-04,9677,2018,280398,0,0,0,0,0.034301698207855225,0.1051739975810051,0.07087240368127823
0,0,0,23,Sub,Sassuolo,Bologna,2,2,2018-10-28,9673,2018,282070,0.07631789892911911,0,1,0,0,0.07631789892911911,0.07631789892911911
0,1,0.031231999397277832,90,MC,Cagliari,Bologna,2,0,2018-10-06,9648,2018,279380,0.031403400003910065,0,2,0,0.031231999397277832,0.1092739999294281,0.04663899913430214
0,4,0.08598340302705765,90,MC,Bologna,Udinese,2,1,2018-09-30,9640,2018,254062,0,0,0,0,0.08598340302705765,0.08598340302705765,0
0,1,0.041457198560237885,90,MC,Juventus,Bologna,2,0,2018-09-26,9632,2018,252379,0,0,0,0,0.041457198560237885,0.08580359816551208,0.0443463996052742
0,1,0.021011700853705406,90,MC,Bologna,Roma,2,0,2018-09-23,9617,2018,251115,0.05324690043926239,0,1,0,0.021011700853705406,0.6811400055885315,0.6068810224533081
0,1,0.02582409977912903,90,MC,Genoa,Bologna,1,0,2018-09-16,9610,2018,249404,0,0,0,0,0.02582409977912903,0.14695100486278534,0.12112700194120407
0,4,0.09970279783010483,90,MC,Bologna,Inter,0,3,2018-09-01,9598,2018,246939,0,0,0,0,0.09970279783010483,0.09970279783010483,0.02896770089864731
0,4,0.4310699999332428,90,MC,Frosinone,Bologna,0,0,2018-08-26,9593,2018,246031,0.07002080231904984,0,2,0,0.4310699999332428,0.5285490155220032,0.10378099977970123
0,2,0.0625850036740303,90,MC,Bologna,SPAL 2013,0,1,2018-08-19,9585,2018,243545,0.014148400165140629,0,1,0,0.0625850036740303,0.016957299783825874,0
0,0,0,90,MC,Udinese,Bologna,1,0,2018-05-20,7871,2017,241110,0.1616860032081604,0,3,0,0,0.1814509928226471,0.0197650995105505
0,0,0,62,MC,Bologna,Chievo,1,2,2018-05-13,7860,2017,239930,0,0,0,0,0,0,0
0,0,0,90,MC,Cagliari,Bologna,0,0,2018-04-22,7830,2017,234729,0.0625389963388443,0,1,0,0,0.11134800314903259,0.04880860075354576
0,1,0.053151000291109085,90,MC,Sampdoria,Bologna,1,0,2018-04-18,7820,2017,233562,0,0,0,0,0.053151000291109085,0.071595698595047,0.01844470016658306
0,2,0.12287800014019012,90,MC,Bologna,Verona,2,0,2018-04-15,7811,2017,232740,0.013040600344538689,0,1,0,0.12287800014019012,0.23220600187778473,0.09628769755363464
0,0,0,44,Sub,Crotone,Bologna,1,0,2018-04-08,7800,2017,231398,0,0,0,0,0,0.12145999819040298,0.12145999819040298
0,2,0.029719099402427673,90,MC,Lazio,Bologna,1,1,2018-03-18,7780,2017,224913,0.012817500159144402,0,1,0,0.029719099402427673,0.042536601424217224,0
0,0,0,27,AMC,Bologna,Atalanta,0,1,2018-03-11,7769,2017,223019,0,0,0,0,0,0,0
0,1,0.017082300037145615,90,MC,SPAL 2013,Bologna,1,0,2018-03-03,7759,2017,220850,0.09773080050945282,0,2,0,0.017082300037145615,0.41207799315452576,0.3143469989299774
0,1,0.02449670061469078,90,AMC,Bologna,Genoa,2,0,2018-02-24,7755,2017,219298,0,0,0,0,0.02449670061469078,0.02449670061469078,0.02449670061469078
0,1,0.03349760174751282,72,MC,Bologna,Sassuolo,2,1,2018-02-18,7740,2017,218381,0.11271999776363373,0,2,0,0.03349760174751282,0.2540369927883148,0.10781999677419662
0,0,0,90,MC,Inter,Bologna,2,1,2018-02-11,7731,2017,217391,0.020958799868822098,0,1,0,0,0.07191970199346542,0.05096089839935303
0,2,0.13873499631881714,90,AMC,Bologna,Fiorentina,1,2,2018-02-04,7721,2017,217127,0,0,0,0,0.13873499631881714,0.13873499631881714,0
