goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,0.6203399300575256,87,FW,Torino,Sassuolo,2,1,2026-05-08,30203,2025,788470,0.02040913514792919,0,1,1,0.6203399300575256,0.6407490372657776,0
0,3,0.5737446546554565,74,FW,Udinese,Torino,2,0,2026-05-02,30193,2025,786932,0.011823208071291447,0,1,0,0.5737446546554565,0.604530930519104,0.018963081762194633
1,4,1.1662511825561523,90,FW,Torino,Inter,2,2,2026-04-26,30182,2025,786323,0.024818331003189087,0,1,1,1.1662511825561523,1.1098164319992065,0
0,0,0,69,FW,Cremonese,Torino,0,0,2026-04-19,30173,2025,783639,0,0,0,0,0,0,0
1,5,0.49110400676727295,90,FW,Torino,Verona,2,1,2026-04-11,30163,2025,781470,0,0,0,1,0.49110400676727295,0.5006331205368042,0.04769068583846092
0,2,0.16812431812286377,73,FW,Pisa,Torino,0,1,2026-04-05,30150,2025,780802,0.08583243191242218,0,2,0,0.16812431812286377,0.33365899324417114,0.14816012978553772
1,5,0.6389618515968323,90,FW,AC Milan,Torino,3,2,2026-03-21,30141,2025,778633,0.09562639892101288,0,2,1,0.6389618515968323,0.7214502692222595,0.016460396349430084
1,4,0.684285581111908,80,FW,Torino,Parma Calcio 1913,4,1,2026-03-13,30131,2025,776384,0,0,0,1,0.684285581111908,0.7043888568878174,0.020103245973587036
0,0,0,67,FW,Napoli,Torino,2,1,2026-03-06,30114,2025,774965,0.03217031806707382,0,1,0,0,0.03217031806707382,0
1,3,0.5379238724708557,85,FW,Torino,Lazio,2,0,2026-03-01,30111,2025,774210,0.11513400077819824,0,2,1,0.5379238724708557,0.7435815930366516,0.09052371978759766
0,0,0,71,FW,Genoa,Torino,3,0,2026-02-22,30098,2025,772049,0,0,0,0,0,0.2691980004310608,0.2691980004310608
0,1,0.02994881011545658,90,FW,Torino,Bologna,1,2,2026-02-15,30092,2025,770979,0,0,0,0,0.02994881011545658,0.02994881011545658,0
0,0,0,30,Sub,Fiorentina,Torino,2,2,2026-02-07,30079,2025,768892,0,0,0,0,0,0,0
0,3,0.41058796644210815,31,Sub,Atalanta,Torino,2,0,2026-01-10,30034,2025,762995,0.03690531849861145,0,1,0,0.41058796644210815,0.4474932849407196,0
0,1,0.06860556453466415,68,FW,Torino,Udinese,1,2,2026-01-07,30033,2025,762330,0,0,0,0,0.06860556453466415,0.06860556453466415,0
1,3,0.4379517138004303,78,FW,Verona,Torino,0,3,2026-01-04,30023,2025,761796,0,0,0,1,0.4379517138004303,0.47046801447868347,0.03251628950238228
0,5,0.7139810919761658,90,FW,Torino,Cagliari,1,2,2025-12-27,30011,2025,760020,0,0,0,0,0.7139810919761658,0.6810709834098816,0
0,1,0.2950400114059448,29,Sub,Sassuolo,Torino,0,1,2025-12-21,30002,2025,759575,0,0,0,0,0.2950400114059448,0.7104925513267517,0.4154525399208069
0,2,0.1277843862771988,24,Sub,Torino,Cremonese,1,0,2025-12-13,29992,2025,757468,0,0,0,0,0.1277843862771988,0.2090025693178177,0.0812181904911995
0,2,0.08858614414930344,81,FW,Juventus,Torino,0,0,2025-11-08,29949,2025,750341,0.060663700103759766,0,1,0,0.08858614414930344,0.1492498368024826,0
1,3,0.14229771494865417,81,FW,Torino,Pisa,2,2,2025-11-02,29941,2025,748962,0,0,0,1,0.14229771494865417,0.22972309589385986,0.14006467163562775
0,1,0.016822174191474915,33,Sub,Bologna,Torino,0,0,2025-10-29,29925,2025,747614,0,0,0,0,0.016822174191474915,0.016822174191474915,0
0,1,0.056953225284814835,84,FW,Torino,Genoa,2,1,2025-10-26,29923,2025,746374,0.09258735179901123,0,1,0,0.056953225284814835,0.18350987136363983,0.1265566498041153
1,3,0.865583598613739,63,FW,Torino,Napoli,1,0,2025-10-18,29906,2025,744382,0.7397206425666809,0,3,1,0.865583598613739,1.60530424118042,0
1,3,0.7010155320167542,80,FW,Lazio,Torino,3,3,2025-10-04,29899,2025,742271,0,0,0,1,0.7010155320167542,0.7010155320167542,0
0,3,0.2387801706790924,90,FW,Parma Calcio 1913,Torino,2,1,2025-09-29,29890,2025,741836,0.018876241520047188,0,1,0,0.2387801706790924,0.25765639543533325,0
0,4,0.2963294982910156,71,FW,Torino,Atalanta,0,3,2025-09-21,29874,2025,739351,0.03233053535223007,0,1,0,0.2963294982910156,0.3286600410938263,0.09769006818532944
1,3,0.1498880833387375,67,FW,Roma,Torino,0,1,2025-09-14,29867,2025,737391,0,0,0,1,0.1498880833387375,0.1498880833387375,0
0,2,0.4865119457244873,62,FW,Torino,Fiorentina,0,0,2025-08-31,29861,2025,736035,0.3979472815990448,0,1,0,0.4865119457244873,0.8844591975212097,0
0,2,0.38010862469673157,65,FW,Inter,Torino,5,0,2025-08-25,29853,2025,734507,0,0,0,0,0.38010862469673157,0.38010862469673157,0
0,0,0,9,Sub,Napoli,Cagliari,2,0,2025-05-23,27739,2024,729385,0.1003837138414383,0,1,0,0,0.1003837138414383,0
0,0,0,10,Sub,Parma Calcio 1913,Napoli,0,0,2025-05-18,27729,2024,729087,0,0,0,0,0,0,0
0,0,0,1,Sub,Lecce,Napoli,0,1,2025-05-03,27707,2024,724226,0,0,0,0,0,0,0
0,0,0,2,Sub,Napoli,Torino,2,0,2025-04-27,27699,2024,723400,0,0,0,0,0,0,0
0,0,0,10,Sub,Monza,Napoli,0,1,2025-04-19,27687,2024,720577,0,0,0,0,0,0.038835808634757996,0.038835808634757996
0,0,0,3,Sub,Napoli,AC Milan,2,1,2025-03-30,27654,2024,715731,0.19430957734584808,0,1,0,0,0.19430957734584808,0
0,1,0.3616156578063965,1,Sub,Venezia,Napoli,0,0,2025-03-16,27651,2024,713494,0,0,0,0,0.3616156578063965,0.3616156578063965,0
0,1,0.4466818571090698,2,Sub,Napoli,Fiorentina,2,1,2025-03-09,27640,2024,711887,0,0,0,0,0.4466818571090698,0.4466818571090698,0
0,0,0,27,Sub,Como,Napoli,2,1,2025-02-23,27620,2024,708285,0,0,0,0,0,0,0
0,0,0,18,Sub,Napoli,Udinese,1,1,2025-02-09,27598,2024,705664,0,0,0,0,0,0,0
0,0,0,8,Sub,Roma,Napoli,1,1,2025-02-02,27591,2024,704341,0,0,0,0,0,0,0
0,0,0,1,Sub,Napoli,Juventus,2,1,2025-01-25,27577,2024,701629,0,0,0,0,0,0,0
0,0,0,5,Sub,Atalanta,Napoli,2,3,2025-01-18,27562,2024,700319,0,0,0,0,0,0,0
0,0,0,13,Sub,Napoli,Verona,2,0,2025-01-12,27553,2024,698819,0,0,0,0,0,0,0
0,1,0.046240948140621185,16,Sub,Fiorentina,Napoli,0,3,2025-01-04,27544,2024,697363,0,0,0,0,0.046240948140621185,0,0
0,1,0.09256283938884735,15,Sub,Genoa,Napoli,1,2,2024-12-21,27524,2024,695412,0,0,0,0,0.09256283938884735,0.17019647359848022,0.07763364166021347
0,1,0.09251809120178223,7,Sub,Udinese,Napoli,1,3,2024-12-14,27521,2024,693872,0.36734870076179504,1,1,0,0.09251809120178223,0.45986679196357727,0
0,0,0,1,Sub,Napoli,Lazio,0,1,2024-12-08,27509,2024,693179,0,0,0,0,0,0,0
0,1,0.19406366348266602,3,Sub,Torino,Napoli,0,1,2024-12-01,27500,2024,690733,0,0,0,0,0.19406366348266602,0.19406366348266602,0
0,0,0,11,Sub,Napoli,Roma,1,0,2024-11-24,27487,2024,689315,0.06211909279227257,0,1,0,0,0.1782512068748474,0.11613211780786514
0,1,0.11417362838983536,12,Sub,Inter,Napoli,1,1,2024-11-10,27473,2024,687826,0,0,0,0,0.11417362838983536,0.11417362838983536,0
0,1,0.03247077018022537,13,Sub,Napoli,Atalanta,0,3,2024-11-03,27464,2024,685459,0,0,0,0,0.03247077018022537,0.08168552070856094,0.04921475425362587
0,0,0,12,Sub,AC Milan,Napoli,0,2,2024-10-29,27459,2024,684278,0,0,0,0,0,0,0
0,1,0.11595176160335541,31,Sub,Empoli,Napoli,0,1,2024-10-20,27435,2024,681806,0.2464691698551178,0,3,0,0.11595176160335541,0.3624209463596344,0.019479282200336456
0,0,0,1,Sub,Napoli,Como,3,1,2024-10-04,27430,2024,678996,0,0,0,0,0,0,0
0,1,0.00827727746218443,16,Sub,Juventus,Napoli,0,0,2024-09-21,27407,2024,675922,0,0,0,0,0.00827727746218443,0.00827727746218443,0
0,0,0,7,Sub,Cagliari,Napoli,0,4,2024-09-15,27395,2024,674733,0,0,0,0,0,0,0
0,2,0.17156121134757996,8,Sub,Napoli,Parma Calcio 1913,2,1,2024-08-31,27386,2024,672253,0,0,0,0,0.17156121134757996,0.17156121134757996,0
1,1,0.5901381373405457,1,Sub,Napoli,Bologna,3,0,2024-08-25,27378,2024,669176,0,0,0,1,0.5901381373405457,0.6663753390312195,0.6663753390312195
0,0,0,85,FW,Verona,Napoli,3,0,2024-08-18,27366,2024,667094,0.026811417192220688,0,1,0,0,0.10586492717266083,0.07905350625514984
0,1,0.050674933940172195,46,FW,Napoli,Lecce,0,0,2024-05-26,22684,2023,664782,0,0,0,0,0.050674933940172195,0.08515394479036331,0.034479010850191116
0,1,0.04975719377398491,78,FW,Fiorentina,Napoli,2,2,2024-05-17,22666,2023,662423,0,0,0,0,0.04975719377398491,0.04975719377398491,0
0,0,0,8,Sub,Napoli,Bologna,0,2,2024-05-11,22662,2023,660758,0,0,0,0,0,0,0
0,0,0,1,Sub,Udinese,Napoli,1,1,2024-05-06,22654,2023,660033,0,0,0,0,0,0,0
0,0,0,1,Sub,Empoli,Napoli,1,0,2024-04-20,22626,2023,654950,0.035336632281541824,0,1,0,0,0.035336632281541824,0
0,0,0,2,Sub,Napoli,Frosinone,2,2,2024-04-14,22618,2023,653696,0,0,0,0,0,0,0
0,1,0.4047034680843353,13,Sub,Napoli,Atalanta,0,3,2024-03-30,22598,2023,649379,0.13363680243492126,0,2,0,0.4047034680843353,0.14268849790096283,0.009051695466041565
0,1,0.027633044868707657,14,Sub,Inter,Napoli,1,1,2024-03-17,22587,2023,649143,0,0,0,0,0.027633044868707657,0.027633044868707657,0
0,1,0.06986191123723984,10,Sub,Sassuolo,Napoli,1,6,2024-02-28,22514,2023,644351,0,0,0,0,0.06986191123723984,0.09409040212631226,0.02422848902642727
0,1,0.22350859642028809,1,Sub,Cagliari,Napoli,1,1,2024-02-25,22556,2023,643762,0.02756882645189762,0,1,0,0.22350859642028809,0.25107744336128235,0
0,3,0.17746999859809875,77,FW,Napoli,Genoa,1,1,2024-02-17,22546,2023,641554,0.013949268497526646,0,1,0,0.17746999859809875,0.16507108509540558,0
0,2,0.13816635310649872,57,FW,AC Milan,Napoli,1,0,2024-02-11,22539,2023,641075,0,0,0,0,0.13816635310649872,0.13816635310649872,0
0,4,1.0341041088104248,87,FW,Napoli,Verona,2,1,2024-02-04,22525,2023,639170,0,0,0,0,1.0341041088104248,0.46571028232574463,0
0,3,0.5166615843772888,90,FW,Napoli,Salernitana,2,1,2024-01-13,22501,2023,634657,0,0,0,0,0.5166615843772888,0.5166615843772888,0
0,4,0.22309301793575287,31,Sub,Torino,Napoli,3,0,2024-01-07,22494,2023,634338,0,0,0,0,0.22309301793575287,0.09751120209693909,0
0,0,0,5,Sub,Napoli,Monza,0,0,2023-12-29,22484,2023,633218,0.3447420299053192,0,1,0,0,0.3447420299053192,0.3447420299053192
0,1,0.05855082720518112,2,Sub,Juventus,Napoli,1,0,2023-12-08,22451,2023,628315,0,0,0,0,0.05855082720518112,0.05855082720518112,0
0,1,0.10317108780145645,55,FW,Napoli,Empoli,0,1,2023-11-12,22422,2023,623693,0,0,0,0,0.10317108780145645,0.0312834158539772,0.0312834158539772
0,2,0.09941034764051437,22,Sub,Salernitana,Napoli,0,2,2023-11-04,22413,2023,621302,0,0,0,0,0.09941034764051437,0.09941034764051437,0
0,1,0.09104486554861069,39,Sub,Napoli,AC Milan,2,2,2023-10-29,22404,2023,620912,0,0,0,0,0.09104486554861069,0.09104486554861069,0
0,1,0.11622170358896255,22,Sub,Verona,Napoli,1,3,2023-10-21,22387,2023,617839,0,0,0,0,0.11622170358896255,0.34228795766830444,0.2260662317276001
0,1,0.02134058065712452,7,Sub,Napoli,Fiorentina,1,3,2023-10-08,22384,2023,617517,0,0,0,0,0.02134058065712452,0.02134058065712452,0
0,1,0.031154338270425797,47,FW,Lecce,Napoli,0,4,2023-09-30,22367,2023,614375,0.05478396639227867,0,1,0,0.031154338270425797,0.08593830466270447,0.031154338270425797
1,3,0.5674685835838318,25,Sub,Napoli,Udinese,4,1,2023-09-27,22361,2023,613807,0.03022921271622181,0,1,1,0.5674685835838318,0.5976977944374084,0
0,0,0,2,Sub,Bologna,Napoli,0,0,2023-09-24,22346,2023,613225,0,0,0,0,0,0,0
0,0,0,4,Sub,Napoli,Lazio,1,2,2023-09-02,22330,2023,609127,0.15817685425281525,0,2,0,0,0.01760685443878174,0
0,0,0,1,Sub,Napoli,Sassuolo,2,0,2023-08-27,22322,2023,607944,0,0,0,0,0,0,0
0,2,0.12923921644687653,5,Sub,Frosinone,Napoli,1,3,2023-08-19,22306,2023,605335,0,0,0,0,0.12923921644687653,0.09403493255376816,0
1,1,0.02516239881515503,13,Sub,Napoli,Sampdoria,2,0,2023-06-04,18957,2022,602243,0,0,0,1,0.02516239881515503,0.02516239881515503,0
0,0,0,22,Sub,Bologna,Napoli,2,2,2023-05-28,18942,2022,600782,0,0,0,0,0,0,0
0,1,0.3561019003391266,20,Sub,Napoli,Inter,3,1,2023-05-21,18937,2022,599071,0.3687216341495514,1,1,0,0.3561019003391266,0.724823534488678,0
0,2,0.10890413075685501,9,Sub,Monza,Napoli,2,0,2023-05-14,18928,2022,597011,0,0,0,0,0.10890413075685501,0.10033541172742844,0.07595233619213104
0,0,0,11,Sub,Napoli,Fiorentina,1,0,2023-05-07,18917,2022,595513,0,0,0,0,0,0,0
0,1,0.5024188756942749,1,Sub,Napoli,Salernitana,1,1,2023-04-30,18897,2022,593170,0,0,0,0,0.5024188756942749,0.5024188756942749,0
0,0,0,16,Sub,Lecce,Napoli,1,2,2023-04-07,18866,2022,586213,0,0,0,0,0,0,0
0,2,0.09249459952116013,81,FW,Napoli,AC Milan,0,4,2023-04-02,18859,2022,585768,0,0,0,0,0.09249459952116013,0.132423996925354,0.03992899879813194
0,0,0,18,Sub,Torino,Napoli,0,4,2023-03-19,18850,2022,583658,0,0,0,0,0,0,0
0,0,0,2,Sub,Napoli,Atalanta,2,0,2023-03-11,18839,2022,581420,0,0,0,0,0,0,0
0,0,0,8,Sub,Napoli,Lazio,0,1,2023-03-03,18826,2022,579066,0,0,0,0,0,0,0
0,2,0.2023639976978302,4,Sub,Empoli,Napoli,0,2,2023-02-25,18818,2022,578006,0.23477399349212646,0,1,0,0.2023639976978302,0.43713799118995667,0
0,0,0,4,Sub,Sassuolo,Napoli,0,2,2023-02-17,18809,2022,576036,0,0,0,0,0,0,0
0,0,0,7,Sub,Spezia,Napoli,0,3,2023-02-05,18790,2022,573704,0,0,0,0,0,0,0
1,1,0.10808400064706802,11,Sub,Napoli,Roma,2,1,2023-01-29,18780,2022,572361,0,0,0,1,0.10808400064706802,0.10808400064706802,0
0,0,0,1,Sub,Salernitana,Napoli,0,2,2023-01-21,18769,2022,570316,0,0,0,0,0,0,0
0,0,0,5,Sub,Inter,Napoli,1,0,2023-01-04,18734,2022,567410,0.07016859948635101,0,1,0,0,0.07016859948635101,0
0,0,0,1,Sub,Napoli,Empoli,2,0,2022-11-08,18718,2022,563183,0,0,0,0,0,0,0
0,2,0.12501400709152222,13,Sub,Atalanta,Napoli,1,2,2022-11-05,18702,2022,562091,0,0,0,0,0.12501400709152222,0.12501400709152222,0
1,1,0.27520298957824707,31,Sub,Cremonese,Napoli,1,4,2022-10-09,18663,2022,555163,0.5539500117301941,0,1,1,0.27520298957824707,1.2242100238800049,0.6702629923820496
0,0,0,26,Sub,Napoli,Torino,3,1,2022-10-01,18659,2022,552062,0,0,0,0,0,0.0352558009326458,0.0352558009326458
1,1,0.09309419989585876,24,Sub,AC Milan,Napoli,1,2,2022-09-18,18645,2022,551767,0.060478199273347855,0,1,1,0.09309419989585876,0.1535719931125641,0
0,0,0,21,Sub,Napoli,Spezia,1,0,2022-09-10,18639,2022,548912,0,0,0,0,0,0,0
0,0,0,2,Sub,Napoli,Lecce,1,1,2022-08-31,18618,2022,546385,0,0,0,0,0,0,0
0,0,0,10,Sub,Fiorentina,Napoli,0,0,2022-08-28,18611,2022,545665,0,0,0,0,0,0,0
1,1,0.6621440052986145,74,FW,Lazio,Verona,3,3,2022-05-21,17130,2021,537308,0,0,0,1,0.6621440052986145,0.6942859888076782,0.032141800969839096
0,1,0.03302310034632683,90,FW,Verona,Torino,0,1,2022-05-14,17119,2021,535545,0.29653200507164,0,1,0,0.03302310034632683,0.4098820090293884,0.08032619953155518
0,3,0.15692399442195892,75,FW,Verona,AC Milan,1,3,2022-05-08,17108,2021,534063,0,0,0,0,0.15692399442195892,0.8686609864234924,0.7895039916038513
0,3,0.29429298639297485,90,FW,Cagliari,Verona,1,2,2022-04-30,17097,2021,530249,0.48468300700187683,1,2,0,0.29429298639297485,0.8736749887466431,0.18481500446796417
0,0,0,90,FW,Verona,Sampdoria,1,1,2022-04-23,17089,2021,528970,0,0,0,0,0,0.10754600167274475,0.10754600167274475
0,6,1.0312999486923218,82,FW,Atalanta,Verona,1,2,2022-04-18,17076,2021,527456,0.9689440131187439,1,3,0,1.0312999486923218,2.601749897003174,0.6015009880065918
0,2,0.3557929992675781,90,FW,Inter,Verona,2,0,2022-04-09,17070,2021,524746,0.12475000321865082,0,2,0,0.3557929992675781,0.6038230061531067,0.12328000366687775
1,2,0.8858810067176819,90,FW,Verona,Genoa,1,0,2022-04-04,17058,2021,523892,0,0,0,1,0.8858810067176819,0.9820539951324463,0.09617249667644501
0,4,0.9314500093460083,90,FW,Empoli,Verona,1,1,2022-03-20,17048,2021,521863,0,0,0,0,0.1701509952545166,0.18817199766635895,0.018020400777459145
0,1,0.019937800243496895,90,FW,Verona,Napoli,1,2,2022-03-13,17038,2021,520102,0,0,0,0,0.019937800243496895,0.6348890066146851,0.6149510145187378
0,0,0,90,FW,Fiorentina,Verona,1,1,2022-03-06,17028,2021,518262,0,0,0,0,0,0,0
3,5,1.0901700258255005,90,FW,Verona,Venezia,3,1,2022-02-27,17019,2021,516523,0,0,0,3,1.0901700258255005,1.1592700481414795,0.06910330057144165
0,0,0,66,FW,Roma,Verona,2,2,2022-02-19,17011,2021,514400,0,0,0,0,0,0.11429200321435928,0.11429200321435928
0,0,0,74,FW,Verona,Udinese,4,0,2022-02-13,16999,2021,513162,0,0,0,0,0,0.3425169885158539,0.3425169885158539
0,4,1.0663399696350098,64,FW,Verona,Bologna,2,1,2022-01-21,16979,2021,509345,0,0,0,0,1.0663399696350098,1.2025099992752075,0.13616999983787537
0,3,0.20673500001430511,70,FW,Sassuolo,Verona,2,4,2022-01-16,16974,2021,508371,0.09380680322647095,0,1,0,0.20673500001430511,0.25115400552749634,0.11574199795722961
0,1,0.03186589851975441,60,FW,Verona,Salernitana,1,2,2022-01-09,16959,2021,507564,0,0,0,0,0.03186589851975441,0.10636399686336517,0.07449819892644882
0,2,0.09476819634437561,71,FW,Spezia,Verona,1,2,2022-01-06,16955,2021,506359,0.5709519982337952,1,1,0,0.09476819634437561,0.7963839769363403,0.17520999908447266
0,1,0.5179510116577148,90,FW,Verona,Fiorentina,1,1,2021-12-22,16938,2021,504639,0,0,0,0,0.5179510116577148,0.8236219882965088,0.30567100644111633
0,0,0,90,FW,Torino,Verona,1,0,2021-12-19,16935,2021,504227,0,0,0,0,0,0,0
1,5,0.2560339868068695,90,FW,Verona,Atalanta,1,2,2021-12-12,16918,2021,502282,0.05535510182380676,0,2,1,0.2560339868068695,0.24524599313735962,0
2,2,0.36329400539398193,90,FW,Venezia,Verona,3,4,2021-12-05,16915,2021,500618,0,0,0,2,0.36329400539398193,0.4228470027446747,0.05955269932746887
0,3,0.4848940074443817,78,FW,Verona,Cagliari,0,0,2021-11-30,16900,2021,498678,0.04500799998641014,0,1,0,0.4848940074443817,0.5299019813537598,0
0,2,0.0860363021492958,70,FW,Sampdoria,Verona,3,1,2021-11-27,16892,2021,497217,0,0,0,0,0.0860363021492958,0.0860363021492958,0
0,3,0.2587980031967163,90,FW,Verona,Empoli,2,1,2021-11-22,16880,2021,496840,0.03768159821629524,0,2,0,0.2587980031967163,0.2964800000190735,0
1,1,0.6631500124931335,75,FW,Napoli,Verona,1,1,2021-11-07,16871,2021,494993,0.18704399466514587,0,2,1,0.6631500124931335,0.850193977355957,0
2,4,0.6943510174751282,83,FW,Verona,Juventus,2,1,2021-10-30,16860,2021,492420,0,0,0,2,0.6943510174751282,0.7311170101165771,0.03676639869809151
0,2,0.034935399889945984,23,Sub,Udinese,Verona,1,1,2021-10-27,16854,2021,491416,0,0,0,0,0.034935399889945984,0.034935399889945984,0
4,4,1.1062699556350708,90,FW,Verona,Lazio,4,1,2021-10-24,16839,2021,490663,0.24159200489521027,0,2,4,1.1062699556350708,1.885849952697754,0.5379809737205505
