goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Elche,Almeria,1,1,2022-08-22,18980,2022,543765,0,0,0,0,0,0,0
0,2,0.08110509812831879,71,AMC,Elche,Getafe,3,1,2022-05-22,17515,2021,537976,0.47500601410865784,0,1,0,0.08110509812831879,0.5738829970359802,0.017771899700164795
0,0,0,13,Sub,Celta Vigo,Elche,1,0,2022-05-15,17499,2021,536433,0.04300810024142265,0,1,0,0,0.06549260020256042,0.02248449996113777
0,0,0,20,Sub,Elche,Atletico Madrid,0,2,2022-05-11,17495,2021,534924,0.03455520048737526,0,2,0,0,0.044269900768995285,0.009714679792523384
0,0,0,27,Sub,Sevilla,Elche,2,0,2022-02-11,17373,2021,512399,0,0,0,0,0,0,0
0,2,0.19798099994659424,61,AMC,Elche,Granada,0,0,2022-01-02,17316,2021,505656,0.02589070051908493,0,1,0,0.19798099994659424,0.21607400476932526,0.01809299923479557
0,1,0.06122640147805214,47,MC,Elche,Real Betis,0,3,2021-11-21,17275,2021,496721,0,0,0,0,0.06122640147805214,0,0
0,1,0.05393590033054352,67,MR,Mallorca,Elche,2,2,2021-11-07,17260,2021,495081,0.06537819653749466,0,2,0,0.05393590033054352,0.11931400001049042,0
0,0,0,72,AMC,Elche,Real Madrid,1,2,2021-10-30,17246,2021,491945,0.44771599769592285,0,2,0,0,0.543071985244751,0.09535569697618484
0,0,0,27,Sub,Alaves,Elche,1,0,2021-10-26,17239,2021,491225,0,0,0,0,0,0,0
0,1,0.0534139983355999,65,AMC,Elche,Espanyol,2,2,2021-10-23,17227,2021,490180,0,0,0,0,0.0534139983355999,0.07422559708356857,0.020811600610613823
0,0,0,1,Sub,Real Sociedad,Elche,1,0,2021-09-26,17201,2021,485791,0,0,0,0,0,0,0
0,1,0.01300590019673109,23,Sub,Villarreal,Elche,4,1,2021-09-22,17188,2021,484115,0.005224150139838457,0,1,0,0.01300590019673109,0.018230099231004715,0
0,0,0,29,Sub,Elche,Levante,1,1,2021-09-18,17185,2021,482336,0.031929999589920044,0,1,0,0,0.13284100592136383,0.13284100592136383
0,0,0,17,Sub,Spezia,Roma,2,2,2021-05-23,15803,2020,473683,0.7175760269165039,0,2,0,0,0.7175760269165039,0.34282800555229187
0,0,0,21,Sub,Roma,Crotone,5,0,2021-05-09,15769,2020,469580,0,0,0,0,0,0.47641998529434204,0.47641998529434204
0,0,0,20,Sub,Sampdoria,Roma,2,0,2021-05-02,15764,2020,467871,0.024243300780653954,0,2,0,0,0.014179600402712822,0
0,0,0,8,Sub,Torino,Roma,3,1,2021-04-18,15732,2020,463788,0,0,0,0,0,0,0
0,0,0,6,Sub,Roma,Bologna,1,0,2021-04-11,15717,2020,462089,0,0,0,0,0,0,0
0,0,0,7,Sub,AC Milan,Roma,2,0,2020-06-28,13363,2019,403673,0,0,0,0,0,0,0
0,2,0.2219969928264618,62,AMC,Roma,Sampdoria,2,1,2020-06-24,13355,2019,402586,0.07315120100975037,0,1,0,0.2219969928264618,0.41651099920272827,0.12136299908161163
0,0,0,1,Sub,Roma,Lazio,1,1,2020-01-26,13294,2019,390818,0,0,0,0,0,0,0
0,2,0.45819899439811707,69,AMC,Parma Calcio 1913,Roma,2,0,2019-11-10,13205,2019,364093,0.08785880357027054,0,1,0,0.45819899439811707,0.12960900366306305,0.04788519814610481
0,2,0.17448900640010834,90,AMC,Roma,Napoli,2,1,2019-11-02,13196,2019,361309,0.030138999223709106,0,2,0,0.17448900640010834,0.415706992149353,0.33296999335289
0,3,0.3216930031776428,72,AMC,Udinese,Roma,0,4,2019-10-30,13188,2019,360968,0.4044469892978668,1,1,0,0.3216930031776428,1.2487599849700928,0.549144983291626
