id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
43239,52,BlockedShot,0.855,0.5279999923706055,0.06854330003261566,Marco Benassi,h,1183,FromCorner,2014,RightFoot,5086,Torino,Udinese,1,0,2014-10-19 14:00:00,Alessandro Gazzi,HeadPass
43240,53,MissedShots,0.769000015258789,0.205,0.010607000440359116,Marco Benassi,h,1183,OpenPlay,2014,LeftFoot,5086,Torino,Udinese,1,0,2014-10-19 14:00:00,,None
43376,46,MissedShots,0.7609999847412109,0.3039999961853027,0.023297399282455444,Marco Benassi,a,1183,SetPiece,2014,LeftFoot,5096,Lazio,Torino,2,1,2014-10-26 17:00:00,Giuseppe Vives,LayOff
44673,80,BlockedShot,0.8519999694824218,0.38,0.09494569897651672,Marco Benassi,a,1183,OpenPlay,2014,RightFoot,5067,Juventus,Torino,2,1,2014-11-30 17:00:00,Omar El Kaddouri,Pass
44674,81,BlockedShot,0.850999984741211,0.40400001525878904,0.0686177983880043,Marco Benassi,a,1183,OpenPlay,2014,RightFoot,5067,Juventus,Torino,2,1,2014-11-30 17:00:00,Omar El Kaddouri,Dispossessed
45645,74,MissedShots,0.9590000152587891,0.42900001525878906,0.4512990117073059,Marco Benassi,h,1183,OpenPlay,2014,RightFoot,4968,Torino,AC Milan,1,1,2015-01-10 19:45:00,Nikola Maksimovic,Cross
45646,76,BlockedShot,0.7830000305175782,0.31799999237060544,0.023072199895977974,Marco Benassi,h,1183,OpenPlay,2014,LeftFoot,4968,Torino,AC Milan,1,1,2015-01-10 19:45:00,Nikola Maksimovic,Pass
45677,19,Goal,0.845,0.32,0.04452500119805336,Marco Benassi,a,1183,OpenPlay,2014,RightFoot,4983,Cesena,Torino,2,3,2015-01-18 14:00:00,Alexander Farnerud,Pass
46575,45,MissedShots,0.9280000305175782,0.34200000762939453,0.08267279714345932,Marco Benassi,a,1183,OpenPlay,2014,RightFoot,4993,Inter,Torino,0,1,2015-01-25 14:00:00,Matteo Darmian,Pass
46577,51,MissedShots,0.8040000152587891,0.40900001525878904,0.03183940052986145,Marco Benassi,a,1183,SetPiece,2014,LeftFoot,4993,Inter,Torino,0,1,2015-01-25 14:00:00,,None
46862,35,MissedShots,0.7969999694824219,0.4129999923706055,0.04967129975557327,Marco Benassi,h,1183,OpenPlay,2014,LeftFoot,4925,Torino,Sampdoria,5,1,2015-02-01 14:00:00,Matteo Darmian,Pass
46864,44,SavedShot,0.93,0.3039999961853027,0.08901909738779068,Marco Benassi,h,1183,OpenPlay,2014,RightFoot,4925,Torino,Sampdoria,5,1,2015-02-01 14:00:00,Josef Martínez,Chipped
