id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
41868,59,MissedShots,0.93,0.5570000076293945,0.09407330304384232,Christian Maggio,h,1391,FromCorner,2014,Head,5113,Napoli,Chievo,0,1,2014-09-14 14:00:00,Dries Mertens,Cross
42176,64,BlockedShot,0.8919999694824219,0.43599998474121093,0.03494749963283539,Christian Maggio,a,1391,FromCorner,2014,Head,5125,Udinese,Napoli,1,0,2014-09-21 17:00:00,José Callejón,Cross
42179,81,MissedShots,0.9490000152587891,0.5559999847412109,0.12083499878644943,Christian Maggio,a,1391,FromCorner,2014,Head,5125,Udinese,Napoli,1,0,2014-09-21 17:00:00,Dries Mertens,Cross
42903,45,MissedShots,0.8119999694824219,0.39,0.07493039965629578,Christian Maggio,h,1391,OpenPlay,2014,RightFoot,5078,Napoli,Torino,2,1,2014-10-05 19:45:00,,TakeOn
43552,87,MissedShots,0.7809999847412109,0.285,0.0197915006428957,Christian Maggio,a,1391,OpenPlay,2014,RightFoot,5104,Atalanta,Napoli,1,1,2014-10-29 19:45:00,Gökhan Inler,Pass
46792,2,MissedShots,0.7580000305175781,0.3390000152587891,0.01513420045375824,Christian Maggio,a,1391,FromCorner,2014,RightFoot,4922,Chievo,Napoli,1,2,2015-02-01 14:00:00,,None
47966,50,MissedShots,0.9209999847412109,0.4759999847412109,0.045411501079797745,Christian Maggio,h,1391,FromCorner,2014,Head,4953,Napoli,Sassuolo,2,0,2015-02-23 18:00:00,José Callejón,Aerial
48851,64,MissedShots,0.7140000152587891,0.4329999923706055,0.01204030029475689,Christian Maggio,h,1391,OpenPlay,2014,RightFoot,4917,Napoli,Atalanta,1,1,2015-03-22 19:45:00,,None
50629,79,MissedShots,0.8719999694824219,0.41900001525878905,0.09876230359077454,Christian Maggio,a,1391,OpenPlay,2014,LeftFoot,4880,Empoli,Napoli,4,2,2015-04-30 19:45:00,Marek Hamsik,Pass
51292,43,BlockedShot,0.875,0.3629999923706055,0.06812670081853867,Christian Maggio,a,1391,SetPiece,2014,RightFoot,4809,Juventus,Napoli,3,1,2015-05-23 17:00:00,Raúl Albiol,Pass
51297,55,MissedShots,0.9109999847412109,0.595999984741211,0.014762500301003456,Christian Maggio,a,1391,FromCorner,2014,Head,4809,Juventus,Napoli,3,1,2015-05-23 17:00:00,Dries Mertens,Aerial
50420,56,BlockedShot,0.7480000305175781,0.38599998474121094,0.019082199782133102,Christian Maggio,h,1391,OpenPlay,2014,RightFoot,4824,Napoli,Lazio,2,4,2015-05-31 19:45:00,Marek Hamsik,Pass
93629,31,MissedShots,0.7319999694824219,0.43099998474121093,0.023000700399279594,Christian Maggio,a,1391,FromCorner,2015,RightFoot,577,Empoli,Napoli,2,2,2015-09-13 17:00:00,Marek Hamsik,Pass
149196,31,MissedShots,0.894000015258789,0.3189999961853027,0.045383501797914505,Christian Maggio,h,1391,OpenPlay,2016,LeftFoot,3284,Napoli,Empoli,2,0,2016-10-26 22:45:00,,Rebound
383906,83,MissedShots,0.909000015258789,0.5509999847412109,0.04233450070023537,Christian Maggio,h,1391,FromCorner,2020,Head,15467,Benevento,Napoli,1,2,2020-10-25 14:00:00,,None
397756,61,MissedShots,0.8969999694824219,0.6029999923706054,0.02094460092484951,Christian Maggio,h,1391,FromCorner,2020,Head,15586,Benevento,Atalanta,1,4,2021-01-09 14:00:00,Roberto Insigne,Cross
