goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,62,FW,Napoli,Cagliari,2,0,2025-05-23,27739,2024,729400,0,0,0,0,0,0,0
0,0,0,1,Sub,Cagliari,Venezia,3,0,2025-05-18,27722,2024,728947,0.056143950670957565,0,1,0,0,0.056143950670957565,0
0,2,0.15419365465641022,65,AMC,Como,Cagliari,3,1,2025-05-10,27713,2024,725545,0.09186488389968872,0,1,0,0.15419365465641022,0.2456054538488388,0.07876741886138916
0,0,0,61,FW,Cagliari,Fiorentina,1,2,2025-04-23,27683,2024,721813,0.06309914588928223,0,2,0,0,0,0
0,2,0.06225237622857094,60,AMC,Empoli,Cagliari,0,0,2025-04-06,27666,2024,717410,0.024026798084378242,0,1,0,0.06225237622857094,0.06282176822423935,0.02286422997713089
1,4,0.7751773595809937,61,AMC,Cagliari,Monza,3,0,2025-03-30,27658,2024,715190,0.07213620096445084,0,1,1,0.7751773595809937,0.8473135232925415,0.034986160695552826
0,0,0,65,AMC,Roma,Cagliari,1,0,2025-03-16,27648,2024,713890,0.0313841849565506,0,1,0,0,0.509172797203064,0.509172797203064
1,1,0.40922296047210693,63,AMC,Cagliari,Genoa,1,1,2025-03-07,27632,2024,710891,0,0,0,1,0.40922296047210693,0.5622550845146179,0.15303213894367218
0,1,0.050605613738298416,4,Sub,Bologna,Cagliari,2,1,2025-03-02,27623,2024,710286,0,0,0,0,0.050605613738298416,0.050605613738298416,0
0,1,0.01680796779692173,20,Sub,Cagliari,Juventus,0,1,2025-02-23,27621,2024,708851,0,0,0,0,0.01680796779692173,0.02855907939374447,0.011751111596822739
0,4,0.42068150639533997,54,AMC,Cagliari,Parma Calcio 1913,2,1,2025-02-09,27593,2024,705345,0,0,0,0,0.42068150639533997,0.5921161770820618,0.171434685587883
0,1,0.018640095368027687,69,AMC,Cagliari,Lazio,1,2,2025-02-03,27586,2024,704413,0.587404727935791,1,3,0,0.018640095368027687,0.07988874614238739,0
0,1,0.04012811556458473,55,AMC,Cagliari,Lecce,4,1,2025-01-19,27563,2024,700539,0.4465910792350769,0,3,0,0.04012811556458473,0.04012811556458473,0
0,1,0.11531847715377808,65,AMC,AC Milan,Cagliari,1,1,2025-01-11,27560,2024,698434,0,0,0,0,0.11531847715377808,0.11531847715377808,0
0,3,0.1462559849023819,88,FW,Monza,Cagliari,1,2,2025-01-05,27548,2024,697515,0.19719502329826355,0,3,0,0.1462559849023819,0.06812524795532227,0.04104246571660042
0,0,0,15,Sub,Cagliari,Inter,0,3,2024-12-28,27534,2024,696500,0,0,0,0,0,0.10604391992092133,0.10604391992092133
0,0,0,47,AMC,Fiorentina,Cagliari,1,0,2024-12-08,27504,2024,692646,0.04094083979725838,0,1,0,0,0,0
0,1,0.06740472465753555,29,Sub,Cagliari,Verona,1,0,2024-11-29,27495,2024,689657,0.037318531423807144,0,1,0,0.06740472465753555,0.09638670086860657,0.028981978073716164
0,0,0,12,Sub,Genoa,Cagliari,2,2,2024-11-24,27484,2024,688940,0.048319391906261444,0,1,0,0,0.048319391906261444,0
0,1,0.016678394749760628,79,AMC,Cagliari,AC Milan,3,3,2024-11-09,27478,2024,686824,0.8092239499092102,0,3,0,0.016678394749760628,0.4300576448440552,0
0,0,0,21,Sub,Lazio,Cagliari,2,1,2024-11-04,27471,2024,686166,0,0,0,0,0,0,0
0,1,0.024011429399251938,60,FW,Cagliari,Bologna,0,2,2024-10-29,27453,2024,684231,0.10188732296228409,0,3,0,0.024011429399251938,0.0480664037168026,0
1,4,0.3853226900100708,65,AMC,Cagliari,Torino,3,2,2024-10-20,27432,2024,682255,0.009646382182836533,0,1,1,0.3853226900100708,0.26328521966934204,0.09772289544343948
