goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.4295428693294525,32,Sub,Atalanta,Fiorentina,2,3,2024-06-02,22585,2023,665035,0.3451971411705017,0,1,0,0.4295428693294525,0.8076955676078796,0.032955531030893326
0,0,0,16,Sub,Atalanta,Torino,3,0,2024-05-26,22675,2023,664755,0.10862836241722107,0,1,0,0,0.14436553418636322,0.03573716804385185
0,4,0.5804669857025146,90,AMC,Lecce,Atalanta,0,2,2024-05-18,22668,2023,662826,0.6033905744552612,1,9,0,0.5804669857025146,0.8724271059036255,0.6574633121490479
0,1,0.05008715018630028,1,Sub,Atalanta,Roma,2,1,2024-05-12,22655,2023,661479,0.04058584198355675,0,1,0,0.05008715018630028,0.09067299216985703,0
0,2,0.14121071994304657,49,AMC,Salernitana,Atalanta,1,2,2024-05-06,22647,2023,659940,0.11443954706192017,0,1,0,0.14121071994304657,0.3123106062412262,0.13465948402881622
0,4,0.6330713033676147,76,AMC,Atalanta,Empoli,2,0,2024-04-28,22644,2023,657893,0.06835075467824936,0,1,0,0.6330713033676147,0.74515700340271,0.4993419349193573
0,3,0.4394128620624542,26,Sub,Atalanta,Verona,2,2,2024-04-15,22624,2023,654281,0.07218542695045471,0,1,0,0.4394128620624542,0.5115982890129089,0.07300375401973724
1,4,1.0019404888153076,90,FW,Napoli,Atalanta,0,3,2024-03-30,22598,2023,649393,0.1519586741924286,1,3,1,1.0019404888153076,1.347996711730957,0.194097638130188
0,0,0,2,Sub,Juventus,Atalanta,2,2,2024-03-10,22578,2023,647610,0,0,0,0,0,0,0
0,1,0.023544322699308395,24,Sub,Atalanta,Bologna,1,2,2024-03-03,22565,2023,645866,0,0,0,0,0.023544322699308395,0.023544322699308395,0
0,1,0.06677110493183136,60,FW,Inter,Atalanta,4,0,2024-02-28,22507,2023,644382,0.03614898398518562,0,1,0,0.06677110493183136,0.10292008519172668,0
0,0,0,66,FW,AC Milan,Atalanta,1,1,2024-02-25,22560,2023,644100,0.015078181400895119,0,1,0,0,0.022457869723439217,0.022457869723439217
0,4,1.3465430736541748,79,FW,Atalanta,Sassuolo,3,0,2024-02-17,22554,2023,642076,0.514305055141449,0,3,0,1.3465430736541748,1.80304753780365,0.49976539611816406
0,3,0.6334033608436584,31,Sub,Genoa,Atalanta,1,4,2024-02-11,22542,2023,641016,1.1626206636428833,1,4,0,0.6334033608436584,1.766971230506897,0.07446344196796417
0,1,0.3881795108318329,65,FW,Atalanta,Lazio,3,1,2024-02-04,22526,2023,639414,0.655344545841217,0,5,0,0.3881795108318329,0.48766693472862244,0.09948740154504776
