id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
453338,88,SavedShot,0.7530000305175781,0.27100000381469724,0.014615300111472607,Luka Romero,a,8429,OpenPlay,2021,LeftFoot,16972,Salernitana,Lazio,0,3,2022-01-15 17:00:00,,None
499681,66,MissedShots,0.7569999694824219,0.33799999237060546,0.01573750004172325,Luka Romero,h,8429,OpenPlay,2022,LeftFoot,18716,Lazio,Monza,1,0,2022-11-10 19:45:00,,None
499683,68,Goal,0.9690000152587891,0.5359999847412109,0.6403819918632507,Luka Romero,h,8429,OpenPlay,2022,LeftFoot,18716,Lazio,Monza,1,0,2022-11-10 19:45:00,,None
500867,27,BlockedShot,0.8769999694824219,0.5940000152587891,0.09084489941596985,Luka Romero,a,8429,SetPiece,2022,LeftFoot,18726,Juventus,Lazio,3,0,2022-11-13 19:45:00,Danilo Cataldi,Pass
505426,83,BlockedShot,0.81,0.34900001525878904,0.03627320006489754,Luka Romero,h,8429,OpenPlay,2022,LeftFoot,18767,Lazio,AC Milan,4,0,2023-01-24 19:45:00,Felipe Anderson,Pass
510086,92,MissedShots,0.8769999694824219,0.6880000305175781,0.07519250363111496,Luka Romero,a,8429,OpenPlay,2022,LeftFoot,18807,Salernitana,Lazio,0,2,2023-02-19 14:00:00,Felipe Anderson,Pass
546370,56,MissedShots,0.9080000305175782,0.4329999923706055,0.13438808917999268,Luka Romero,a,8429,OpenPlay,2023,LeftFoot,22404,Napoli,AC Milan,2,2,2023-10-29 19:45:00,Theo Hernández,Rebound
565478,7,MissedShots,0.7859999847412109,0.49400001525878906,0.038482896983623505,Luka Romero,h,8429,OpenPlay,2023,LeftFoot,22935,Almeria,Atletico Madrid,2,2,2024-02-24 20:00:00,Anthony Lozano,TakeOn
565483,26,Goal,0.745999984741211,0.45299999237060545,0.024518972262740135,Luka Romero,h,8429,OpenPlay,2023,LeftFoot,22935,Almeria,Atletico Madrid,2,2,2024-02-24 20:00:00,Marc Pubill,TakeOn
565493,58,MissedShots,0.899000015258789,0.29600000381469727,0.048166077584028244,Luka Romero,h,8429,OpenPlay,2023,LeftFoot,22935,Almeria,Atletico Madrid,2,2,2024-02-24 20:00:00,Jonathan Viera,Pass
565496,63,Goal,0.905,0.35200000762939454,0.06467895954847336,Luka Romero,h,8429,OpenPlay,2023,LeftFoot,22935,Almeria,Atletico Madrid,2,2,2024-02-24 20:00:00,Jonathan Viera,Pass
569034,8,MissedShots,0.96,0.40599998474121096,0.30990633368492126,Luka Romero,h,8429,OpenPlay,2023,LeftFoot,22955,Almeria,Sevilla,2,2,2024-03-11 20:00:00,Jonathan Viera,Cross
580633,65,ShotOnPost,0.904000015258789,0.5429999923706055,0.2417488992214203,Luka Romero,a,8429,OpenPlay,2023,LeftFoot,23031,Real Betis,Almeria,3,2,2024-05-12 19:00:00,Álex Centelles,Cross
580634,65,Goal,0.9580000305175781,0.54,0.6021550893783569,Luka Romero,a,8429,OpenPlay,2023,LeftFoot,23031,Real Betis,Almeria,3,2,2024-05-12 19:00:00,,Rebound
582509,3,BlockedShot,0.769000015258789,0.5279999923706055,0.029297124594449997,Luka Romero,a,8429,OpenPlay,2023,LeftFoot,23051,Mallorca,Almeria,2,2,2024-05-19 17:00:00,Álex Centelles,Pass
589900,93,MissedShots,0.885,0.5,0.7432776093482971,Luka Romero,h,8429,Penalty,2024,LeftFoot,27017,Alaves,Las Palmas,2,0,2024-09-01 15:00:00,,Standard
593477,56,BlockedShot,0.7659999847412109,0.46900001525878904,0.027412308380007744,Luka Romero,a,8429,OpenPlay,2024,LeftFoot,27051,Real Madrid,Alaves,3,2,2024-09-24 19:00:00,Jon Guridi,Pass
